region_group,surface_count,main_sheet_count,source_visible_surface_count,verified_open_surface_count,img04_surface_count
Algeria,291,291,289,284,2
Aotearoa New Zealand,338,304,334,225,3
Argentina,435,433,434,354,1
Armenia,17,17,17,7,0
Australia,194,192,188,138,6
Azerbaijan,82,82,82,80,0
Bangladesh,71,71,70,68,1
Belgium,3,2,3,2,0
Bolivia,310,310,310,303,0
Brazil,486,483,482,480,4
Bulgaria,42,42,42,27,0
Chile,107,106,104,93,3
China,207,202,203,199,3
Colombia,334,334,331,190,3
Cuba,67,67,66,65,1
Egypt,83,83,82,66,1
Ethiopia,10,10,9,9,1
France,298,291,295,265,1
Georgia,134,134,133,105,1
Germany,55,54,53,44,1
Ghana,47,46,41,35,6
India,356,352,348,343,8
Indonesia,1079,1076,1075,1071,4
Iran,406,405,405,400,1
Iraq,301,301,300,297,1
Italy,142,140,140,140,0
Japan,29,14,19,13,10
Kazakhstan,327,327,326,321,1
Kenya,101,101,99,99,2
Korean Peninsula,135,130,132,130,3
Kyrgyzstan,14,14,14,13,0
Latin America,62,62,47,32,15
Lebanon,42,41,36,27,6
Malaysia,81,81,73,55,8
Mexico,561,559,554,549,6
Morocco,103,103,103,98,0
Nepal,31,30,30,28,1
Netherlands,6,6,6,3,0
Nigeria,107,107,101,98,6
Pakistan,89,89,86,84,3
Palestine,70,69,70,65,0
Peru,155,155,154,132,1
Philippines,227,221,223,215,4
Poland,63,62,62,62,1
Romania,147,147,145,134,1
Russia,25,18,18,17,0
Senegal,19,19,18,15,1
Singapore,49,41,43,17,5
South Africa,143,135,127,95,16
South Korea,2,2,1,0,1
Sri Lanka,9,9,9,8,0
Switzerland,12,12,11,9,1
Taiwan,91,89,90,75,1
Tajikistan,5,5,4,4,1
Tanzania,35,35,34,30,1
Thailand,32,27,30,20,2
Turkey,148,147,148,144,0
Turkmenistan,2,2,1,1,1
Ukraine,228,224,226,221,2
United Kingdom,132,121,115,67,11
United States,279,255,262,137,5
Unresolved region,3945,3858,3856,3461,81
Uruguay,72,72,71,52,1
Uzbekistan,65,65,64,64,1
Venezuela,39,39,37,34,2
Vietnam,103,98,98,96,5
