decade,region,object_count,source_family_count
1800,United Kingdom,8,3
1800,France,3,1
1800,"Paris, France",3,1
1800,"Angers, France",1,1
1800,Australia,1,1
1800,"New York, United States",1,1
1800,Spain,1,1
1800,United States,1,1
1810,France,6,1
1810,United States,6,1
1810,United Kingdom,3,2
1810,"Boston, United States",2,1
1810,"Paris, France",2,1
1810,Austria,1,1
1810,Germany,1,1
1820,United Kingdom,9,2
1820,France,5,1
1820,"Bordeaux, France",1,1
1820,Germany,1,1
1820,"Port-au-Prince, Haiti",1,1
1820,United States,1,1
1830,United Kingdom,17,2
1830,France,5,1
1830,United States,2,2
1830,Australia / Indigenous,1,1
1830,Austria,1,1
1830,Bosnia and Herzegovina,1,1
1830,Germany,1,1
1830,India,1,1
1830,Palestine / transnational,1,1
1830,South Africa,1,1
1830,Tonga,1,1
1840,Mexico,224,2
1840,United Kingdom,25,2
1840,France,12,2
1840,India,3,1
1840,United States,3,3
1840,Uruguay,2,1
1840,Belgium,1,1
1840,Global / transnational,1,1
1840,Indonesia,1,1
1840,Jordan,1,1
1850,United Kingdom,47,3
1850,France,12,1
1850,Mexico,4,2
1850,Colombia,3,2
1850,Aotearoa New Zealand,2,2
1850,Croatia,2,2
1850,India,2,2
1850,Iran,2,1
1850,Morocco,2,2
1850,Romania,2,2
1850,United States,2,1
1850,Argentina,1,1
1850,Brazil,1,1
1850,Georgia,1,1
1850,Latin America,1,1
1850,Norway,1,1
1850,Solomon Islands,1,1
1850,Ukraine,1,1
1860,United Kingdom,74,1
1860,France,33,1
1860,Brazil,14,2
1860,Bolivia,12,1
1860,Uruguay,9,2
1860,India,7,3
1860,Global / transnational,5,3
1860,Colombia,4,2
1860,Mexico,4,2
1860,Peru,4,3
1860,China / Hong Kong,3,1
1860,Romania,3,2
1860,United States,3,2
1860,Cuba / transnational,2,2
1860,Egypt,2,2
1860,Latin America,2,1
1860,Aotearoa New Zealand,1,1
1860,Ecuador,1,1
1860,Germany,1,1
1860,Iran,1,1
1860,Kyrgyzstan,1,1
1860,Latvia,1,1
1860,Palestine / transnational,1,1
1860,Philippines,1,1
1860,Russia,1,1
1860,Slovenia,1,1
1860,Turkey,1,1
1860,Ukraine,1,1
1860,United Arab Emirates,1,1
1870,United Kingdom,56,2
1870,Latin America,15,1
1870,France,12,4
