surface_id,capture_id,packet_id,current_publication_role,current_surface_type,recommended_role,recommendation_confidence,recommendation_reason,anchor_score,relation_density,title,year,region,theme,medium,movement,source_name,image_state,source_reading_text_length,reading_text_length,completeness_score
SURF-ECAP021,ECAP021,,support_packet_appendix_text,sheet,appendix_or_subsheet,high,Already support-packet role.,35,0,Bill Poster,1836,France,Midcentury modern graphic communication,Poster,,Cleveland Museum Open Access API,IMG03,0,1809,65
SURF-CRB2026V2R0255,CRB2026V2R0255,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,67,0,Augusta Bridge drawing from 1836.png,1830,Georgia,Travel and transport poster culture,Poster,,Wikimedia Commons file source / Augusta Bridge drawing from 1836.png / page 90705217,IMG03,484,2733,91
SURF-CAW2026R00088,CAW2026R00088,,support_packet_appendix_text,sheet,appendix_or_subsheet,high,Already support-packet role.,27,0,Bosnia and Herzegovina postage stamp collection (1830-1910).jpg,1830,Bosnia and Herzegovina,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Bosnia and Herzegovina postage stamp collection (1830-1910).jpg / page 42867544,IMG03,231,2740,85
SURF-CAW2026R00001,CAW2026R00001,PKT00618,main_sheet,sheet,subsheet_candidate,high,Related packet member should support the packet anchor rather than remain a parallel main.,82,4,DpedroI-brasil-full (cropped).jpg,1830,Cape Verde,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / DpedroI-brasil-full (cropped).jpg / page 180687833,IMG03,345,2657,91
SURF-CAW2026R00002,CAW2026R00002,PKT00618,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,66,4,DpedroI-brasil-full.jpg,1830,Cape Verde,Travel and transport poster culture,Graphic design object record,,Wikimedia Commons file source / DpedroI-brasil-full.jpg / page 2050174,IMG03,955,2489,97
SURF-CAW2026R00003,CAW2026R00003,PKT00618,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,66,4,DpedroI-brasil.png,1830,Cape Verde,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / DpedroI-brasil.png / page 2050058,IMG03,652,2569,97
SURF-CAW2026R00095,CAW2026R00095,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,66,0,"Juan Manuel Blanes (1830-1901) - Yellow Fever in Buenos Aires, 1871 - 525072i - Wellcome Collection.jpg",1830,Uruguay,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Juan Manuel Blanes (1830-1901) - Yellow Fever in Buenos Aires, 1871 - 525072i - Wellcome Collection.jpg / page 164810058",IMG03,454,2861,91
SURF-CAW2026R00089,CAW2026R00089,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,71,0,"Józef Sobolewski - Wykład wiary machometańskiej (1830, WBC) - cover (1) front (cropped).png",1830,Lithuania,Modern typography and layout,Publication design,,"Wikimedia Commons file source / Józef Sobolewski - Wykład wiary machometańskiej (1830, WBC) - cover (1) front (cropped).png / page 145766844",IMG03,902,3027,97
SURF-CAW2026R00090,CAW2026R00090,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,71,0,"Józef Sobolewski - Wykład wiary machometańskiej (1830, WBC) - cover (1) front.png",1830,Lithuania,Modern typography and layout,Publication design,,"Wikimedia Commons file source / Józef Sobolewski - Wykład wiary machometańskiej (1830, WBC) - cover (1) front.png / page 145765567",IMG03,892,3008,97
SURF-CAW2026R00096,CAW2026R00096,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,64,0,"Licenced victuallers (BM 1868,0808.12294 1).jpg",1830,Algeria,Modern typography and layout,Advertisement,,"Wikimedia Commons file source / Licenced victuallers (BM 1868,0808.12294 1).jpg / page 90355904",IMG03,1947,3474,97
SURF-CAW2026R00097,CAW2026R00097,,main_sheet,sheet,subsheet_or_card_review,medium,Singleton lacks explicit packet relation; main status should not be default.,64,0,"Licenced victuallers (BM 1868,0808.12294).jpg",1830,Algeria,Modern typography and layout,Advertisement,,"Wikimedia Commons file source / Licenced victuallers (BM 1868,0808.12294).jpg / page 90355887",IMG03,2228,3473,97
SURF-CAW2026R00009,CAW2026R00009,PKT00661,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,42,4,Marianne North (1830-1890) - 'Benares. India. Novr. 1878' - WD3233 - British Library.jpg,1830,United Kingdom,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - 'Benares. India. Novr. 1878' - WD3233 - British Library.jpg / page 164932284,IMG03,406,2767,91
SURF-CAW2026R00010,CAW2026R00010,PKT00661,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,39,4,"Marianne North (1830-1890) - 'Boro Bodo, Java' - WD3215 - British Library.jpg",1830,United Kingdom,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Marianne North (1830-1890) - 'Boro Bodo, Java' - WD3215 - British Library.jpg / page 164730483",IMG03,307,2713,91
SURF-CAW2026R00011,CAW2026R00011,PKT00661,main_sheet,sheet,main_sheet_manual_review,medium,Packet anchor candidate but needs editorial/source-depth review.,48,4,Marianne North (1830-1890) - 'Street of Hunting Cheetahs and Lynx. Ulwar. India 1878' - WD3244 - British Library.jpg,1830,United Kingdom,World War and public-information graphics,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - 'Street of Hunting Cheetahs and Lynx. Ulwar. India 1878' - WD3244 - British Library.jpg / page 164486837,IMG03,658,2910,97
SURF-CAW2026R00012,CAW2026R00012,PKT00661,main_sheet,sheet,card_or_appendix_candidate,medium,Packet member has weak/context/stamp/event signal.,44,4,Marianne North (1830-1890) - 'The Kutub. Delhi. India. Novr. 1878' - WD3239 - British Library.jpg,1830,United Kingdom,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Marianne North (1830-1890) - 'The Kutub. Delhi. India. Novr. 1878' - WD3239 - British Library.jpg / page 164816595,IMG03,487,2806,91
