batch,path,bytes,sha256,lfs_status,role
A_reproducibility_and_freeze_contract,.gitattributes,489,5548836a6f02acfeeb3c51d2af85be8cb5720ca7dae94fb37bbe7247c93933b1,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,scripts/run_trace_first_aic_geographic_balance_v47.py,15313,18cec03f9b3299fcc845076c45efe3b4b4893a5aa8a4daa100a36037441f1901,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,scripts/build_prefreeze_candidate_v47_aic_balance.py,13928,2651e06099dbf92cee251e9cef1c5308be0cee6ecef249503e2aad750591b53e,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,scripts/build_prefreeze_candidate_v47_search_sqlite.py,11805,6602333ff5f30f32329e5ac602b0155c6ed5df5149257e669aec58a20d77887b,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,scripts/repair_prefreeze_candidate_v48_loc_geography.py,3106,4603bad27c2381d3841c443443f4ebbace50ba951d407541c40ee0090549f8d5,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,scripts/build_prefreeze_candidate_v48_loc_geo_repair.py,7788,df506344ee64c78a5b4100f7311ae01ad1af2da10a6197f66397311a9bd03c99,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,scripts/build_prefreeze_candidate_v48_search_sqlite.py,7129,942246c5aeb796858689d67c03e26fc35927f303034153588517d44a405a56d9,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,scripts/audit_prefreeze_candidate_v48_freeze.py,15958,4f41a10599cf814196d419aaa83789269a775eadd576053ff6da5aa07ba468e5,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,scripts/build_prefreeze_candidate_v48_transfer_manifest.py,7159,9ba8e88046f08f543fb863c51d3e7ae8275a4e2c5fa8aed5798c5760c5cb73db,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,docs/capture/PREFREEZE_CANDIDATE_v47_AIC_TRACE_ADJUNCT.md,1972,19d880fdbb62170b589059ec1bda870def23debffd031763001a90f3ef2a7084,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,docs/capture/PREFREEZE_CANDIDATE_v47_SEARCH_TRACE.md,625,bb86dc53fc20e575a95d1be2ff9e92348e90a023564e5c2badb5a4ccb1b6b3c3,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,docs/capture/PREFREEZE_CANDIDATE_v48_SEARCH_TRACE.md,847,bb4b0146a6931afdb0a64f0d2dcb8d5cf6723cdb4d60d2b35bdf6fc1681bd41d,regular_git,reproducibility_and_contract
A_reproducibility_and_freeze_contract,docs/capture/PREFREEZE_CANDIDATE_V48_FROZEN.md,4903,580fecd5e10a55250b4a1f0188d13ab07eefc532ff8970fdac491615e9a09e15,regular_git,reproducibility_and_contract
B_canonical_v48_candidate_payload,generated/public_surfaces_prefreeze_candidate_v48.json,190067852,b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48,required,canonical_candidate
C_frozen_v48_search_database,data/prefreeze_candidate_v48.sqlite,421801984,ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e,required,frozen_query_snapshot
D_evidence_and_validation,generated/prefreeze_candidate_v47_aic_trace_adjuncts.json,36394,5875201e53492d7e0da688d8e8d5db811998ede5eb7502adbab9e81d0b4d0925,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_quality.csv,320,ca2ee18b1d4a4f322d4bb9c15791cbfec9560b023e9087c2579d7efc1b05264a,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_records.csv,5431,d774548c886fa1f127cb82298ffee94dad7f7bc6fbd1f0d56432909359f2737e,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_summary.csv,319,e0c4766a2e719d9258e0d8e8b304375b81b241501901896b02215dea5da1a02c,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_trace_adjunct_edges.csv,8214,6ede334249ef196fcb7a091927b5958762f879807f69d9b900d7a6c65116d504,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_trace_adjunct_nodes.csv,5698,db21aa53536a4bab7116ba786fa64d581cdae20af679b08c3cda7591d967254b,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_trace_adjunct_records.csv,26889,d18e5da865e51b5db13e5b8d6024c2f4a3cb514fceeb97db44dc7d9cfef838e1,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_trace_edges.csv,1579,ba8073f094365e3461124dc71cfb36367285b4ab29bf7ca2b1d1da0eb8a03b2d,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_trace_nodes.csv,1420,e7c98de3ba74259f2c80fd4d0aa74cf21b78db706222c252f7e94f15330e33a3,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v47_sample_200_audit.csv,69520,f470c82fc6f5821e4f34fdfb90701538f417896dd1f8ef4d74ad6e16ae2c1e3a,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v47_search_benchmark.csv,85,9e851bea78120591efe61a94c8842df4b6cdf7683c30e56d7c4d1d09e0111df6,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v47_search_gate.csv,785,fe161f4bf5930dae4c3c66da85da24196a3ed5848e21e1cd8ec25eedafa2e088,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v47_summary.csv,184,9c7da90d1cdd9d7c4021b3103927c07b5c2eae27158dfeedcdf61e90f67c9907,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v48_loc_geo_repairs.csv,5148,e1831e30ab3d1d56665e679d10d00de4d2c7917b3bb8491d3473fb51c78855fd,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v48_loc_geo_trace_edges.csv,4898,65f3fd566e4c83ec96e0763dd47f28b467f633af1dfa727b22a150151ac68ec9,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v48_loc_geo_trace_nodes.csv,279,873c84818662bd02f356f4288f6f39e0d7b75a0180efbf71b6b032001c0d9629,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v48_sample_200_audit.csv,69845,cbcfd60dd8c7dd9e739d7c6d79d776260f45043cdecf7de9fd39046820567ca0,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v48_search_gate.csv,975,78ab7dbcb51184d65d5343befb0e161cde585de9ed7591b616f9cf2b5b16eaa1,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v48_summary.csv,127,62508af5dbefa7bfff2fe2e47b55fa87ef0233bd6c2fc7c25726eff3d6d9ed7c,regular_git,evidence_or_validation
D_evidence_and_validation,data/prefreeze_candidate_v48_freeze_gate.csv,4560,f7240d6632f20e9b4d0b628c6fbe5cabef134756ed51bd038f580becaf05ca87,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_raw/brazilian_poster.json,61382,f2a54da9c16bab3e080a016deafff4e8f03a746730b938db94b2447c7d314172,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_raw/chinese_poster.json,69238,eb97bb8d7206b976f516bed26bff9bb6a6524f168ae583d305efa9520646dbea,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_raw/cuban_poster.json,61274,5c0341b309769199b69ea9a83273ecdfa61b397537279ecf55c2ae1a5383b1e5,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_raw/indian_poster.json,60400,93da99ba990af2000cf9d772b357a5aac6ff0c38eabf98a2e113a635434ba15b,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_raw/iranian_poster.json,60216,b01460d1d9ff0acabea31637c7cee909addc8750992b8651b7bce68ec080b16c,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_raw/japanese_poster.json,61057,bb943c2455fb7ee724234e979e98fa99ea7a6487c1d8c39fa5f9ea03e7deef8b,regular_git,evidence_or_validation
D_evidence_and_validation,data/capture_batch_trace_first_aic_geographic_balance_v47_raw/mexican_poster.json,60741,14e0c00c56c2ec2e56c25ab56230f4678da2b7ee1ed7a48c55016be5930a1994,regular_git,evidence_or_validation
