surface_id,source_name,region,trace_state,trace_tier,tree_id,declared_edge_count,found_edge_count,object_node_gate,subject_anchor_gate,evidence_return_gate,source_root_gate,branch_class,status,note
SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES,V&A Collections API,great britain; berlin; Berlin,accepted,source_verified,TRTREE014,14,14,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-COMPOUND-HUNTLEY-PALMERS-TRADE-CARDS,V&A Collections API,Britain,accepted,source_verified,TRTREE014,10,10,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-GAX1970R001,Gallica / BnF APIs,France,accepted,metadata_supported,TRTREE017,7,7,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R00615,books.google.co.uk via Wikimedia Commons,Africa / South Africa,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01855,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01856,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01857,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01858,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01859,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-SI1970R001,Smithsonian Open Access,USA; USA,accepted,metadata_supported,TRTREE017,7,7,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-ER1830R001-GROUP,V&A Collections API,London,accepted,source_verified,TRTREE014,9,9,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01860,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01861,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01862,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01863,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01864,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01865,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01866,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01867,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-GAX1970R002,Gallica / BnF APIs,France,accepted,metadata_supported,TRTREE017,8,8,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01868,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01869,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-GA1970R001,Gallica / BnF APIs,France,accepted,metadata_supported,TRTREE017,7,7,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-GAX1970R003,Gallica / BnF APIs,France,accepted,metadata_supported,TRTREE017,8,8,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01870,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01871,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01872,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CGS2026R0681,Private collection scan via Wikimedia Commons,Latin America / Chile,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R00698,Colnect via Wikimedia Commons,Africa / Tanzania,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R00699,Colnect via Wikimedia Commons,Africa / Tanzania,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01873,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R03606,Creator-contributed record via Wikimedia Commons,South Asia / India,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-GAX1970R004,Gallica / BnF APIs,France,accepted,metadata_supported,TRTREE017,7,7,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CHW2026R001,Cooper Hewitt Collection GraphQL API,Austria Vienna Europe / Austria / Vienna / Europe,accepted,metadata_supported,TRTREE017,8,8,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R03607,Creator-contributed record via Wikimedia Commons,South Asia / India,accepted,metadata_supported,TRTREE017,8,8,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R03608,Creator-contributed record via Wikimedia Commons,South Asia / India,accepted,metadata_supported,TRTREE017,8,8,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-GAX1970R005,Gallica / BnF APIs,France,accepted,metadata_supported,TRTREE017,7,7,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R03609,Creator-contributed record via Wikimedia Commons,South Asia / India,accepted,metadata_supported,TRTREE017,8,8,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CRB2026V2R0036,Colnect via Wikimedia Commons,Indonesia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-SI1970R002,Smithsonian Open Access,"United Kingdom: England, Liverpool, Liverpool; United States: Connecticut, Stonington; Liverpool; United States; Connecticut; England; United Kingdom; Stonington",accepted,metadata_supported,TRTREE017,8,8,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-ER1830R002,V&A Collections API,Ghent,accepted,source_verified,TRTREE014,15,15,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01874,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01875,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01876,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01877,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01878,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01879,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01880,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01881,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01882,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,4,4,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-GA1970R002,Gallica / BnF APIs,France,accepted,metadata_supported,TRTREE017,7,7,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CRB2026V2R0657,Library of Congress via Wikimedia Commons,Southeast Asia / Indonesia,accepted,metadata_supported,TRTREE017,7,7,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-GAX1970R006,Gallica / BnF APIs,France,accepted,metadata_supported,TRTREE017,8,8,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CGS2026R0030,Private collection scan via Wikimedia Commons,Latin America / Argentina,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01883,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
SURF-CCT2026R01884,Colnect via Wikimedia Commons,Latin America / Caribbean / Bolivia,accepted,source_verified,TRTREE016,5,5,pass,pass,pass,pass,object_place_and_form,pass,accepted root and declared branches are coherent
