output_root,section,count,chunked,shard_count,max_shard_bytes,total_section_bytes
generated/public_surfaces_v1_shards,meta,1,false,1,314,314
generated/public_surfaces_v1_shards,folderTypes,4,false,1,663,663
generated/public_surfaces_v1_shards,folders,97,false,1,929161,929161
generated/public_surfaces_v1_shards,surfaces,13680,true,28,4736177,109698206
generated/public_surfaces_v1_shards,readingNotes,427,false,1,293040,293040
generated/public_surfaces_v1_shards,bookmarks,0,false,1,3,3
generated/public_surfaces_v1_shards,appendices,3233,true,4,285878,894162
generated/public_surfaces_v1_shards,registrationCards,97,true,4,2902878,6395943
generated/public_surfaces_v1_shards,researchDossiers,13680,true,28,1074341,24373833
frontend/public/data/public_surface_shards_v1,meta,1,false,1,314,314
frontend/public/data/public_surface_shards_v1,folderTypes,4,false,1,663,663
frontend/public/data/public_surface_shards_v1,folders,97,false,1,929161,929161
frontend/public/data/public_surface_shards_v1,surfaces,13680,true,28,4736177,109698206
frontend/public/data/public_surface_shards_v1,readingNotes,427,false,1,293040,293040
frontend/public/data/public_surface_shards_v1,bookmarks,0,false,1,3,3
frontend/public/data/public_surface_shards_v1,appendices,3233,true,4,285878,894162
frontend/public/data/public_surface_shards_v1,registrationCards,97,true,4,2902878,6395943
frontend/public/data/public_surface_shards_v1,researchDossiers,13680,true,28,1074341,24373833
