region_id,region_name,parent_region_id,region_type,priority,coverage_reason,known_bias_risk,language_scope,script_scope,source_strategy,notes
REG001,Western and Central Europe,,macro_region,Launch,"Many canonical modern graphic design movements and institutions are indexed here, but the region must be decomposed rather than treated as Europe-as-default.",Overrepresented in existing canon; risk of becoming the implicit center.,English; German; French; Dutch; Italian; Spanish; others,Latin,Museum APIs; national libraries; poster archives; design school archives; periodicals; exhibition catalogues.,"Must include both canonical and non-canonical production, not only Bauhaus/Swiss/modernism."
REG002,"Eastern Europe, Balkans, and Central/Eastern socialist contexts",,macro_region,Launch,"Important for constructivism, socialist visual communication, poster cultures, state design, publishing, and post-socialist design histories.",Often compressed into Russian/Soviet references or omitted from Western survey narratives.,Polish; Czech; Slovak; Hungarian; Romanian; Bulgarian; Serbian; Croatian; Ukrainian; Russian; others,Latin; Cyrillic,National libraries; poster museums; Europeana; university archives; state archives; periodical repositories.,"Needs separate tracking for USSR, non-Russian Soviet republics, and socialist/non-aligned countries."
REG003,North America,,macro_region,Launch,"Important for advertising, corporate identity, editorial design, design education, community graphics, digital media, and counterpublic archives.","High digitization may overstate centrality; U.S. sources can dominate Canada, Mexico, and Indigenous histories.",English; French; Spanish; Indigenous languages,Latin; Indigenous scripts where applicable,Museum APIs; Library of Congress; DPLA; university special collections; community archives; web archives.,Do not collapse North America into U.S. modernism.
REG004,Latin America and the Caribbean,,macro_region,Launch,"Essential for poster cultures, political graphics, publishing, modernisms, national identity systems, and anti-colonial/decolonial visual communication.",Often appears only as revolution/poster imagery or isolated modernist cases.,Spanish; Portuguese; French; English; Indigenous languages; Caribbean creoles,Latin,National libraries; poster archives; university archives; museum collections; periodicals; political graphics archives.,"Needs country-level and transnational routes, including Cuba, Mexico, Brazil, Argentina, Chile, and Caribbean contexts."
REG005,Japan,REG007,country_context,Launch,"Essential for modern poster design, typography, magazine culture, postwar design, corporate identity, packaging, and interface/game/platform visual cultures.","Frequently represented through a small canon of poster designers while everyday publishing, advertising, and digital design are under-indexed.",Japanese; English,Kanji; Hiragana; Katakana; Latin,National Diet Library; museum collections; design museum archives; magazine/advertising archives; poster collections; web archives.,Requires multilingual search terms and Japanese script support from the start.
REG006,Korea,REG007,country_context,Launch,"Essential for Hangul typography, print modernization, postwar visual culture, corporate identity, political graphics, publishing, and contemporary digital/platform design.",Often missing from English-language design history frameworks or folded into generic East Asia.,Korean; English,Hangul; Hanja; Latin,National libraries; museum collections; design archives; university repositories; poster and magazine archives; web archives.,Needs Korean-language search vocabulary and authority strategy.
REG007,East Asia,,macro_region,Launch,"Necessary as a transnational frame for China, Japan, Korea, Taiwan, Hong Kong, and regional visual circulation.",Risk of flattening distinct histories into a single regional label.,Chinese; Japanese; Korean; English; others,Han characters; Kana; Hangul; Latin,National libraries; museum collections; regional archives; periodicals; web archives; bilingual source registry.,Use as parent region only; most records should also have more specific country/city context.
REG008,Mainland China,REG007,country_context,Launch,"Essential for modern print culture, typography, propaganda, book and magazine design, commercial graphics, socialist visual communication, reform-era design, branding, web/interface culture, and platform-native visual communication.",Often reduced to propaganda posters or absent from global graphic design surveys.,Chinese; English,Simplified Chinese; Traditional Chinese in historical contexts; Latin,National and university libraries; poster collections; museum collections; periodical archives; book databases; web archives; bilingual/manual indexing.,"Needs careful periodization: late Qing print, Republican Shanghai, socialist state design, reform-era commercial design, contemporary digital platforms."
REG009,Hong Kong,REG007,city/territory_context,Launch,"Important for bilingual typography, film and entertainment graphics, publishing, advertising, identity, protest graphics, and regional circulation.",Often folded into either British colonial or Chinese frameworks without local media specificity.,Chinese; Cantonese; English,Traditional Chinese; Latin,University archives; museum collections; film/poster archives; periodicals; web archives; community archives.,"Needs distinct treatment because of bilingual, colonial, commercial, and activist visual cultures."
REG010,Taiwan,REG007,country/territory_context,Launch,"Important for print modernization, political graphics, publishing, typography, identity, advertising, and contemporary digital culture.",Often absent from English-language frameworks or merged into broader Chinese design history.,Chinese; Taiwanese Hokkien; Japanese historical materials; English,Traditional Chinese; Kana in historical contexts; Latin,National libraries; museum archives; university repositories; periodicals; poster archives; web archives.,"Needs separate tracking of Japanese colonial, postwar, democratization, and contemporary periods."
