metric,value,count,rate
target,baseline_global_edge_sources,81,
target,new_candidate_sources,228,103.64
target,baseline_plus_new_candidate_sources,309,
target,new_source_target_met,True,
probe,probe_rows,228,
probe,ok,127,55.70
probe,success_target_met,True,105.83
probe,failed,90,39.47
probe,http_error,11,4.82
probe,p1_actionable_rows,119,52.19
img_source_visible,source_visible_protocol_candidates,13,5.70
rights,img01_img03_auto_upgrades,0,0.00
probe_status,ok,127,55.70
probe_status,failed,90,39.47
probe_status,http_error,11,4.82
capture_priority_next,P2 retry/manual verification,101,44.30
capture_priority_next,P1 adapter build,68,29.82
capture_priority_next,P1 text/source enrichment,51,22.37
capture_priority_next,P2 manual source review,8,3.51
adapter_hint,manual_review_or_alternate_endpoint,101,44.30
adapter_hint,wordpress_rest_or_html_adapter,50,21.93
adapter_hint,html_metadata_adapter,19,8.33
adapter_hint,html_jsonld_adapter,13,5.70
adapter_hint,headless_metadata_probe_only,11,4.82
adapter_hint,bibliographic_adapter,10,4.39
adapter_hint,iiif_manifest_adapter,9,3.95
adapter_hint,rss_atom_source_adapter,5,2.19
adapter_hint,pdf_text_or_link_adapter,4,1.75
adapter_hint,dspace_oai_or_rest_adapter,3,1.32
adapter_hint,manual_source_adapter,1,0.44
adapter_hint,contentdm_source_adapter,1,0.44
adapter_hint,aggregator_metadata_adapter,1,0.44
detected_protocol,RSS/Atom,59,25.88
detected_protocol,WordPress REST,55,24.12
detected_protocol,JSON-LD,43,18.86
detected_protocol,PDF,33,14.47
detected_protocol,Static JS App,30,13.16
detected_protocol,IIIF,10,4.39
detected_protocol,DSpace,3,1.32
detected_protocol,CONTENTdm,1,0.44
failure_family,dns_or_domain,56,24.56
failure_family,ssl_or_certificate,18,7.89
failure_family,timeout,13,5.70
failure_family,http_403,8,3.51
failure_family,http_404,2,0.88
failure_family,other_failure,2,0.88
failure_family,http_500,1,0.44
failure_family,network_unreachable,1,0.44
candidate_priority_all,P1,135,59.21
candidate_priority_all,P2,77,33.77
candidate_priority_all,P0,16,7.02
impact_rating_all,B,138,60.53
impact_rating_all,A,81,35.53
impact_rating_all,C,9,3.95
candidate_priority_ok,P1,79,62.20
candidate_priority_ok,P2,37,29.13
candidate_priority_ok,P0,11,8.66
impact_rating_ok,B,73,57.48
impact_rating_ok,A,51,40.16
impact_rating_ok,C,3,2.36
