gate,value,status,requirement,note
sqlite_integrity,ok,PASS,ok,SQLite pages and indexes are internally consistent.
active_object_count,15921,PASS,15921,Search count layer matches candidate v9.
authority_uncertain_active_leak,0,PASS,0,Uncertain authority remains outside the active total.
authority_uncertain_review_objects,4425,PASS,4425,Previously isolated authority-uncertain objects remain available only through review search.
authority_uncertain_missing_search,0,PASS,0,Every isolated authority object has a review document.
trace_coverage_pct,100.00,PASS,>=90.00,Accepted source-verified and metadata-supported TRACE.
accepted_trace_contract_incomplete,0,PASS,0,"Accepted TRACE requires node, edges, and return URL."
accepted_trace_without_indexed_edges,0,PASS,0,Every accepted TRACE object reaches indexed edges.
metadata_supported_unresolved_geography,0,PASS,0,Metadata-supported TRACE cannot replace missing geography.
metadata_supported_core_edge_incomplete,0,PASS,0,Metadata-supported objects require at least three core edges.
influence_edges,0,PASS,0,Influence is never generated from association.
qualified_spc_not_active,0,PASS,0,All verified qualified SPC objects join candidate v9.
filename_extension_titles,0,PASS,0,Display titles do not expose image filename suffixes.
active_objects_without_search_document,0,PASS,0,Every active object is present in the preprocessed search.
review_documents_searchable,12515,PASS,>0,Held context is searchable but count-isolated.
