source_prospect_id,source_name,source_url,region_group,subregion,country_or_territory,language_scripts,source_family,source_role,protocol_hints,rights_posture,expected_image_path,expected_text_path,credibility_tier,capture_priority,known_limitations,recommended_adapter,seed_query_or_discovery_route,last_checked,source_status,capture_record_count,img00_count,img01_count,img02_count,img03_count,img04_count,discovered_from,notes
SPV2-0001,South African History Archive,https://www.saha.org.za/,Africa,,South Africa,English or local language,community_activist_diaspora_archive,source_record_candidate,HTML; PDF; run_noncanonical_exact_source_capture_1970_2000.py,high_review_required,source_return_or_img00,metadata_plus_source_return,A_verified_or_captured,P0_active_or_already_captured,Exact source-page capture for noncanonical movement/community archive coverage.,html,source_candidate_registry_v1,2026-06-01,captured_source_summary,6,0,0,6,0,0,source_candidate_registry_v1; source_probe_edge_v2; source_dependency_ledger; capture_batch_noncanonical_exact_sources_1970_2000_source_summary.csv,"anti-apartheid graphics, Medu posters, counterpublic design"
SPV2-0002,Getty Research Portal,https://portal.getty.edu/,Global / web / transnational,,,English or local language,independent_design_archive_or_publication,source_record_candidate,manual; run_midcentury_expansion_capture_1931_1970.py,high_review_required,no_image_expected_text_page,source_context_text,A_verified_or_captured,P0_active_or_already_captured,Second 1931-1970 mixed-source expansion batch; not final source record until review.,manual,source_candidate_registry_v1,,captured_source_summary,6,0,0,0,0,6,source_candidate_registry_v1; source_dependency_ledger; capture_batch_midcentury_expansion_1931_1970_source_summary.csv,"design histories, exhibition catalogues, movement anthologies, regional monographs"
SPV2-0003,Biblioteca Nacional Digital de Chile,https://www.bibliotecanacionaldigital.gob.cl/,Latin America,,,Spanish,government_or_public_cultural_database,source_of_record_candidate,HTML; captured adapter; run_noncanonical_exact_source_capture_1970_2000.py,source_hosted_or_viewer_review_required,iiif_or_source_viewer,source_context_text,A_custodial_or_public_institution,P0_active_or_already_captured,Exact source-page capture for noncanonical movement/community archive coverage.,html,source_candidate_registry_v1,2026-06-01,captured_source_summary,6,0,0,6,0,0,source_candidate_registry_v1; source_candidate_probe_v1; source_dependency_ledger; capture_batch_noncanonical_exact_sources_1970_2000_source_summary.csv,"Strong for magazines, graphics, photo and music archives"
SPV2-0004,Chinese Posters,https://chineseposters.net/,Mainland China,,,Chinese; English possible,poster_film_festival_design_archive,source_record_candidate,IIIF; API; HTML; run_midcentury_expansion_capture_1931_1970.py,link_only_until_rights_verified,iiif_or_source_viewer,source_context_text,A_verified_or_captured,P0_active_or_already_captured,Second 1931-1970 mixed-source expansion batch; not final source record until review.,iiif_or_api_or_html,source_candidate_registry_v1,,captured_source_summary,12,12,0,0,0,0,source_candidate_registry_v1; source_dependency_ledger; capture_batch_midcentury_expansion_1931_1970_source_summary.csv,high-yield mainland Chinese poster and campaign graphics connector
SPV2-0005,Art Institute of Chicago API,https://api.artic.edu/,North America,,,English or local language,general_archive_or_collection,source_record_candidate,IIIF; API; run_early_region_capture_1830_1930.py; run_midcentury_capture_1930_1970.py,high_review_required,iiif_or_source_viewer,structured_metadata,A_verified_or_captured,P0_active_or_already_captured,Capture-batch production candidate; not final source record until review.,iiif_or_api,source_candidate_registry_v1,,captured_source_summary,105,82,0,0,21,2,source_candidate_registry_v1; source_dependency_ledger; capture_batch_001_source_summary.csv; capture_batch_early_region_1830_1930_source_summary.csv; capture_batch_midcentury_1930_1970_source_summary.csv,Strong for poster and print history
SPV2-0006,Te Papa Collections Online,https://collections.tepapa.govt.nz/,Oceania and Pacific,,,English or local language,general_archive_or_collection,source_record_candidate,API; HTML; run_gap_noncanonical_image_text_capture_1930_2000.py,high_review_required,open_download_or_open_api,source_context_text,A_verified_or_captured,P0_active_or_already_captured,Gap capture for noncanonical source-linked image/text records; no local image copies.,api_or_html,source_candidate_registry_v1,,captured_source_summary,88,1,0,87,0,0,source_candidate_registry_v1; source_dependency_ledger; capture_batch_gap_noncanonical_image_text_1930_2000_source_summary.csv; capture_batch_late_period_coverage_1970_2026_source_summary.csv,"New Zealand posters, design objects, protest/campaign graphics, exhibition records"
SPV2-0007,DigitalNZ,https://digitalnz.org/,Oceania and Pacific,,,English or local language,government_or_public_cultural_database,source_record_candidate,API; run_digitalnz_image_ready_1830_1970.py,link_only_until_rights_verified,source_return_or_img00,structured_metadata,A_verified_or_captured,P0_active_or_already_captured,DigitalNZ no-key image-ready capture.,api,source_candidate_registry_v1,,captured_source_summary,101,0,0,0,101,0,source_candidate_registry_v1; source_dependency_ledger; capture_batch_digitalnz_image_ready_1830_1970_source_summary.csv,"Aotearoa/New Zealand distributed print, poster and visual culture"
SPV2-0008,Roots.sg Collections,https://www.roots.gov.sg/,Southeast Asia,,Singapore,English or local language,independent_design_archive_or_publication,source_of_record_candidate,HTML; captured adapter; run_noncanonical_exact_source_capture_1970_2000.py,source_hosted_or_viewer_review_required,iiif_or_source_viewer,source_context_text,B_contextual_or_community_custody,P0_active_or_already_captured,Exact source-page capture for noncanonical movement/community archive coverage.,html,source_candidate_registry_v1,2026-06-01,captured_source_summary,4,0,0,4,0,0,source_candidate_registry_v1; source_probe_edge_v2; source_dependency_ledger; capture_batch_noncanonical_exact_sources_1970_2000_source_summary.csv,Good for Singapore visual culture and design objects
SPV2-0009,Wellcome Collection Catalogue API,https://developers.wellcomecollection.org/docs/catalogue,Western/Central Europe,,,English or local language,library_or_national_library,source_record_candidate,IIIF; API; run_image_ready_expansion_1931_1970.py,high_review_required,open_download_or_open_api,structured_metadata,A_verified_or_captured,P0_active_or_already_captured,Only IMG01/IMG02/IMG03 records are written to this image-ready expansion batch.,iiif_or_api,source_candidate_registry_v1,,captured_source_summary,178,3,0,163,12,0,source_candidate_registry_v1; source_dependency_ledger; capture_batch_image_ready_1931_1970_source_summary.csv; capture_batch_midcentury_expansion_1931_1970_source_summary.csv,"Strong for posters, printed health graphics, public communication design"
SPV2-0010,Cleveland Museum Open Access API,https://clevelandart.org/art/1926.297,active payload / needs registry mapping,,,English or local language,general_archive_or_collection,source_record_candidate,captured adapter; run_early_region_capture_1830_1930.py,open_candidate_review_required,open_download_or_open_api,metadata_plus_source_return,A_verified_or_captured,P0_active_or_already_captured,Capture-batch production candidate; not final source record until review.,captured adapter,source_candidate_registry_v1,,captured_source_summary,37,0,0,0,37,0,source_candidate_registry_v1; source_dependency_ledger; capture_batch_001_source_summary.csv; capture_batch_early_region_1830_1880_source_summary.csv; capture_batch_early_region_1830_1930_source_summary.csv,This source appears in generated/public_surfaces_v1.json but was not matched to source_expansion_matrix.csv by name.
