validation_sample_id,surface_id,capture_id,sample_target_marker,title,period,region,theme,source_family,image_state,initial_recommended_role,second_pass_role,second_pass_decision,second_pass_confidence,second_pass_fail_pattern,second_pass_reason,parent_candidate,second_pass_parent_status,relation_type,text_need_level,second_pass_text_status,blocker_class,payload_surface_disposition,payload_publication_role,payload_object_type,payload_medium,payload_place_text,payload_source_reading_text_length,payload_reading_text_length,payload_source_url,source_context_excerpt
MSTV0041,SURF-GAX1970R058,GAX1970R058,packet_anchor_or_member_review,La typographie orientale à l'Imprimerie nationale et la publication de la collection orientale,1850_1899,France,Midcentury modern graphic communication,Gallica / BnF APIs,IMG03,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",France|Midcentury modern graphic communication|Gallica / BnF APIs|1880s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,medium,inherited_from_parent_unless_local_caution,large_cluster_parentage_review,main_sheet,main_sheet,Gallica visual/document record,1 vol. (57 p.) ; in-fol; Nombre total de vues : 73,France,213,1716,https://gallica.bnf.fr/ark:/12148/bpt6k3041474p,La typographie orientale à l'Imprimerie nationale et la publication de la collection orientale Gallica / BnF APIs Avec mode texte; 1 vol. (57 p.); in-fol; Nombre total de vues : 73 This leaf records La typographie orientale à l'Imprimerie nationale et la publication de la collection orientale as a Gallica visual/document record sourced from Gallica / BnF APIs. The item metadata gives date evidence: 1884; place evidence: France; form/medium: Gallica visual/document record. The source-side description adds this evidence: Avec mode texte; 1 vol. (57 p.); in-fol; Nombre total de vues : 73 Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb33633488h; (Paris). The project keeps this as an
MSTV0042,SURF-GA1970R042,GA1970R042,packet_anchor_or_member_review,"Les noces Wesele, libre réalisation en trois phases du drame de Stanislas Wyspianski... Art et Action donnera sa 92e séance le dimanche 4 novembre 1923 en son studio... : [affiche] / [non signé] ; bois gravé non signé",1914_1945,France,Midcentury modern graphic communication,Gallica / BnF APIs,IMG03,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,medium,inherited_from_parent_unless_local_caution,large_cluster_parentage_review,main_sheet,main_sheet,Gallica visual/document record,"1 est. ; 0,56 x 0,39 m; image/jpeg; Nombre total de vues : 1",France,222,1945,https://gallica.bnf.fr/ark:/12148/btv1b53145566h,"Les noces Wesele, libre réalisation en trois phases du drame de Stanislas Wyspianski... Art et Action donnera sa 92e séance le dimanche 4 novembre 1923 en son studio... : [affiche] / [non signé] ; bois gravé non signé Gallica / BnF APIs Affiche; 1 est.; 0,56 x 0,39 m; image/jpeg; Nombre total de vues : 1 Les noces Wesele, libre réalisation en trois phases du drame de Stanislas Wyspianski... Art et Action donnera sa 92e séance le dimanche 4 novembre 1923 en son studio... : [affiche] / [non signé] ; bois gravé non signé is filed here as a Gallica visual/document record from Gallica / BnF APIs. The item metadata gives date evidence: 1923; place evidence: France; form/medium: Gallica visual/docu"
MSTV0043,SURF-GA1970R041,GA1970R041,packet_anchor_or_member_review,"Le dimanche 2 déc. 1923, Art et Action donnera sa 98ème séance... F. Divoire, la naissance du poème... Poème-dancing, terre de Chomette... Stéphane Mallarmé, un coup de dé jamais n'abolira le hazard... H.-M. Barzun, l'universel drame simult",1914_1945,France,Midcentury modern graphic communication,Gallica / BnF APIs,IMG03,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,medium,inherited_from_parent_unless_local_caution,large_cluster_parentage_review,main_sheet,main_sheet,Gallica visual/document record,"1 est. ; 0,65 x 0,45 m; image/jpeg; Nombre total de vues : 1",France,222,2096,https://gallica.bnf.fr/ark:/12148/btv1b53145567z,"Le dimanche 2 déc. 1923, Art et Action donnera sa 98ème séance... F. Divoire, la naissance du poème... Poème-dancing, terre de Chomette... Stéphane Mallarmé, un coup de dé jamais n'abolira le hazard... H.-M. Barzun, l'universel drame simultané Panharmonie orphique... : [affiche] / [non signé] ; bois gravé, non signé Gallica / BnF APIs Affiche; 1 est.; 0,65 x 0,45 m; image/jpeg; Nombre total de vues : 1 This leaf records Le dimanche 2 déc. 1923, Art et Action donnera sa 98ème séance... F. Divoire, la naissance du poème... Poème-dancing, terre de Chomette... Stéphane Mallarmé, un coup de dé jamais n'abolira le hazard... H.-M. Barzun, l'universel drame simultané Panharmonie… as a Gallica visual"
MSTV0044,SURF-GA1970R039,GA1970R039,packet_anchor_or_member_review,"Théâtre national de l'Opéra, Bal Molière, mardi 28 fevrier 1922 : [affiche]",1914_1945,France,Midcentury modern graphic communication,Gallica / BnF APIs,IMG03,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,medium,inherited_from_parent_unless_local_caution,large_cluster_parentage_review,main_sheet,main_sheet,Gallica visual/document record,1 est. ; 155 x 116 cm; image/jpeg; Nombre total de vues : 1,France,245,1826,https://gallica.bnf.fr/ark:/12148/btv1b53121573k,"Théâtre national de l'Opéra, Bal Molière, mardi 28 fevrier 1922 : [affiche] Gallica / BnF APIs Affiche; 1 est.; 155 x 116 cm; image/jpeg; Nombre total de vues : 1 Théâtre national de l'Opéra, Bal Molière, mardi 28 fevrier 1922 : [affiche] is presented as a source-linked Gallica visual/document record; the holding evidence remains with Gallica / BnF APIs. The item metadata gives date evidence: 1922; creator/attribution: Opéra national de Paris. Auteur du texte; place evidence: France; form/medium: Gallica visual/document record. The source-side description adds this evidence: Affiche; 1 est.; 155 x 116 cm; image/jpeg; Nombre total de vues : 1 Notice du catalogue : http://catalogue.bnf.fr/ark:"
MSTV0073,SURF-IAC1990R006,IAC1990R006,packet_anchor_or_member_review,In Solidarity With UK Students,2020_2026,Malaysia,Midcentury modern graphic communication,Malaysia Design Archive,IMG02,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",Malaysia|Midcentury modern graphic communication|Malaysia Design Archive|2020s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,medium,inherited_from_parent_unless_local_caution,large_cluster_parentage_review,main_sheet,main_sheet,Poster,Poster,Malaysia,202,1891,https://search.malaysiadesignarchive.org/item/in-solidarity-with-uk-students/,In Solidarity With UK Students Malaysia Design Archive Student Power Poster Series The archive keeps In Solidarity With UK Students as a traceable Poster connected back to Malaysia Design Archive. The item metadata gives date evidence: 2022-04-26; place evidence: Malaysia; form/medium: Poster. The source-side description adds this evidence: Student Power Poster Series Captured as a regional/community archive item. Publication date is the source record date unless item metadata provides a more specific work date. The project keeps this as an index-and-return surface: the page gives enough context to read the record while the source link remains the evidentiary home. Student Power Poster Serie
MSTV0074,SURF-IAC1990R007,IAC1990R007,packet_anchor_or_member_review,Mahasiswa Bangkitlah Dari Tidurmu,2020_2026,Malaysia,Midcentury modern graphic communication,Malaysia Design Archive,IMG02,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",Malaysia|Midcentury modern graphic communication|Malaysia Design Archive|2020s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,medium,inherited_from_parent_unless_local_caution,large_cluster_parentage_review,main_sheet,main_sheet,Poster,Poster,Malaysia,202,1873,https://search.malaysiadesignarchive.org/item/mahasiswa-bangkitlah-dari-tidurmu/,Mahasiswa Bangkitlah Dari Tidurmu Malaysia Design Archive Student Power Poster Series Mahasiswa Bangkitlah Dari Tidurmu is filed here as a Poster from Malaysia Design Archive. The item metadata gives date evidence: 2022-04-26; place evidence: Malaysia; form/medium: Poster. The source-side description adds this evidence: Student Power Poster Series Captured as a regional/community archive item. Publication date is the source record date unless item metadata provides a more specific work date. The project keeps this as an index-and-return surface: the page gives enough context to read the record while the source link remains the evidentiary home. Student Power Poster Series Malaysia Design Arc
MSTV0075,SURF-IAC1990R005,IAC1990R005,packet_anchor_or_member_review,Silhouette of A Person Holding A Sign Against A Blue Background,2020_2026,Malaysia,Midcentury modern graphic communication,Malaysia Design Archive,IMG02,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",Malaysia|Midcentury modern graphic communication|Malaysia Design Archive|2020s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,medium,inherited_from_parent_unless_local_caution,large_cluster_parentage_review,main_sheet,main_sheet,Poster,Poster,Malaysia,202,2006,https://search.malaysiadesignarchive.org/item/silhouette-of-a-person-holding-a-sign-against-a-blue-background/,Silhouette of A Person Holding A Sign Against A Blue Background Malaysia Design Archive Student Power Poster Series Silhouette of A Person Holding A Sign Against A Blue Background is presented as a source-linked Poster; the holding evidence remains with Malaysia Design Archive. The item metadata gives date evidence: 2022-04-26; place evidence: Malaysia; form/medium: Poster. The source-side description adds this evidence: Student Power Poster Series Captured as a regional/community archive item. Publication date is the source record date unless item metadata provides a more specific work date. The project keeps this as an index-and-return surface: the page gives enough context to read the rec
MSTV0076,SURF-IAC1990R001,IAC1990R001,packet_anchor_or_member_review,A Force More Powerful,2020_2026,Malaysia,Midcentury modern graphic communication,Malaysia Design Archive,IMG02,sub_under_packet,sub_under_packet,accept_initial,medium,parent_needs_named_anchor,"Cluster membership supports sub direction, but the parent must be converted from a cluster key into a named anchor before application.",Malaysia|Midcentury modern graphic communication|Malaysia Design Archive|2020s,cluster_key_parent_needs_named_anchor,member_of_source_cluster_packet,medium,inherited_from_parent_unless_local_caution,large_cluster_parentage_review,main_sheet,main_sheet,Poster,Poster,Malaysia,200,1877,https://search.malaysiadesignarchive.org/item/a-force-more-powerful/,A Force More Powerful Malaysia Design Archive People Power Poster Series A Force More Powerful is presented as a source-linked Poster; the holding evidence remains with Malaysia Design Archive. The item metadata gives date evidence: 2022-04-26; place evidence: Malaysia; form/medium: Poster. The source-side description adds this evidence: People Power Poster Series Captured as a regional/community archive item. Publication date is the source record date unless item metadata provides a more specific work date. The project keeps this as an index-and-return surface: the page gives enough context to read the record while the source link remains the evidentiary home. People Power Poster Series Mal
MSTV0001,SURF-PUL1970R002,PUL1970R002,anchor_if_editorial_text_added,"Poster lore ... an amateur journal for art students and latter Day enthusiasts. [book 1]-2, pt. 1. (Jan.-Sept. 1896).",1850_1899,United States,Midcentury modern graphic communication,Princeton Figgy,IMG02,main_needs_text,main_needs_text,accept_initial,medium,none,"Payload supports anchor potential, but text is required to avoid metadata-only main status.",SURF-PUL1970R002,not_required,packet_anchor_requires_text,low,required_before_main_publication,none,main_sheet,main_sheet,Scanned Resource,; 2 v. in 1. 17 cm.; Book,United States / Princeton,183,2234,https://figgy.princeton.edu/catalog/0cf2f6c7-0c41-42a6-b630-ff9d2fe033b3,"Poster lore ... an amateur journal for art students and latter Day enthusiasts. [book 1]-2, pt. 1. (Jan.-Sept. 1896). Princeton University Library Digital Collections / Figgy The source does not provide extended descriptive prose. The item metadata gives date evidence: 1896; place evidence: United States / Princeton; form/medium: Scanned Resource; 2 v. in 1. 17 cm; Book. For this reason the archive treats the page primarily as source-linked evidence rather than as a finished narrative entry. The archive keeps Poster lore ... an amateur journal for art students and latter Day enthusiasts. [book 1]-2, pt. 1. (Jan.-Sept. 1896). as a traceable Scanned Resource; 2 v. in 1. 17 cm; Book connected b"
MSTV0002,SURF-PUL1970R004,PUL1970R004,anchor_if_editorial_text_added,Somers Historical Society [Circus collection exhibition poster].,1900_1913,United States,Postwar exhibition and cultural posters,Princeton Figgy,IMG02,main_needs_text,main_needs_text,accept_initial,medium,none,"Payload supports anchor potential, but text is required to avoid metadata-only main status.",SURF-PUL1970R004,not_required,packet_anchor_requires_text,low,required_before_main_publication,none,main_sheet,main_sheet,Scanned Resource,; 1 item ; sheet 21 1/2 x 17 in..; Visual material,United States / Princeton,201,2038,https://figgy.princeton.edu/catalog/8fe1a4b2-9ed9-415f-9778-2ae749f716ed,Somers Historical Society [Circus collection exhibition poster]. Princeton University Library Digital Collections / Figgy Unidentified Artist [illustrator] This leaf records Somers Historical Society [Circus collection exhibition poster]. as a Scanned Resource; 1 item; sheet 21 1/2 x 17 in; Visual material sourced from Princeton University Library Digital Collections / Figgy. The item metadata gives date evidence: 1900-1999; place evidence: United States / Princeton; form/medium: Scanned Resource; 1 item; sheet 21 1/2 x 17 in; Visual material. The source-side description adds this evidence: Unidentified Artist [illustrator]; ark:/88435/dczw12zk43b; https://iiif-cloud.princeton.edu/iiif/2/0a%
