metric,value,count,rate,notes
target_source_coverage,captured_sources_over_targets,5/10,50.00,How many planned non-mainstream regional source targets produced at least one record.
record_health,required_fields_complete,21/21,100.00,"Required source, citation, rights, title, description, and image-state fields present."
img_rate,source_visible_or_source_hosted,15/21,71.43,IMG01/IMG02/IMG03 or source-hosted image URL; not an open-image claim.
rights_review_rate,rights_review_required_true,21/21,100.00,All new rows should require item-level rights review.
macro_region_coverage,Africa,2,40.00,
macro_region_coverage,Southeast Asia,1,20.00,
macro_region_coverage,MENA,1,20.00,
macro_region_coverage,South Asia,1,20.00,
record_place_coverage,Malaysia,5,23.81,
record_place_coverage,MENA,4,19.05,
record_place_coverage,Africa,4,19.05,
record_place_coverage,South Africa,4,19.05,
record_place_coverage,India,4,19.05,
image_state_distribution,IMG02,15,71.43,
image_state_distribution,IMG04,6,28.57,
impact_factor_rating,A,15,71.43,"Internal triage only, not public authority."
impact_factor_rating,B,6,28.57,"Internal triage only, not public authority."
