source_file,capture_id,priority,action_type,risk_flags,year,region,image_state,title,source_name,recommendation
capture_batch_001_records.csv,ECAP041,P0,card_or_appendix_reclass_review,context_image_or_environmental_poster; img04_text_or_no_visual_review; unresolved_or_inferred_region,,,IMG04,"[Political posters related to issues in Pakistan and Afghanistan, some published in Quetta, Pakistan, including posters issued by the Taliban and Jamiat Ulema-e-Islam, posters in sympathy with the Northern alliance and other anti-Taliban movements in Afghanist",Library of Congress loc.gov API,Do not keep as primary design object unless an item-level design-work rationale survives manual review.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00122,P0,card_or_appendix_reclass_review,event_photo_memory_or_commemoration,1837,Middle East and North Africa / Egypt,IMG03,STAMPS (4263067047).jpg,Wikimedia Commons file source / STAMPS (4263067047).jpg / page 136524092,Do not keep as primary design object unless an item-level design-work rationale survives manual review.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00207,P0,card_or_appendix_reclass_review,context_image_or_environmental_poster,1853,Oceania / Pacific / Aotearoa New Zealand,IMG03,"Wellington Provincial Council elections, 1853.jpg","Wikimedia Commons file source / Wellington Provincial Council elections, 1853.jpg / page 16906844",Do not keep as primary design object unless an item-level design-work rationale survives manual review.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00222,P0,card_or_appendix_reclass_review,event_photo_memory_or_commemoration,1857,Latin America / Caribbean / Panama,IMG03,"Panama 1949 Mi 387 stamp (75th anniversary of the UPU. Alejandro Melendez G. (' 1857), teacher).jpg","Wikimedia Commons file source / Panama 1949 Mi 387 stamp (75th anniversary of the UPU. Alejandro Melendez G. (' 1857), teacher).jpg / page 118819233",Do not keep as primary design object unless an item-level design-work rationale survives manual review.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00315,P0,card_or_appendix_reclass_review,event_photo_memory_or_commemoration,1870,Eastern Europe / Caucasus / Ukraine,IMG03,Hubert Lanzinger Der Bannerträger (The Standard bearer) Oil on plywood ca 1934-36 Adolf Hitler as knight Denazified hole in Hitler's face scrathes US Army Center of Military History USHMM No known copyright restrictions 2450324-2396x2.jpg,Wikimedia Commons file source / Hubert Lanzinger Der Bannerträger (The Standard bearer) Oil on plywood ca 1934-36 Adolf Hitler as knight Denazified hole in Hitler's face scrathes US Army Center of Military History...,Do not keep as primary design object unless an item-level design-work rationale survives manual review.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00336,P0,card_or_appendix_reclass_review,event_photo_memory_or_commemoration,1874,Eastern Europe / Caucasus / Ukraine,IMG03,Ludwig HOHLWEIN Reichs Parteitag-Nürnberg 1936 Hitler Ansichtskarte Propaganda Drittes Reich Nazi Germany Veterans Picture postcard Public Domain No known copyright 627900-000016.jpg,Wikimedia Commons file source / Ludwig HOHLWEIN Reichs Parteitag-Nürnberg 1936 Hitler Ansichtskarte Propaganda Drittes Reich Nazi Germany Veterans Picture postcard Public Domain No known copyright 627900-000016.jpg /...,Do not keep as primary design object unless an item-level design-work rationale survives manual review.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00352,P0,card_or_appendix_reclass_review,event_photo_memory_or_commemoration,1877,Eastern Europe / Caucasus / Bulgaria,IMG03,Stamp of Russia 2013 No 1686 Russo-Turkish War 1877-78.jpg,Wikimedia Commons file source / Stamp of Russia 2013 No 1686 Russo-Turkish War 1877-78.jpg / page 24996155,Do not keep as primary design object unless an item-level design-work rationale survives manual review.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00469,P0,card_or_appendix_reclass_review,event_photo_memory_or_commemoration,1885,Central Asia / Uzbekistan,IMG03,"The Soviet Union 1965 CPA 3211 stamp (80th birth anniversary of Yuldash Akhunbabaev, Soviet Uzbek politician, revolutionary, and communist activist).jpg","Wikimedia Commons file source / The Soviet Union 1965 CPA 3211 stamp (80th birth anniversary of Yuldash Akhunbabaev, Soviet Uzbek politician, revolutionary, and communist activist).jpg / page 102457067",Do not keep as primary design object unless an item-level design-work rationale survives manual review.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00470,P0,card_or_appendix_reclass_review,event_photo_memory_or_commemoration,1885,Central Asia / Uzbekistan,IMG03,Почтовая марка СССР № 3211. 1965. Деятели КПСС и Советского государства.jpg,Wikimedia Commons file source / Почтовая марка СССР № 3211. 1965. Деятели КПСС и Советского государства.jpg / page 59005032,Do not keep as primary design object unless an item-level design-work rationale survives manual review.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00612,P0,card_or_appendix_reclass_review,event_photo_memory_or_commemoration,1890,Latin America / Caribbean / El Salvador,IMG03,El Salvador 1892 10c Seebeck essay vermillion.jpg,Wikimedia Commons file source / El Salvador 1892 10c Seebeck essay vermillion.jpg / page 79544543,Do not keep as primary design object unless an item-level design-work rationale survives manual review.
