surface_id,source_record_id,source_record_url,title,best_image_state,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,local_license_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,iiif_or_viewer_available,image_url_detected_excerpt,rights_text_excerpt,rights_basis_excerpt,review_note_excerpt,citation_basis_excerpt
SURF-IR1970R075,eg7fnr8d,https://wellcomecollection.org/works/eg7fnr8d,'Happy Families' poster,IMG02,0.45,true,IR1970R075,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b18387561,"https://iiif.wellcomecollection.org/thumbs/b18387561_0001.jp2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,Wellcome Collection Catalogue API. 'Happy Families' poster. https://wellcomecollection.org/works/eg7fnr8d. Accessed 2026-05-31.
SURF-IR1970R013,cetv9anw,https://wellcomecollection.org/works/cetv9anw,"A finger-wound being attacked by germs represented by German soldiers in World War II. Colour lithograph after P. Mendoza, 1940.",IMG02,0.45,true,IR1970R013,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16802160,"https://iiif.wellcomecollection.org/thumbs/B16802160.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A finger-wound being attacked by germs represented by German soldiers in World War II. Colour lithograph after P. Mendoza, 1940.. https://wellcomecollection.org/works/cetv9anw...."
SURF-IR1970R050,e92kxus2,https://wellcomecollection.org/works/e92kxus2,"A hand protected by a guard from getting caught in the cogwheels of a machine. Colour lithograph by H. Kominek, ca. 1957.",IMG02,0.45,true,IR1970R050,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16405158,"https://iiif.wellcomecollection.org/thumbs/B16405158.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A hand protected by a guard from getting caught in the cogwheels of a machine. Colour lithograph by H. Kominek, ca. 1957.. https://wellcomecollection.org/works/e92kxus2. Accessed..."
SURF-IR1970R033,ff7xdfs4,https://wellcomecollection.org/works/ff7xdfs4,"A hand which has lost two fingers, owing to attempts to clean dangerous machines while they are running. Colour lithograph by Jacob Jansma, 1949.",IMG02,0.45,true,IR1970R033,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16634470,"https://iiif.wellcomecollection.org/thumbs/B16634470.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A hand which has lost two fingers, owing to attempts to clean dangerous machines while they are running. Colour lithograph by Jacob Jansma, 1949....."
SURF-IR1970R035,a5s8v4d4,https://wellcomecollection.org/works/a5s8v4d4,"A hand which has suffered a bad wound while in contact with machinery owing to a finger ring which has broken and torn the flesh. Colour lithograph by E. Lukács, 1950.",IMG02,0.45,true,IR1970R035,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16634585,"https://iiif.wellcomecollection.org/thumbs/B16634585.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A hand which has suffered a bad wound while in contact with machinery owing to a finger ring which has broken and torn the flesh. Colour lithograph by E. Lukács, 1950....."
SURF-IR1970R022,vx79yrkp,https://wellcomecollection.org/works/vx79yrkp,"A healthy boy, protected from tuberculosis by fresh air and exercise. Colour lithograph by André Wilquin, 1942.",IMG02,0.45,true,IR1970R022,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b1525026x,"https://iiif.wellcomecollection.org/thumbs/B1525026X.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A healthy boy, protected from tuberculosis by fresh air and exercise. Colour lithograph by André Wilquin, 1942.. https://wellcomecollection.org/works/vx79yrkp. Accessed 2026-05-31."
SURF-MX1970R011,zdr2fu8x,https://wellcomecollection.org/works/zdr2fu8x,"A healthy-looking man with a tourniquet having a blood test, as apparent health can conceal syphilis. Colour lithograph by L. Karsakov, 1941.",IMG02,0.45,true,MX1970R011,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16783797,"https://iiif.wellcomecollection.org/thumbs/B16783797.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A healthy-looking man with a tourniquet having a blood test, as apparent health can conceal syphilis. Colour lithograph by L. Karsakov, 1941....."
SURF-MX1970R022,vbfftbtn,https://wellcomecollection.org/works/vbfftbtn,"A lecturer pointing to a large screen, on which projected diagrams of the bodies of a man and a woman are marked with red flags indicating areas where cancer may be first seen. Colour lithograph after D. Fellnagel, 1941.",IMG02,0.45,true,MX1970R022,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b16601701,"https://iiif.wellcomecollection.org/thumbs/B16601701.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A lecturer pointing to a large screen, on which projected diagrams of the bodies of a man and a woman are marked with red flags indicating areas where cancer may be first seen. Colour..."
SURF-IR1970R014,kx4ecyev,https://wellcomecollection.org/works/kx4ecyev,A man and wife and their two children and dog climbing up a grassy knoll as exercise in the fresh air. Colour lithograph by Hulls.,IMG02,0.45,true,IR1970R014,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b11963621,"https://iiif.wellcomecollection.org/thumbs/B11963621.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,Wellcome Collection Catalogue API. A man and wife and their two children and dog climbing up a grassy knoll as exercise in the fresh air. Colour lithograph by Hulls.. https://wellcomecollection.org/works/kx4ecyev....
SURF-IR1970R001,wvwxe4py,https://wellcomecollection.org/works/wvwxe4py,"A man happy to be returning to the factory after being cured of tuberculosis. Colour lithograph after W. Heaslip, 1931.",IMG02,0.45,true,IR1970R001,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,no_open_license_text,source_hosted_viewer_no_open_license_signal,keep_img02_pending_item_license_evidence,no_upgrade,false,https://iiif.wellcomecollection.org/presentation/v2/b15370987,"https://iiif.wellcomecollection.org/thumbs/B15370987.JP2/full/400,/0/default.jpg",Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Wellcome exposes a source-hosted IIIF/viewer location; local copy is not assumed.,Source-hosted viewer candidate.,"Wellcome Collection Catalogue API. A man happy to be returning to the factory after being cured of tuberculosis. Colour lithograph after W. Heaslip, 1931.. https://wellcomecollection.org/works/wvwxe4py. Accessed..."
