verification_id,first_target_id,verification_decision,verified_at,verified_by,confirmed_image_zone,canonical_url,replacement_url,evidence_summary,required_action,blocking_reason
FITV001,FIT001,ready_manual_link_only,2026-05-30,Codex,IMG00,https://hvrd.art/o/223124,,Harvard exact object page opened with metadata and ARS/VG Bild-Kunst copyright,Ingest metadata only and do not display image,
FITV002,FIT002,needs_browser_recheck,2026-05-30,Codex,IMG00,https://harvardartmuseums.org/art/219959,,Harvard target is plausible but direct fetch did not resolve in this pass,Recheck in browser or Harvard API before source-record creation,Exact record not confirmed by automated fetch
FITV003,FIT003,ready_manual_text_authority,2026-05-30,Codex,IMG04,https://www.getty.edu/vow/ULANFullDisplay?subjectid=500028112,,Getty ULAN result confirms Walter Gropius authority ID variants roles and dates,Ingest as authority record,
FITV004,FIT004,needs_browser_recheck,2026-05-30,Codex,IMG04,https://harvardartmuseums.org/tour/325/slide/6338,,Harvard tour URL returned blocked or inaccessible in automated pass,Prefer accessible Harvard exhibition page if tour slide remains blocked,Automated fetch did not confirm source page
FITV005,FIT005,ready_manual_link_only,2026-05-30,Codex,IMG00,https://www.moma.org/collection/works/8726,,MoMA exact object page opened with metadata and reproduction licensing route,Ingest metadata only and do not display image,
FITV006,FIT006,ready_manual_link_only,2026-05-30,Codex,IMG00,https://www.moma.org/collection/works/6300,,MoMA exact object page opened with metadata and reproduction licensing route,Ingest metadata only and do not display image,
FITV007,FIT007,ready_manual_text,2026-05-30,Codex,IMG04,https://www.ibm.com/history/design-program,,IBM design-program page opens as stable institutional history page,Ingest as institutional page,
FITV008,FIT008,ready_manual_text,2026-05-30,Codex,IMG04,https://www.ibm.com/history/logo,,IBM logo-history page opens as stable institutional history page,Ingest as institutional page,
FITV009,FIT009,ready_manual_link_only,2026-05-30,Codex,IMG00,https://www.moma.org/collection/works/290152,,MoMA exact object page opened with metadata and reproduction licensing route,Ingest metadata only,
FITV010,FIT010,ready_manual_link_only,2026-05-30,Codex,IMG00,https://www.moma.org/collection/works/3346,,MoMA exact object page opened with product metadata and reproduction licensing route,Ingest metadata only,
