metric,value,notes
review_scope,initial_codex_method_review,Non-mutating first-pass review from validation packet metadata.
validation_rows_reviewed,320,Rows reviewed from the 320-row packet.
sandbox_candidate_pool_rows,11,High-confidence candidate pool only; not apply-ready without manual calibration.
manual_calibration_queue_rows,80,Deterministic 25% queue for calibration before any sandbox override.
sandbox_gate_status,not_ready_for_override,Manual calibration and reviewer agreement have not happened yet.
recommended_role:card_context,120,Distribution by recommended_role.
recommended_role:manual_hold,71,Distribution by recommended_role.
recommended_role:main_needs_text,57,Distribution by recommended_role.
recommended_role:sub_under_packet,43,Distribution by recommended_role.
recommended_role:keep_main,28,Distribution by recommended_role.
recommended_role:exclude_or_deprioritize,1,Distribution by recommended_role.
review_result:revise,177,Distribution by review_result.
review_result:pass,143,Distribution by review_result.
review_confidence:medium,243,Distribution by review_confidence.
review_confidence:low,60,Distribution by review_confidence.
review_confidence:high,17,Distribution by review_confidence.
text_need_level:low,226,Distribution by text_need_level.
text_need_level:medium,80,Distribution by text_need_level.
text_need_level:none,14,Distribution by text_need_level.
sample_target_marker:support_or_card_review,120,Distribution by sample_target_marker.
sample_target_marker:soft_anchor_review,80,Distribution by sample_target_marker.
sample_target_marker:packet_anchor_or_member_review,42,Distribution by sample_target_marker.
sample_target_marker:strong_soft_anchor,40,Distribution by sample_target_marker.
sample_target_marker:anchor_if_editorial_text_added,38,Distribution by sample_target_marker.
blocker_class:none,153,Method blocker distribution.
blocker_class:transnational_geography_manual,101,Method blocker distribution.
blocker_class:unresolved_region_or_theme_manual,45,Method blocker distribution.
blocker_class:large_cluster_parentage_review,20,Method blocker distribution.
blocker_class:stamp_or_commemorative_manual,16,Method blocker distribution.
blocker_class:weak_commons_only_manual,16,Method blocker distribution.
blocker_class:natural_history_geology_false_positive,1,Method blocker distribution.
sandbox_candidate_role:card_context,11,Candidate pool role distribution.
calibration_group:large_cluster_parentage_review,8,Manual calibration queue distribution.
calibration_group:stamp_or_commemorative_manual,8,Manual calibration queue distribution.
calibration_group:transnational_geography_manual,8,Manual calibration queue distribution.
calibration_group:main_sensitive:anchor_if_editorial_text_added:main_needs_text,7,Manual calibration queue distribution.
calibration_group:main_sensitive:packet_anchor_or_member_review:sub_under_packet,7,Manual calibration queue distribution.
calibration_group:main_sensitive:soft_anchor_review:main_needs_text,7,Manual calibration queue distribution.
calibration_group:main_sensitive:soft_anchor_review:manual_hold,7,Manual calibration queue distribution.
calibration_group:main_sensitive:strong_soft_anchor:keep_main,7,Manual calibration queue distribution.
calibration_group:support:card_context,7,Manual calibration queue distribution.
calibration_group:unresolved_region_or_theme_manual,7,Manual calibration queue distribution.
calibration_group:weak_commons_only_manual,4,Manual calibration queue distribution.
calibration_group:main_sensitive:soft_anchor_review:sub_under_packet,2,Manual calibration queue distribution.
calibration_group:natural_history_geology_false_positive,1,Manual calibration queue distribution.
