category,macro,country,object_term,depth,status,added,failures_delta,rejects_delta,rows_after,elapsed_seconds
Category:1930s postage stamps,,,postage stamp,0,completed,0,0,0,0,0.9
Category:1940s postage stamps,,,postage stamp,0,completed,0,0,0,0,1.6
Category:1950s postage stamps,,,postage stamp,0,completed,0,0,0,0,2.3
Category:1960s postage stamps,,,postage stamp,0,completed,0,0,0,0,3.0
Category:1970s postage stamps,,,postage stamp,0,completed,0,0,0,0,3.8
Category:1980s postage stamps,,,postage stamp,0,completed,0,0,0,0,4.6
Category:1990s postage stamps,,,postage stamp,0,completed,0,0,0,0,5.3
Category:2000s postage stamps,,,postage stamp,0,completed,0,0,0,0,6.1
Category:2010s postage stamps,,,postage stamp,0,completed,0,0,0,0,6.8
Category:Art Nouveau posters,,,poster,0,completed,0,0,27,0,9.7
Category:1930s posters,,,poster,0,completed,0,0,14,0,12.0
Category:1920s posters,,,poster,0,completed,0,1,0,0,29.6
Category:1910s posters,,,poster,0,completed,0,1,15,0,64.1
Category:1900s posters,,,poster,0,completed,0,0,18,0,66.2
Category:19th-century advertisements,,,advertisement,0,completed,0,0,25,0,68.6
Category:Trade cards,,,trade card,0,completed,0,0,44,0,71.5
Category:Labels,,,label,0,completed,0,0,0,0,73.0
Category:Book covers,,,book cover,0,completed,0,1,0,0,90.5
Category:Type specimens,,,typography,0,completed,0,1,30,0,125.4
Category:1970s film posters of Iran,Middle East and North Africa,Iran,film poster,0,completed,0,0,40,0,128.1
Category:1980s film posters of Iran,Middle East and North Africa,Iran,film poster,0,completed,0,0,42,0,130.4
Category:Rail transport posters of New Zealand,Oceania / Pacific,Aotearoa New Zealand,poster,0,completed,0,0,39,0,133.3
Category:Postage stamps by year,,,postage stamp,0,completed,0,0,0,0,134.1
Category:Postage stamps by country,,,postage stamp,0,completed,0,0,0,0,135.3
Category:Advertisements by year,,,advertisement,0,completed,0,1,0,0,153.3
Category:Advertisements by country,,,advertisement,0,completed,0,1,0,0,170.2
Category:Book covers by year,,,book cover,0,completed,0,0,0,0,188.4
Category:Posters by year,,,poster,0,completed,0,0,0,0,190.2
Category:Film posters by decade,,,film poster,0,completed,0,0,0,0,191.8
Category:Posters by country,,,poster,0,completed,0,0,0,0,192.5
Category:Posters by topic,,,poster,0,completed,0,0,0,0,194.0
Category:Political posters by country,,,political poster,0,completed,0,0,0,0,195.0
Category:Propaganda posters by country,,,propaganda poster,0,completed,0,1,0,0,211.9
Category:Film posters by country,,,film poster,0,completed,0,1,0,0,228.8
Category:Travel posters by country,,,travel poster,0,completed,0,0,0,0,245.8
Category:Advertising posters,,,advertisement,0,completed,0,0,28,0,248.3
Category:Advertisements,,,advertisement,0,completed,0,0,16,0,250.7
Category:Book covers by country,,,book cover,0,completed,0,0,0,0,251.5
Category:Magazine covers by country,,,magazine cover,0,completed,0,0,0,0,252.3
Category:Packaging by country,,,packaging,0,completed,0,0,0,0,253.1
Category:Labels by country,,,label,0,completed,0,0,0,0,253.8
Category:Matchbox labels,,,label,0,completed,0,1,0,0,271.4
Category:Brochures by country,,,brochure,0,completed,0,1,0,0,288.2
Category:Pamphlets by country,,,pamphlet,0,completed,0,0,0,0,305.2
Category:Leaflets,,,leaflet,0,completed,0,0,0,0,306.7
Category:Typography by country,,,typography,0,completed,0,0,0,0,307.5
Category:Letterheads,,,letterhead,0,completed,0,0,45,0,310.2
Category:Art school posters,,,poster,0,completed,0,0,0,0,311.7
Category:University posters,,,poster,0,completed,0,0,0,0,313.0
Category:Community posters,,,poster,0,completed,0,2,0,0,346.5
Category:1930s postage stamps of Ecuador,Latin America / Caribbean,Ecuador,postage stamp,1,completed,0,0,3,0,364.3
Category:1930s postage stamps of Egypt,Africa,Egypt,postage stamp,1,completed,0,0,3,0,365.9
Category:1930s postage stamps of New Zealand,Oceania / Pacific,Aotearoa New Zealand,postage stamp,1,completed,2,0,7,2,367.9
Category:1930s postage stamps of the Dominican Republic,Latin America / Caribbean,Dominican Republic,postage stamp,1,completed,0,0,4,2,369.7
Category:1930s postage stamps of Brazil,Latin America / Caribbean,Brazil,postage stamp,1,completed,0,0,0,2,371.2
Category:1940s postage stamps by country,,,postage stamp,1,completed,0,1,0,2,387.9
Category:1940s postage stamps of the Dominican Republic,Latin America / Caribbean,Dominican Republic,postage stamp,1,completed,0,2,0,2,421.8
Category:1950s postage stamps of Argentina,Latin America / Caribbean,Argentina,postage stamp,1,completed,2,0,3,4,429.0
Category:1950s postage stamps of Egypt,Africa,Egypt,postage stamp,1,completed,0,0,2,4,430.6
Category:1950s postage stamps of Fiji,Oceania / Pacific,Fiji,postage stamp,1,completed,0,0,2,4,432.1
Category:1950s postage stamps of Iran,Middle East and North Africa,Iran,postage stamp,1,completed,3,0,9,7,434.1
Category:1950s postage stamps of Iraq,Middle East and North Africa,Iraq,postage stamp,1,completed,0,0,0,7,435.6
Category:1950s postage stamps of Morocco,Africa,Morocco,postage stamp,1,completed,0,2,0,7,469.1
Category:1950s postage stamps of Brazil,Latin America / Caribbean,Brazil,postage stamp,1,completed,0,0,0,7,486.7
Category:1960s postage stamps of Tanzania,Africa,Tanzania,postage stamp,1,completed,0,0,0,7,488.2
Category:1960s postage stamps of Australia,Oceania / Pacific,Australia / Indigenous,postage stamp,1,completed,3,0,8,10,490.4
Category:1960s postage stamps of Brazil,Latin America / Caribbean,Brazil,postage stamp,1,completed,0,0,0,10,491.8
Category:1970s postage stamps of Argentina,Latin America / Caribbean,Argentina,postage stamp,1,completed,2,0,0,12,493.4
Category:1970s postage stamps of Ethiopia,Africa,Ethiopia,postage stamp,1,completed,0,2,0,12,527.2
Category:1970s postage stamps of Iran,Middle East and North Africa,Iran,postage stamp,1,completed,3,0,3,15,545.1
Category:1970s postage stamps of Nepal,South Asia,Nepal,postage stamp,1,completed,1,0,1,16,546.8
Category:1970s postage stamps of Brazil,Latin America / Caribbean,Brazil,postage stamp,1,completed,0,0,0,16,548.3
Category:1980s postage stamps of Iran,Middle East and North Africa,Iran,postage stamp,1,completed,0,0,0,16,549.8
Category:1980s postage stamps of Morocco,Africa,Morocco,postage stamp,1,completed,0,0,0,16,551.2
Category:1980s postage stamps of Brazil,Latin America / Caribbean,Brazil,postage stamp,1,completed,0,2,0,16,584.9
Category:1980s postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,1,completed,7,1,1,23,609.1
Category:2000s postage stamps of Syria,Middle East and North Africa,Syria,postage stamp,1,completed,0,0,0,23,610.6
Category:2010s postage stamps of Morocco,Africa,Morocco,postage stamp,1,completed,0,0,5,23,612.2
Category:Posters by Louis Rhead,,,poster,1,completed,0,0,45,23,614.9
Category:Posters by Alfons Mucha,,,poster,1,completed,0,0,36,23,617.5
Category:Posters by Henri Privat-Livemont,,,poster,1,completed,0,1,0,23,635.2
Category:Posters by Koloman Moser,,,poster,1,completed,0,1,14,23,672.4
Category:Posters by Ramon Casas,,,poster,1,completed,0,0,27,23,674.8
Category:Posters by Will H. Bradley,,,poster,1,completed,0,0,49,23,677.6
Category:Posters of the Salon des Cent,,,poster,1,completed,0,0,42,23,680.4
Category:1930 posters,,,poster,1,completed,0,0,21,23,682.7
Category:1931 posters,,,poster,1,completed,0,1,0,23,700.2
Category:1932 posters,,,poster,1,completed,0,1,15,23,725.5
Category:1933 posters,,,poster,1,completed,1,0,10,24,728.0
Category:1934 posters,,,poster,1,completed,1,0,37,25,735.7
Category:1935 posters,,,poster,1,completed,0,0,26,25,740.6
Category:1936 posters,,,poster,1,completed,1,0,31,26,744.6
Category:1937 posters,,,poster,1,completed,0,1,0,26,762.2
Category:1938 posters,,,poster,1,completed,0,1,17,26,787.6
Category:1939 posters,,,poster,1,completed,1,0,19,27,790.9
Category:1930s posters of New Zealand,Oceania / Pacific,Aotearoa New Zealand,poster,1,completed,0,0,6,27,792.8
Category:1930s concert posters,,,poster,1,completed,0,0,0,27,794.3
Category:1930s film posters,,,film poster,1,completed,0,0,0,27,795.9
Category:1930s theatre posters,,,poster,1,completed,0,1,0,27,813.5
Category:1930s posters from Gallica,,,poster,1,completed,0,1,0,27,847.2
Category:1930s posters of Europe,,,poster,1,completed,0,0,0,27,848.7
Category:1930s posters of Australia,Oceania / Pacific,Australia / Indigenous,poster,1,completed,0,0,2,27,850.2
Category:1930s posters of Austria,,,poster,1,completed,0,0,2,27,851.8
Category:1930s posters of Belarus,,,poster,1,completed,0,0,0,27,853.2
