metric,value,notes
p0_exclusion_rows,3554,Distinct source_file + capture_id rows excluded from future public-surface rebuilds.
skipped_p0_rows_without_rebuild_key,0,P0 queue rows without source_file or capture_id; not actionable for rebuild exclusion.
source_files_with_exclusions,30,Capture record files affected by the exclusion list.
candidate_delta_rows_added,5,Rows merged from prefreeze_candidate_exclusion_delta_v1.csv.
candidate_delta_rows_already_present,0,Candidate delta rows already covered by the P0 queue.
action:card_or_appendix_reclass_review,2930,P0 exclusion action type.
action:date_or_span_reclass_review,579,P0 exclusion action type.
action:recent_stamp_event_reclassification,40,P0 exclusion action type.
action:duplicate_visual_variant_review,5,P0 exclusion action type.
source_file:capture_batch_commons_open_category_tree_image_2026_v1_records.csv,1361,Top capture files by P0 exclusion rows.
source_file:capture_batch_nonmainstream_item_image_2026_records.csv,587,Top capture files by P0 exclusion rows.
source_file:capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,429,Top capture files by P0 exclusion rows.
source_file:capture_batch_commons_open_release_gate_expansion_2026_records.csv,262,Top capture files by P0 exclusion rows.
source_file:capture_batch_commons_open_region_balance_image_2026_v2_records.csv,171,Top capture files by P0 exclusion rows.
source_file:capture_batch_commons_open_region_balance_image_2026_v3_records.csv,155,Top capture files by P0 exclusion rows.
source_file:capture_batch_cooperhewitt_graphql_image_ready_1830_2026_records.csv,148,Top capture files by P0 exclusion rows.
source_file:capture_batch_nonmainstream_source_profiles_1990_2026_records.csv,127,Top capture files by P0 exclusion rows.
source_file:capture_batch_commons_open_controlled_expansion_2026_v1_records.csv,111,Top capture files by P0 exclusion rows.
source_file:capture_batch_commons_open_global_south_image_2026_records.csv,106,Top capture files by P0 exclusion rows.
source_file:capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,23,Top capture files by P0 exclusion rows.
source_file:capture_batch_commons_open_publication_category_tree_2026_v1_records.csv,10,Top capture files by P0 exclusion rows.
source_file:capture_batch_noncanonical_exact_sources_1970_2000_records.csv,8,Top capture files by P0 exclusion rows.
source_file:capture_batch_wikimedia_commons_image_ready_1830_1970_records.csv,7,Top capture files by P0 exclusion rows.
source_file:capture_batch_edge_wordpress_1970_2026_records.csv,5,Top capture files by P0 exclusion rows.
source_file:capture_batch_gap_noncanonical_image_text_1930_2000_records.csv,5,Top capture files by P0 exclusion rows.
source_file:capture_batch_gsu_contentdm_image_ready_1971_2026_records.csv,5,Top capture files by P0 exclusion rows.
source_file:capture_batch_independent_asia_1990_2026_records.csv,5,Top capture files by P0 exclusion rows.
source_file:capture_batch_commons_open_contemporary_region_research_2026_records.csv,4,Top capture files by P0 exclusion rows.
source_file:capture_batch_image_ready_1931_1970_records.csv,4,Top capture files by P0 exclusion rows.
