rank,group_id,group_type,confidence,member_count,proposed_parent_surface_id,proposed_parent_title,date_span,source_names,primary_folder,recommended_action,evidence_basis
1,GRP0224,folder_cell_decade,medium,625,SURF-CRG2026R1964,ROM 1971 MiNr2981 pm B002.jpg,1931-1979,Getty Research Portal; DigitalNZ; Wikimedia Commons file source / 1970 California campaign pamphlet.jpg / page 66642512; Wikimedia Commons file source / 1970-74 - Vernon Winter Carnival Program Pamphlets.jpg / page 178637176; Wikimedia Commons file source / 1970. Posta aeriana inundatia.jpg / page 4693674; Wikimedia Commons file source / 1970s corrugated nails 60 x 4.5 mm approx 20 pieces by Gryts spik Gryts Bruk AB Sweden.jpg / page 185639194; +618 more,Unresolved region; Modern typography and layout; Graphic design object record,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
2,GRP0238,folder_cell_decade,medium,575,SURF-CRG2026R1943,The HERETICS (2009) film poster.jpg,1970-1979,"Wikimedia Commons file source / Advertisement of Pondok Indah, Jakarta.png / page 118750084; Wikimedia Commons file source / Afiche JRR.jpg / page 20336763; Wikimedia Commons file source / Congress to unite women May 1, 2, 3, '70 - Intermediate School, 333 W. 17 St., N.Y.C. LCCN2015650086.tif / page 66137039; Wikimedia Commons file source / DVR3487 Plakat Klimawechsel im Verkehr.jpg / page 94356393; Wikimedia Commons file source / May 4th Strike Poster.jpg / page 89119282; Wikimedia Commons file source / Melli Shoe In 1970's.jpg / page 125987164; +569 more",Unresolved region; Modern typography and layout; Poster,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
3,GRP0253,folder_cell_decade,medium,320,SURF-CRG2026R1889,Earth in Flower-ISBN-9781934431290-COVER-REAR-2014.jpg,1970-1979,"Wikimedia Commons file source / Alexander Mitscherlich, Die Idee des Friedens und die menschliche Aggressivität 1970.jpg / page 150324263; Wikimedia Commons file source / Book cover of ,,Će - A tragedy that lasts"" (1976) by Matija Bećković and Duško Radović.jpg / page 93999957; Wikimedia Commons file source / Dumas Ark of Bones 1970 cover.jpg / page 151641741; Wikimedia Commons file source / Earth in Flower-ISBN-9781934431290-COVER-REAR-2014.jpg / page 185014645; Wikimedia Commons file source / Erhard Lucas, Märzrevolution im Ruhrgebiet 1970.jpg / page 155052443; Wikimedia Commons file source / Ettelaat-e Haftegi cover - Issue 1493.jpg / page 85346474; +313 more",Unresolved region; Modern typography and layout; Publication design,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
4,GRP0177,folder_cell_decade,medium,220,SURF-CGS2026R0976,"American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 75, Ed. 1 Saturday, February 13, 1847 - DPLA - 829d781bea63aba95373f3512b20f317 (page 1).jpg",1846-1848,"Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 1).jpg / page 100757166; Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 2).jpg / page 100757179; Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 3).jpg / page 101174476; Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 4).jpg / page 101174477; Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 15, Ed. 1 Tuesday, July 21, 1846 - DPLA - 7580cf140ca65afcd517a8b7f5d57646 (page 2).jpg / page 100641109; Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 16, Ed. 1 Friday, July 24, 1846 - DPLA - a26aa47497e180d828c6bf95908c9e4e (page 2).jpg / page 100831180; +214 more",United States; World War and public-information graphics; Advertisement,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
5,GRP0221,folder_cell_decade,medium,207,SURF-CRG2026R1086,ITA-AMG-SI 1943 Scott01N03 pm B002.jpg,1940-1949,"Wikimedia Commons file source / Armstrong Whitworth Whitley Mk Vs of No. 102 Squadron RAF being prepared for a leaflet-dropping sortie at Driffield, Yorkshire, 7 March 1940. C921.jpg / page 24411819; Wikimedia Commons file source / Flip-side of Melvyn Douglas 1940s sepia-toned vintage portrait.jpg / page 141769159; Wikimedia Commons file source / Stamp of Gwalior - 1940 - Colnect 752329 - SERVICE - and King George VI.jpeg / page 115777843; Wikimedia Commons file source / Stamp of Gwalior - 1940 - Colnect 752333 - SERVICE - and King George VI.jpeg / page 115777871; Wikimedia Commons file source / Stamp of Gwalior - 1940 - Colnect 752334 - SERVICE - and King George VI.jpeg / page 115777890; Wikimedia Commons file source / Stamp of Patiala - 1940 - Colnect 749449 - SERVICE - and King George VI.jpeg / page 115789875; +201 more",Unresolved region; Modern typography and layout; Graphic design object record,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
6,GRP0220,folder_cell_decade,medium,161,SURF-CRG2026R0909,Tellurium-214886.jpg,1930-1939,Wikimedia Commons file source / Aaheaps.jpg / page 3803117; Wikimedia Commons file source / Iraq 1933.jpg / page 3217419; Wikimedia Commons file source / Stamp of Aegean Islands - 1930 - Colnect 399897 - Rodi Overprint - XXI Congresso Idrologico.jpeg / page 115643489; Wikimedia Commons file source / Stamp of Aegean Islands - 1930 - Colnect 399898 - Rodi Overprint - XXI Congresso Idrologico.jpeg / page 115643492; Wikimedia Commons file source / Stamp of Aegean Islands - 1930 - Colnect 399899 - Rodi Overprint - XXI Congresso Idrologico.jpeg / page 115643503; Wikimedia Commons file source / Stamp of Aegean Islands - 1930 - Colnect 399901 - Rodi Overprint - XXI Congresso Idrologico.jpeg / page 115643514; +155 more,Unresolved region; Modern typography and layout; Graphic design object record,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
7,GRP0262,folder_cell_decade,medium,156,SURF-NMIIC2026R0413,متحف الشرطة القومي - إكتشف الآثار المصرية - وزارة السياحة والآثار,undated,Hrodna State Historico-Archaeological Museum; Adam Mickiewicz Museum; Artemartis; Brașov County Museum of History; Brokk'Art; Muso Kunda Museum of Women; +150 more,Unresolved region; Postwar exhibition and cultural posters; Graphic design object record,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
8,GRP0223,folder_cell_decade,medium,136,SURF-CRG2026R1650,FIN 1963 MiNr0561Ix pm B002a.jpg,1937-1969,"Wellcome Collection Catalogue API; Wikimedia Commons file source / Ca 1970 plastic Rulli hinges by Linkoeping Sweden company IBE Produkter.jpg / page 187823104; Wikimedia Commons file source / SOKKiKP50kopStamp.jpg / page 3715091; Wikimedia Commons file source / Stamp IQ 1969 2f.jpg / page 91867227; Wikimedia Commons file source / Stamp of Israel - Airmail 1960 - 0.50IL.jpg / page 22293452; Wikimedia Commons file source / Tolnai Studymaster, brochure.JPG / page 25262111; +129 more",Unresolved region; Modern typography and layout; Graphic design object record,canonical_main_with_support_children,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
9,GRP0119,folder_cell_decade,medium,130,SURF-NMIIC2026R0435,.:: Home | Museo Histórico de Cera ::.,undated,Historical Wax Museum; Museo de Sitio Pucllana; Ingeniero White Harbor Museum; Congregación de Hermanas Misioneras de María Inmaculada y Santa Catalina de Sena Madre Laura; Museo Amano; Casa Museo Porfirio Barba Jacob; +124 more,Latin America; Postwar exhibition and cultural posters; Graphic design object record,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
10,GRP0239,folder_cell_decade,medium,120,SURF-CRG2026R3613,Aki-Kaurismaki-1985.jpg,1960-1989,Cooper Hewitt Collection GraphQL API; Wikimedia Commons file source / Los superagentes y la gran aventura del-oro afiche.jpg / page 48276791; Wikimedia Commons file source / خونبارش (پوستر).jpg / page 157807585; Wikimedia Commons file source / طلوع انفجار (پوستر).jpg / page 158313442; Wikimedia Commons file source / کرکسها میمیرند (پوستر).jpg / page 158395386; Wikimedia Commons file source / اعدامی (پوستر).jpg / page 157592371; +114 more,Unresolved region; Modern typography and layout; Poster,canonical_main_with_source_register,Same region/theme/medium/movement cell and decade; weak grouping for coverage planning.
