surface_id,source_record_id,title,date_start,image_state,template_id,folder_count,source_url
SURF-FIT003,FIT003,Walter Gropius authority record,1883,IMG04,sheet.text.v0,4,https://www.getty.edu/vow/ULANFullDisplay?subjectid=500028112
SURF-FIT001,FIT001,Program of the State Bauhaus in Weimar,1919,IMG00,sheet.img00.v0,5,https://hvrd.art/o/223124
SURF-FIT022,FIT022,上海漫畫 1928.05.19 第五期,1928,IMG00,sheet.img00.v0,5,https://archive.org/details/shmh-1928.05.19
SURF-FIT014,FIT014,El Nazismo 9a conferencia: Razas de 1a y de 2a classe,1938,IMG00,sheet.img00.v0,5,https://www.moma.org/collection/works/72588
SURF-FIT008,FIT008,The IBM logo history page,1947,IMG04,sheet.text.v0,4,https://www.ibm.com/history/logo
SURF-FIT007,FIT007,IBM Design Program history page,1956,IMG04,sheet.text.v0,4,https://www.ibm.com/history/design-program
SURF-FIT005,FIT005,Wizyta Starszej Pani,1958,IMG00,sheet.img00.v0,5,https://www.moma.org/collection/works/8726
SURF-FIT033,FIT033,The India Report,1958,IMG04,sheet.text.v0,4,https://www.nid.edu/Userfiles/Eames_India_Report_NID.pdf
SURF-FIT012,FIT012,Dia internacional de la mujer,1960,IMG00,sheet.img00.v0,4,https://www.loc.gov/pictures/item/2004665907/
SURF-FIT013,FIT013,El sinarquismo,1960,IMG00,sheet.img00.v0,4,https://www.getty.edu/cona/CONAFullSubject.aspx?subid=700000944
SURF-FIT032,FIT032,History of NID,1961,IMG04,sheet.text.v0,4,https://www.nid.edu/about/history-of-nid
SURF-RSV004,RSV004,世界デザイン会議議事録,1961,IMG04,sheet.text.v0,4,https://ndlsearch.ndl.go.jp/books/R100000002-I000001036466
SURF-FIT006,FIT006,Moda Polska,1965,IMG00,sheet.img00.v0,5,https://www.moma.org/collection/works/6300
SURF-FIT010,FIT010,Executary Transcribing Machine model 272,1966,IMG00,sheet.img00.v0,4,https://www.moma.org/collection/works/3346
SURF-RSV003,RSV003,[Jóvenes de la Brigada Ramona Parra pintando murallas] [fotografía] Ximena Castillo,1970,IMG00,sheet.img00.v0,4,https://www.bibliotecanacionaldigital.gob.cl/visor/BND%3A163996
SURF-FIT021,FIT021,JAGDA history page,1978,IMG04,sheet.text.v0,4,https://www.jagda.or.jp/about/org/history/
SURF-FIT039,FIT039,Culture and resistance poster page,1982,IMG00,sheet.img00.v0,4,https://sahistory.org.za/archive/culture-and-resistance
SURF-FIT040,FIT040,Culture and Resistance Conference Botswana 1982,1982,IMG04,sheet.text.v0,4,https://sahistory.org.za/article/culture-and-resistance-conference-botswana-1982
SURF-RSV010,RSV010,THERE SHALL BE WORK AND SECURITY ALL SHALL ENJOY EQUAL HUMAN RIGHTS AFRICA MAYIBUYE THE PEOPLE SHALL GOVERN,1982,IMG00,sheet.img00.v0,4,https://www.saha.org.za/collections/AL2446/2619_2.htm
SURF-FIT029,FIT029,NO TRESPASSING SIGN IN FOUR LANGUAGES,1983,IMG02,sheet.main.v0,4,https://www.nas.gov.sg/archivesonline/photographs/record-details/8632b1ef-1162-11e3-83d5-0050568939ad
SURF-RSV006,RSV006,May-1,1983,IMG00,sheet.img00.v0,4,https://sema.seoul.go.kr/en/knowledge_research/collection/collection_detail?artSeq=WORK_0000000568
SURF-FIT044,FIT044,Gran Fury collection,1988,IMG04,sheet.text.v0,4,https://digitalcollections.nypl.org/collections/gran-fury-collection
SURF-FIT045,FIT045,Silence = Death poster,1988,IMG00,sheet.img00.v0,4,https://digitalcollections.nypl.org/items/d8e91040-c6b8-012f-9eea-58d385a7bc34
SURF-FIT046,FIT046,Kissing Doesn't Kill,1989,IMG00,sheet.img00.v0,4,https://digitalcollections.nypl.org/items/c4788cb0-c6b8-012f-4439-58d385a7bc34
SURF-FIT009,FIT009,IBM Latin America: Vision; Mission; Goals,1990,IMG00,sheet.img00.v0,5,https://www.moma.org/collection/works/290152
SURF-RSV007,RSV007,Tamil Road Signs,1991,IMG04,sheet.text.v0,4,https://www.nlb.gov.sg/main/article-detail?cmsuuid=52075cdb-44d7-417c-a38f-d9f248a416fb
