rank,object_key,surface_id,source_name,title,region_group,period_band,best_image_state,rights_reviewed,source_visible_gap,verified_open_gap,weighted_gap_points,repair_family,required_evidence,automatic_upgrade_allowed,source_url,rights_label,image_license_label
1,url:https://www.artic.edu/artworks/55093,SURF-ER1830R052,Art Institute of Chicago API,The Modern Poster,United States,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/55093,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
2,url:https://www.artic.edu/artworks/7772,SURF-ER1830R064,Art Institute of Chicago API,Tell that to the Marines!,United States,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/7772,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
3,url:https://www.artic.edu/artworks/7933,SURF-ER1830R065,Art Institute of Chicago API,To the Amputees—Join the Workforce,France,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/7933,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
4,url:https://www.artic.edu/artworks/7962,SURF-ER1830R066,Art Institute of Chicago API,Buy a Little Present for the Kaiser,United States,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/7962,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
5,url:https://www.artic.edu/artworks/7974,SURF-ER1830R068,Art Institute of Chicago API,Invest in the Victory Liberty Loan,United States,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/7974,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
6,url:https://www.artic.edu/artworks/7955,SURF-ER1830R069,Art Institute of Chicago API,Keep These Off the U.S.A.,United States,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/7955,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
7,url:https://www.artic.edu/artworks/184018,SURF-ER1830R071,Art Institute of Chicago API,Art Institute by the Elevated Lines,United States,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/184018,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
8,url:https://www.artic.edu/artworks/13935,SURF-ER1830R073,Art Institute of Chicago API,Ascot By Motor Bus,United Kingdom,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/13935,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
9,url:https://www.artic.edu/artworks/14941,SURF-ER1830R075,Art Institute of Chicago API,Rich repose of Autumn,United Kingdom,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/14941,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
10,url:https://www.artic.edu/artworks/3178,SURF-ER1830R076,Art Institute of Chicago API,The Centenary of the Omnibus,United Kingdom,pre_1930,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/3178,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
11,url:https://www.artic.edu/artworks/8878,SURF-MC1930R001,Art Institute of Chicago API,Come Out at Easter,United Kingdom,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/8878,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
12,url:https://www.artic.edu/artworks/8872,SURF-MC1930R003,Art Institute of Chicago API,No. 2 Spring,United Kingdom,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/8872,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
13,url:https://www.artic.edu/artworks/8867,SURF-MC1930R004,Art Institute of Chicago API,Whitsuntide in the Countryside,United Kingdom,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/8867,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
14,url:https://www.artic.edu/artworks/13343,SURF-MC1930R006,Art Institute of Chicago API,By the Rushy - Fringed Bank,United States,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/13343,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
15,url:https://www.artic.edu/artworks/159595,SURF-MC1930R042,Art Institute of Chicago API,The Time for Vengeance is Approaching,Russia,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/159595,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
16,url:https://www.artic.edu/artworks/159596,SURF-MC1930R043,Art Institute of Chicago API,The Wedding Present,Russia,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/159596,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
17,url:https://www.artic.edu/artworks/185124,SURF-MC1930R044,Art Institute of Chicago API,This Is the Enemy,United States,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/185124,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
18,url:https://www.artic.edu/artworks/184353,SURF-MC1930R045,Art Institute of Chicago API,"Thrill to the Heroic Struggle on ""Our Russian Front""",United States,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/184353,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
19,url:https://www.artic.edu/artworks/159594,SURF-MC1930R046,Art Institute of Chicago API,Thunderous Blow,Russia,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/159594,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
20,url:https://www.artic.edu/artworks/192411,SURF-MC1930R047,Art Institute of Chicago API,A Belorussian Landscape,Russia,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/192411,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
21,url:https://www.artic.edu/artworks/182948,SURF-MC1930R048,Art Institute of Chicago API,An Attempt Using Unfit Means,Russia,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/182948,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
22,url:https://www.artic.edu/artworks/192373,SURF-MC1930R049,Art Institute of Chicago API,Our One-Thousandth Blow,Russia,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/192373,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
23,url:https://www.artic.edu/artworks/192365,SURF-MC1930R050,Art Institute of Chicago API,The Hour Approaches,Unresolved region,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/192365,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
24,url:https://www.artic.edu/artworks/159645,SURF-MC1930R051,Art Institute of Chicago API,The Search for Human Resources in Germany,Germany,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/159645,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
25,url:https://www.artic.edu/artworks/192364,SURF-MC1930R052,Art Institute of Chicago API,Untitled,Unresolved region,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/192364,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
26,url:https://www.artic.edu/artworks/182958,SURF-MC1930R053,Art Institute of Chicago API,You Reap What You Sow,Russia,1930_1970,IMG00,false,true,true,1.00,img00_source_visible_repair,Find a source-visible item image or keep as a blocker; image identifier alone is not enough.,false,https://www.artic.edu/artworks/182958,"IMG00: AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
