capture_id,source_name,macro_region,country_or_region,source_title,impact_score,impact_rating,impact_basis,source_record_url
NMR1990R0001,Malaysian Design Archive,Southeast Asia,Malaysia,Let’s Make History 11.1.11,71,B,"region_weight=5; term_hits=3; image_state=IMG04; internal triage only, not public authority",https://search.malaysiadesignarchive.org/item/lets-make-history-11-1-11/
NMR1990R0002,Malaysian Design Archive,Southeast Asia,Malaysia,Bagaimana Mahasiswa Dulu Bisa Ada Parlimen Mahasiswa Yang Menggubal Dasar & Perlembagaan Mahasiswa Sendiri Tanpa Campurtangan Pemerintah Universiti?,71,B,"region_weight=5; term_hits=3; image_state=IMG04; internal triage only, not public authority",https://search.malaysiadesignarchive.org/item/bagaimana-mahasiswa-dulu-bisa-ada-parlimen-mahasiswa-yang-menggubal-dasar-perlembagaan-mahasiswa-sendiri-tanpa-campurtangan-pemerintah-universiti/
NMR1990R0003,Malaysian Design Archive,Southeast Asia,Malaysia,BÍCH – silkscreen edition,71,B,"region_weight=5; term_hits=3; image_state=IMG04; internal triage only, not public authority",https://search.malaysiadesignarchive.org/item/bich-silkscreen-edition/
NMR1990R0004,Malaysian Design Archive,Southeast Asia,Malaysia,1970 World Exposition – Untitled 056,76,A,"region_weight=5; term_hits=3; image_state=IMG04; internal triage only, not public authority",https://search.malaysiadesignarchive.org/item/1970-world-exposition-untitled-056/
NMR1990R0005,Malaysian Design Archive,Southeast Asia,Malaysia,1970 World Exposition – Untitled 055,76,A,"region_weight=5; term_hits=3; image_state=IMG04; internal triage only, not public authority",https://search.malaysiadesignarchive.org/item/1970-world-exposition-untitled-055/
NMR1990R0006,Barjeel Art Foundation,MENA,MENA,The jewels of my career,76,A,"region_weight=5; term_hits=2; image_state=IMG02; internal triage only, not public authority",https://www.barjeelartfoundation.org/exhibitions/the-jewels-of-my-career/
NMR1990R0007,Barjeel Art Foundation,MENA,MENA,No to the Invasion,72,B,"region_weight=5; term_hits=1; image_state=IMG02; internal triage only, not public authority",https://www.barjeelartfoundation.org/exhibitions/no-to-the-invasion/
NMR1990R0008,Barjeel Art Foundation,MENA,MENA,On This Land II,76,A,"region_weight=5; term_hits=2; image_state=IMG02; internal triage only, not public authority",https://www.barjeelartfoundation.org/exhibitions/on-this-land-ii/
NMR1990R0009,Barjeel Art Foundation,MENA,MENA,On This Land,76,A,"region_weight=5; term_hits=2; image_state=IMG02; internal triage only, not public authority",https://www.barjeelartfoundation.org/exhibitions/on-this-land/
NMR1990R0010,African Digital Heritage,Africa,Africa,The Histories We Tell – Lessons in Public and Participatory History from Africa,76,A,"region_weight=5; term_hits=2; image_state=IMG02; internal triage only, not public authority",https://africandigitalheritage.org/the-histories-we-tell-lessons-in-public-and-participatory-history-from-africa/
NMR1990R0011,African Digital Heritage,Africa,Africa,"Soundscapes: Archives as extensions, inscriptions, and reinventions of ourselves",76,A,"region_weight=5; term_hits=2; image_state=IMG02; internal triage only, not public authority",https://africandigitalheritage.org/soundscapes-archives-as-extensions-inscriptions-and-reinventions-of-ourselves/
NMR1990R0012,African Digital Heritage,Africa,Africa,How culture and archives are vital tools for space making and space building,76,A,"region_weight=5; term_hits=2; image_state=IMG02; internal triage only, not public authority",https://africandigitalheritage.org/how-culture-and-archives-are-vital-tools-for-space-making-and-space-building/
NMR1990R0013,African Digital Heritage,Africa,Africa,Using Digital Tools to Reimagine Cultural Heritage Spaces,72,B,"region_weight=5; term_hits=1; image_state=IMG02; internal triage only, not public authority",https://africandigitalheritage.org/using-digital-tools-to-reimagine-cultural-heritage-spaces/
NMR1990R0014,GALA Queer Archive,Africa,South Africa,Getting ready for ‘Kewpie: Daughter of District Six’,84,A,"region_weight=5; term_hits=3; image_state=IMG02; internal triage only, not public authority",https://gala.co.za/2018/09/18/gala-and-the-district-six-museums-partnership-exhibition-kewpie-daughter-of-district-six-is-almost-ready-for-the-public/
NMR1990R0015,GALA Queer Archive,Africa,South Africa,Documenting Decriminalisation: Call for animators,68,B,"region_weight=5; term_hits=1; image_state=IMG04; internal triage only, not public authority",https://gala.co.za/2026/06/01/documenting-decriminalisation-call-for-animators/
NMR1990R0016,GALA Queer Archive,Africa,South Africa,Open Call: 2025 GALA Internship,76,A,"region_weight=5; term_hits=1; image_state=IMG02; internal triage only, not public authority",https://gala.co.za/2025/01/20/open-call-2025-gala-internship/
NMR1990R0017,GALA Queer Archive,Africa,South Africa,Margins for error – Queer Cultural Programme 2024,80,A,"region_weight=5; term_hits=2; image_state=IMG02; internal triage only, not public authority",https://gala.co.za/2024/08/28/margins-for-error2024/
NMR1990R0018,Indian Memory Project,South Asia,India,The cockerel-fighter from Punjab who became one of Africa’s greatest cameramen,80,A,"region_weight=5; term_hits=2; image_state=IMG02; internal triage only, not public authority",https://indianmemoryproject.com/109/
NMR1990R0019,Indian Memory Project,South Asia,India,Uncannily bonded to a famous grandfather I never knew,80,A,"region_weight=5; term_hits=2; image_state=IMG02; internal triage only, not public authority",https://indianmemoryproject.com/99/
NMR1990R0020,Indian Memory Project,South Asia,India,"Constance, our fiercely independent grandmother.",76,A,"region_weight=5; term_hits=1; image_state=IMG02; internal triage only, not public authority",https://indianmemoryproject.com/228-2/
NMR1990R0021,Indian Memory Project,South Asia,India,On our last name ‘Telang’,84,A,"region_weight=5; term_hits=3; image_state=IMG02; internal triage only, not public authority",https://indianmemoryproject.com/219-2/
