review_type,source_file,capture_id,surface_id,year,region,image_state,source_name,title,source_url,review_class,suggested_action,evidence
source_visible_gap,,COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES,SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES,1891,Germany,IMG04,V&A Collections API,Arundel Society chromolithograph copy series,https://collections.vam.ac.uk/item/O1026162/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; V&A Collections API
source_visible_gap,,COMPOUND-HUNTLEY-PALMERS-TRADE-CARDS,SURF-COMPOUND-HUNTLEY-PALMERS-TRADE-CARDS,1890,United Kingdom,IMG04,V&A Collections API,Huntley & Palmers trade-card series,https://collections.vam.ac.uk/item/O545339/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; V&A Collections API
source_visible_gap,,MX1970R055-GROUP,SURF-MX1970R055-GROUP,1955,China / Hong Kong,IMG00,Chinese Posters,"Chinese Posters grouped records, 1950-1955",https://chineseposters.net/posters/pc-1950-s-002,image_missing_or_parser_gap,Recapture/probe image metadata or keep as text/card until source image evidence is visible.,IMG00; Chinese Posters
source_visible_gap,capture_batch_001_records.csv,ECAP008,SURF-ECAP008,2008,United States,IMG00,Art Institute of Chicago API,"Barack Obama ""Hope"" Poster",https://www.artic.edu/artworks/229396,image_missing_or_parser_gap,Recapture/probe image metadata or keep as text/card until source image evidence is visible.,IMG00; Art Institute of Chicago API
source_visible_gap,capture_batch_001_records.csv,ECAP032,SURF-ECAP032,,United Kingdom,IMG04,V&A Collections API,Self-Determination For The Irish People,https://collections.vam.ac.uk/item/O554413/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; V&A Collections API
source_visible_gap,capture_batch_001_records.csv,ECAP034,SURF-ECAP034,,United Kingdom,IMG04,V&A Collections API,Zimbabwe. One Enemy: Imperialism.,https://collections.vam.ac.uk/item/O554411/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; V&A Collections API
source_visible_gap,capture_batch_001_records.csv,ECAP035,SURF-ECAP035,,United Kingdom,IMG04,V&A Collections API,Free World. Third World. Socialist World.,https://collections.vam.ac.uk/item/O555461/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; V&A Collections API
source_visible_gap,capture_batch_001_records.csv,ECAP036,SURF-ECAP036,,United Kingdom,IMG04,V&A Collections API,A for africa,https://collections.vam.ac.uk/item/O554955/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; V&A Collections API
source_visible_gap,capture_batch_001_records.csv,ECAP037,SURF-ECAP037,,United Kingdom,IMG04,V&A Collections API,Supporting An Army Of The People And For The People,https://collections.vam.ac.uk/item/O552869/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; V&A Collections API
source_visible_gap,capture_batch_001_records.csv,ECAP038,SURF-ECAP038,,United Kingdom,IMG04,V&A Collections API,Support The Struggle Of The United Farm Workers,https://collections.vam.ac.uk/item/O555459/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; V&A Collections API
source_visible_gap,capture_batch_001_records.csv,ECAP039,SURF-ECAP039,,United Kingdom,IMG04,V&A Collections API,In Support Of The Courageous Stand Made By Hull Prisoners,https://collections.vam.ac.uk/item/O554954/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; V&A Collections API
source_visible_gap,capture_batch_001_records.csv,ECAP042,SURF-ECAP042,,France,IMG04,Library of Congress loc.gov API,"[Posters depicting Belize's People's United Party (PUP); Brazil: film posters, cultural issues, reproductive rights; Guyana: political posters, environmental issues; Suriname: bird-watching, environmental issues; French Guyana: environmental issues, Carnival,",https://www.loc.gov/pictures/item/2010635024/,text_only_item_or_collection,"Review whether this should stay IMG04 text sheet, become card/support, or receive an item-image recapture.",IMG04; Library of Congress loc.gov API
