surface_id,source_record_id,source_record_url,title,best_image_state,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,local_rights_text_excerpt,raw_record_found,raw_rights_uri,raw_rights_text_excerpt,raw_rights_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,iiif_or_viewer_available,image_url_detected_excerpt
SURF-GSU2026R046,popcul:1731,https://digitalcollections.library.gsu.edu/digital/collection/popcul/id/1731,"""Mixtitlan,"" by Philip Boehm, silent auction catalog for an ""Opening Night Fiesta,""at 7 Stages Theatre, Atlanta, Georgia, May 7, 1999. (14 pages)",IMG02,0.45,true,GSU2026R046,data/capture_batch_gsu_contentdm_image_ready_1971_2026_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from...",raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/popcul/id/1731,https://digitalcollections.library.gsu.edu/iiif/2/popcul:1731/full/full/0/default.jpg
SURF-GSU2026R029,AFLCIO:44399,https://digitalcollections.library.gsu.edu/digital/collection/AFLCIO/id/44399,"A. Philip Randolph Institute, correspondence and printed materials, 1982-1983",IMG02,0.45,true,GSU2026R029,data/capture_batch_gsu_contentdm_image_ready_1971_2026_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,http://rightsstatements.org/vocab/InC-EDU/1.0,,raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/AFLCIO/id/44399,https://digitalcollections.library.gsu.edu/iiif/2/AFLCIO:44399/full/full/0/default.jpg
SURF-GSU2026R030,AFLCIO:111802,https://digitalcollections.library.gsu.edu/digital/collection/AFLCIO/id/111802,"ACTWU, Deep South Region, 1982-1988",IMG02,0.45,true,GSU2026R030,data/capture_batch_gsu_contentdm_image_ready_1971_2026_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,http://rightsstatements.org/vocab/InC-EDU/1.0,,raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/AFLCIO/id/111802,https://digitalcollections.library.gsu.edu/digital/api/singleitem/image/AFLCIO/111802/default.jpg
SURF-GSU1970R009,IAM:103194,https://digitalcollections.library.gsu.edu/digital/collection/IAM/id/103194,"Aero Mechanic, 1942-10-15",IMG02,0.45,true,GSU1970R009,data/capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from...",raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/IAM/id/103194,https://digitalcollections.library.gsu.edu/iiif/2/IAM:103194/full/full/0/default.jpg
SURF-GSU2026R005,arwg:5178,https://digitalcollections.library.gsu.edu/digital/collection/arwg/id/5178,"American Association of University Women scrapbook 3, 1965-1975 1990",IMG02,0.45,true,GSU2026R005,data/capture_batch_gsu_contentdm_image_ready_1971_2026_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,http://rightsstatements.org/vocab/InC-EDU/1.0/,"These materials, gathered by the donor from many sources, have been digitized for preservation purposes and are being made available on the Internet for scholarship, educational, and personal use only. These materials document a thematic...",raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/arwg/id/5178,https://digitalcollections.library.gsu.edu/iiif/2/arwg:5178/full/full/0/default.jpg
SURF-GSU1970R015,SKennedy:13393,https://digitalcollections.library.gsu.edu/digital/collection/SKennedy/id/13393,"Anti-CIO political poster from Eastman, Georgia, circa 1946.",IMG02,0.45,true,GSU1970R015,data/capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from...",raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/SKennedy/id/13393,https://digitalcollections.library.gsu.edu/iiif/2/SKennedy:13393/full/full/0/default.jpg
SURF-GSU2026R003,SKennedy:335,https://digitalcollections.library.gsu.edu/digital/collection/SKennedy/id/335,"Biographical information, 1939-1981; undated",IMG02,0.45,true,GSU2026R003,data/capture_batch_gsu_contentdm_image_ready_1971_2026_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from...",raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/SKennedy/id/335,https://digitalcollections.library.gsu.edu/iiif/2/SKennedy:335/full/full/0/default.jpg
SURF-GSU2026R016,arwg:29996,https://digitalcollections.library.gsu.edu/digital/collection/arwg/id/29996,"Career Counseling, undated",IMG02,0.45,true,GSU2026R016,data/capture_batch_gsu_contentdm_image_ready_1971_2026_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,http://rightsstatements.org/vocab/InC-EDU/1.0/,,raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/arwg/id/29996,https://digitalcollections.library.gsu.edu/iiif/2/arwg:29996/full/full/0/default.jpg
SURF-GSU2026R017,CLATL:7094,https://digitalcollections.library.gsu.edu/digital/collection/CLATL/id/7094,"Creative Loafing, 1975-07-12",IMG02,0.45,true,GSU2026R017,data/capture_batch_gsu_contentdm_image_ready_1971_2026_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,https://rightsstatements.org/vocab/InC-NC/1.0/;,,raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/CLATL/id/7094,https://digitalcollections.library.gsu.edu/iiif/2/CLATL:7094/full/full/0/default.jpg
SURF-GSU1970R026,labor:4462,https://digitalcollections.library.gsu.edu/digital/collection/labor/id/4462,"Dean Girardot scrapbook 1 (J.P. Stevens and Co. campaign), 1963-1965",IMG02,0.45,true,GSU1970R026,data/capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,IMG02,true,GSU CONTENTdm item exposes a source-hosted IIIF image/thumbnail; use source-linked display and keep item-level rights visible.,true,,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from...",raw_blocking_or_permission_rights_signal,blocked_by_raw_copyright_or_permission_signal,keep_img02_pending_explicit_open_rights,no_upgrade,false,https://digitalcollections.library.gsu.edu/digital/collection/labor/id/4462,https://digitalcollections.library.gsu.edu/iiif/2/labor:4462/full/full/0/default.jpg
