metric,value,count,notes
candidate_sources_from_wikidata,all,2600,New candidate official source sites after existing-source dedupe.
successful_new_sources_available,all,1071,Official source URLs that returned successful source metadata.
successful_new_sources_selected,all,500,Balanced non-mainstream source successes written to the registry.
macro_region_distribution,Africa,71,Selected successful source registry rows.
macro_region_distribution,Latin America / Caribbean,71,Selected successful source registry rows.
macro_region_distribution,MENA,71,Selected successful source registry rows.
macro_region_distribution,Southeast Asia,71,Selected successful source registry rows.
macro_region_distribution,Eastern Europe / Caucasus,70,Selected successful source registry rows.
macro_region_distribution,South Asia,66,Selected successful source registry rows.
macro_region_distribution,Central Asia,55,Selected successful source registry rows.
macro_region_distribution,East Asia,17,Selected successful source registry rows.
macro_region_distribution,Oceania / Indigenous,8,Selected successful source registry rows.
source_class_distribution,museum,281,Selected successful source registry rows.
source_class_distribution,library,136,Selected successful source registry rows.
source_class_distribution,cultural center,36,Selected successful source registry rows.
source_class_distribution,archives,29,Selected successful source registry rows.
source_class_distribution,art gallery,18,Selected successful source registry rows.
protocol_distribution,(none detected),153,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST,60,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST,41,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom,30,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD,21,Detected protocol hints only; not rights clearance.
protocol_distribution,Static JS App,21,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;PDF,20,Detected protocol hints only; not rights clearance.
protocol_distribution,PDF,17,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD,14,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;PDF,13,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;PDF,12,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;Static JS App,12,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;Static JS App,12,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF,10,Detected protocol hints only; not rights clearance.
protocol_distribution,Static JS App;PDF,8,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;PDF,6,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST,6,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;Static JS App,5,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,4,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD;WordPress REST,4,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;Static JS App,3,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD,3,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;WordPress REST,3,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;PDF,3,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;Static JS App,2,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;Static JS App,2,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;Static JS App,2,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;Static JS App;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;RSS/Atom,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;RSS/Atom;JSON-LD;WordPress REST;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD;WordPress REST;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;RSS/Atom;WordPress REST,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD;WordPress REST,1,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom,1,Detected protocol hints only; not rights clearance.
next_item_capture_priority,P1 item/source adapter,270,Internal triage for later item/image capture.
next_item_capture_priority,P1 manual item capture,124,Internal triage for later item/image capture.
next_item_capture_priority,P2 source enrichment,75,Internal triage for later item/image capture.
next_item_capture_priority,P0 item/image adapter,31,Internal triage for later item/image capture.
