area,metric,value,severity,recommendation
release,public_surfaces,13680,info,Snapshot only; no frontend rebuild was run.
release,archive_active_public_sources,12342,fail,"Treat source count as capacity context, not the defining quality metric."
release,object_source_visible_rate,97.91,near_gate,"Raise toward 99% through targeted source-visible repair, not broad capture."
release,object_verified_open_rate,87.96,fail,Needs item-level rights repair to approach 95%.
release,object_img04_rate,1.78,pass,"Keep IMG04 low, but audit true text-only status."
coverage,strict_distribution_adjusted_source_coverage_rate,26.23,critical,Main distribution blocker; prioritize region normalization and low-coverage quality capture.
coverage,research_quality_adjusted_source_coverage_rate_v2,2.31,critical,"Shows main-sheet/text/relation quality, not raw source volume, is the release bottleneck."
capture_pool,capture_records_scanned,19898,info,All capture_batch_*_records.csv rows scanned.
capture_pool,capture_img03_count,18139,info,IMG03 count before final clean/rebuild.
capture_pool,capture_img04_count,295,review,"Confirm IMG04 rows are true text/source context, not parser misses."
capture_pool,unresolved_or_inferred_region_records,278,review,Apply region normalization decisions before final surface rebuild.
temporal,temporal_recent_anomaly_review_rows,1050,critical,Remove access-year/span/profile rows from object-year metrics.
recent_quality,recent_stamp_event_reclassification_rows,1643,critical,Downgrade post-2010 stamps/event memory material to card/support unless manually justified.
queue,P0_cleaning_queue_rows,5287,critical,Run before any new broad capture or rebuild.
queue,P1_cleaning_queue_rows,2566,high,"Run after P0, especially rights/date/duplicate review."
queue,P2_cleaning_queue_rows,2670,medium,Metadata cleanup and triage.
queue_action,card_or_appendix_reclass_review,2930,info,See priority queue CSV.
queue_action,metadata_cleanup_review,2670,info,See priority queue CSV.
queue_action,recent_stamp_event_reclassification,1643,info,See priority queue CSV.
queue_action,deduplicate_or_merge_review,1141,info,See priority queue CSV.
queue_action,manual_rights_or_date_review,1089,info,See priority queue CSV.
queue_action,date_or_span_reclass_review,1050,info,See priority queue CSV.
capture_year_top,2026,820,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,1979,570,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,2013,516,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,2014,414,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,1974,385,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,2011,377,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,1970,344,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,1940,330,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,1971,289,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,2012,273,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,2023,260,diagnostic,Top capture-record years before clean/rebuild.
capture_year_top,2017,253,diagnostic,Top capture-record years before clean/rebuild.
