cluster_key,source_family,family_class,region,theme,five_year_bucket,cluster_size,packet_relation_lane,packet_confidence,eligible_rows,anchor_rows,member_or_sub_rows,scope_status,scope_reason,blocking_dimensions,manual_resolution_path,seed_priority,sample_titles
Global / transnational|Midcentury modern graphic communication|Internet Archive|2015-2019,Internet Archive,library_archive_or_aggregator,Global / transnational,Midcentury modern graphic communication,2015-2019,6,strong_packet_candidate,high,6,6,0,scope_candidate_but_blocked,macro_or_unresolved_region,macro_or_unresolved_region; missing_member_or_sub,resolve_region_scope_before_packeting,54,Future Sex - Issue 03 | Future Sex Issue 4 | Future Sex Issue 7 | Future Sex - Issue 02 | Future Sex Issue 1
United States|New Deal and civic poster programs|Library of Congress|1935-1939,Library of Congress,library_archive_or_aggregator,United States,New Deal and civic poster programs,1935-1939,8,strong_packet_candidate,high,4,0,4,scope_candidate_but_blocked,missing_blocker_free_anchor,missing_anchor,identify_blocker_free_anchor_candidate,48,"WPA federal art regional exhibit, Montclair Museum Easel painting, graphic arts, poster display, index of design. | [WPA poster design showing the head and hands of a woman holding flowers and wheat above a blank banner] | WPA women painters, Federal Art Gallery, 50 Beacon St., Boston | Who's who in the zoo Illustrated natural history prepared by the WPA Federal Writers Project : On sale at all book stores, zoos, and museums. | WPA Federal Art Project exhibition, 77 Newbury St., Boston, Nov. 28, Dec. 10, 1938"
Global / transnational|Modern typography and layout|Another Graphic|2025-2029,Another Graphic,design_or_cultural_institution,Global / transnational,Modern typography and layout,2025-2029,7,packet_parentage_review,medium,7,0,7,scope_candidate_but_blocked,macro_or_unresolved_region,macro_or_unresolved_region; lane_not_strong; confidence_not_high; missing_anchor,resolve_region_scope_before_packeting,41,Darius Ou - Another Graphic | Flóki Sigurjónsson - Another Graphic | Juhyeok Kim - Another Graphic | Elena Byalaya - Another Graphic | Hans Frauchiger - Another Graphic
Global / transnational|Midcentury modern graphic communication|Internet Archive|2010-2014,Internet Archive,library_archive_or_aggregator,Global / transnational,Midcentury modern graphic communication,2010-2014,5,strong_packet_candidate,high,4,2,1,scope_candidate_but_blocked,macro_or_unresolved_region,macro_or_unresolved_region,resolve_region_scope_before_packeting,37,Future Sex - Issue 05 | Maximum Rocknroll 166 (1997 Mar) | Maximum Rocknroll 198 (1999 Nov) | HTML5 and CSS3 Responsive Web Design Cookbook.pdf (PDFy mirror) | Koleksi Zine Punk Rock
Global / transnational|Midcentury modern graphic communication|Internet Archive|2020-2024,Internet Archive,library_archive_or_aggregator,Global / transnational,Midcentury modern graphic communication,2020-2024,6,strong_packet_candidate,high,3,2,0,scope_candidate_but_blocked,macro_or_unresolved_region,macro_or_unresolved_region; missing_member_or_sub,resolve_region_scope_before_packeting,30,"Shadis Magazine | Create Graphical User Interfaces with Python | Don't make me think, revisited : a common sense approach to Web usability | The HTML Handbook | KROTCH Zine (Issue 7)"
Aotearoa New Zealand|World War and public-information graphics|Te Papa|1940-1944,Te Papa,museum_or_collection_api,Aotearoa New Zealand,World War and public-information graphics,1940-1944,12,strong_packet_candidate,high,1,1,0,scope_candidate_but_blocked,missing_blocker_free_member_or_sub,missing_member_or_sub,identify_blocker_free_member_or_sub_candidate,27,"Poster, 'How about you?' | Poster, 'Come on - New Zealand!' | Poster, 'Salute the Airman' | Poster, 'Squash the Squander Bug' | 'You are helping by carrying your shopping' poster"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1935-1939,Gallica / BnF APIs,library_archive_or_aggregator,France,Midcentury modern graphic communication,1935-1939,12,strong_packet_candidate,high,0,0,0,method_review_only,missing_blocker_free_anchor,no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,10,"Assemblée générale du... (Cercle de la librairie, de l'imprimerie, de la papeterie...) | Arts et métiers graphiques (Paris) | La Publicité (Paris) | La tentation de St. Antoine, de G. Flaubert. Théâtre du Livre... Art et Action : [affiche] / bois gravé par [Joé Chaine] | Théâtre National de l'Opéra. 18 février 1936. Gala de la marine... : [affiche] / lithographie de Charles Fouqueray"
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa|1985-1989,Te Papa,museum_or_collection_api,Aotearoa New Zealand,Postwar exhibition and cultural posters,1985-1989,8,strong_packet_candidate,high,0,0,0,method_review_only,missing_blocker_free_anchor,no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,10,"Poster, 'Frigates' | Poster, 'He's back.....hide your wallets!' | Poster, 'June 28 No Tour Friday' | Poster, 'Use Your Vote' | Poster, 'say NO to frigates'"
Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,Te Papa,museum_or_collection_api,Aotearoa New Zealand,World War and public-information graphics,1980-1984,5,strong_packet_candidate,high,0,0,0,method_review_only,missing_blocker_free_anchor,no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,10,"Trident missile poster | Poster, 'Protest and Survive' | Poster, 'The World According to Ronald Reagan' | Poster, ""We begin bombing in five minutes"" | Poster, 'Hiroshima Day March'"
Africa|Midcentury modern graphic communication|African Digital Heritage|2020-2024,African Digital Heritage,design_or_cultural_institution,Africa,Midcentury modern graphic communication,2020-2024,2,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,Using Digital Tools to Reimagine Cultural Heritage Spaces | How culture and archives are vital tools for space making and space building
Africa|Travel and transport poster culture|African Digital Heritage|2020-2024,African Digital Heritage,design_or_cultural_institution,Africa,Travel and transport poster culture,2020-2024,1,small_anchor_or_manual,low,0,0,0,method_review_only,cluster_lane_not_strong_packet_candidate,lane_not_strong; confidence_not_high; no_eligible_rows; missing_anchor; missing_member_or_sub; method_review_only,improve_relation_evidence_before_sandbox,-10,"Soundscapes: Archives as extensions, inscriptions, and reinventions of ourselves"
