source_family,family_class,role_rows,cluster_rows,eligible_rows,support_only_rows,method_review_only_rows,candidate_packet_anchor_rows,member_or_sub_rows,eligible_cluster_rows,strict_sandbox_ready_clusters,dominant_cluster_lane,dominant_role,scope_status,scope_reason
Internet Archive,library_archive_or_aggregator,50,28,13,0,37,10,26,3,0,mixed_manual_relation_review,packet_member_review,eligible_but_scope_blocked,Has eligible rows but lacks explicit non-macro parent/member cluster shape.
Te Papa,museum_or_collection_api,35,10,1,0,34,1,32,1,0,mixed_manual_relation_review,packet_member_review,eligible_but_scope_blocked,Has eligible rows but lacks explicit non-macro parent/member cluster shape.
Library of Congress,library_archive_or_aggregator,22,12,4,1,17,0,21,1,0,mixed_manual_relation_review,packet_member_review,eligible_but_scope_blocked,Has eligible rows but lacks explicit non-macro parent/member cluster shape.
Another Graphic,design_or_cultural_institution,11,7,7,0,4,0,10,1,0,mixed_manual_relation_review,packet_member_review,eligible_but_scope_blocked,Has eligible rows but lacks explicit non-macro parent/member cluster shape.
Gallica / BnF APIs,library_archive_or_aggregator,95,29,0,0,95,0,87,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Georgia State CONTENTdm,library_archive_or_aggregator,63,48,0,0,63,0,63,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Wellcome Collection,museum_or_collection_api,32,38,0,3,29,0,23,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
DigitalNZ,library_archive_or_aggregator,30,25,0,2,28,0,20,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
NAIDOC Poster Gallery,design_or_cultural_institution,27,20,0,0,27,0,25,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Malaysia Design Archive,design_or_cultural_institution,9,2,0,0,9,0,8,0,0,packet_parentage_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Smithsonian,museum_or_collection_api,8,9,0,1,7,0,7,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Asian Film Archive,design_or_cultural_institution,7,5,0,0,7,0,7,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Letterform Archive,design_or_cultural_institution,7,3,0,0,7,0,0,0,0,small_anchor_or_manual,manual_relation_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Design Reviewed,design_or_cultural_institution,6,3,0,0,6,0,6,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Princeton Figgy,library_archive_or_aggregator,6,10,0,0,6,0,6,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Art Institute of Chicago API,museum_or_collection_api,5,5,0,0,5,0,5,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Cleveland Museum Open Access API,museum_or_collection_api,5,5,0,0,5,0,5,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Los Angeles Public Library Tessa / CONTENTdm,library_archive_or_aggregator,5,4,0,0,5,0,4,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Indian Memory Project,design_or_cultural_institution,4,3,0,0,4,0,0,0,0,small_anchor_or_manual,provisional_main_anchor_needs_text,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
African Digital Heritage,design_or_cultural_institution,3,2,0,0,3,0,0,0,0,small_anchor_or_manual,manual_relation_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Barjeel Art Foundation,design_or_cultural_institution,3,2,0,0,3,0,0,0,0,small_anchor_or_manual,manual_relation_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Desain Grafis Indonesia,design_or_cultural_institution,3,2,0,0,3,0,3,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
V&A Collections API,other_non_commons,2,13,0,0,2,0,2,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Auckland Libraries Heritage Collections / CONTENTdm,design_or_cultural_institution,1,7,0,0,1,0,1,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
Chinese Posters,design_or_cultural_institution,1,1,0,0,1,0,1,0,0,mixed_manual_relation_review,sub_under_packet_candidate,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
GALA Queer Archive,design_or_cultural_institution,1,1,0,0,1,0,0,0,0,small_anchor_or_manual,manual_relation_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
SMU Libraries Digital Collections / CONTENTdm,library_archive_or_aggregator,1,3,0,0,1,0,1,0,0,mixed_manual_relation_review,packet_member_review,needs_more_relation_or_source_depth,Rows remain method-review only or support-only under current packet rules.
