image_url_detected,record_count,source_names,period_bands,capture_ids,titles
https://wellcomecollection.org/placeholder.jpg,3,Wellcome Collection Catalogue API,1930_1970,IR1970R044 | IR1970R047 | IR1970R060,Thoracoplasty and apicolysis for pulmonary tuberculosis. | Onwards to victory. | Answer to emergency.
"https://www.artic.edu/iiif/2/59320f53-e6a1-4fb7-0246-ff70542460bf/full/843,/0/default.jpg",2,Art Institute of Chicago API,pre_1930,ECAP001 | ER1830R066,Buy a Little Present for the Kaiser
"https://www.artic.edu/iiif/2/119dba14-acf2-cdcd-e9e6-b9cd38bc3aad/full/843,/0/default.jpg",2,Art Institute of Chicago API,pre_1930,ECAP003 | ER1830R055,"Zodiaque (""La Plume"")"
"https://www.artic.edu/iiif/2/01e6ed5b-5b03-3929-f424-96e4bcbbec31/full/843,/0/default.jpg",2,Art Institute of Chicago API,pre_1930,ECAP004 | ER1830R065,To the Amputees—Join the Workforce
"https://www.artic.edu/iiif/2/7aeac16d-ac42-79f1-d49e-fb7b49193ae3/full/843,/0/default.jpg",2,Art Institute of Chicago API,pre_1930,ECAP005 | ER1830R069,Keep These Off the U.S.A.
"https://www.artic.edu/iiif/2/40d361de-3296-7ed1-a6a9-f592457864b0/full/843,/0/default.jpg",2,Art Institute of Chicago API,1930_1970,ECAP006 | MC1930R062,1952 Exhibition Poster
"https://www.artic.edu/iiif/2/51548c3f-089f-4258-00ee-67087fb2d305/full/843,/0/default.jpg",2,Art Institute of Chicago API,1930_1970,ECAP007 | MC1930R044,This Is the Enemy
"https://www.artic.edu/iiif/2/965eac7d-008c-2812-7807-a91071de7bfd/full/843,/0/default.jpg",2,Art Institute of Chicago API,pre_1930,ECAP009 | ER1830R068,Invest in the Victory Liberty Loan
"https://www.artic.edu/iiif/2/48c8b6f9-fc55-5717-88fa-d4f468b048cf/full/843,/0/default.jpg",2,Art Institute of Chicago API,1930_1970,ECAP010 | MC1930R048,An Attempt Using Unfit Means
"https://www.artic.edu/iiif/2/0d5db4d9-0725-7ecd-e44b-95d0750949a3/full/843,/0/default.jpg",2,Art Institute of Chicago API,pre_1930,ECAP011 | ER1830R052,The Modern Poster
"https://www.artic.edu/iiif/2/a09b0e67-ed09-4b97-b813-55710a3ddaac/full/843,/0/default.jpg",2,Art Institute of Chicago API,1930_1970,ECAP012 | MC1930R052,Untitled
"https://www.artic.edu/iiif/2/325eb5f0-cf87-b187-8031-16d43245f7b3/full/843,/0/default.jpg",2,Art Institute of Chicago API,1930_1970,ECAP013 | MC1930R049,Our One-Thousandth Blow
"https://www.artic.edu/iiif/2/d4c1c3b1-7495-f21d-1e5a-40477030045e/full/843,/0/default.jpg",2,Art Institute of Chicago API,1930_1970,ECAP014 | MC1930R003,No. 2 Spring
"https://www.artic.edu/iiif/2/1d82da66-d99e-f4f6-d5fc-56b22b6678ba/full/843,/0/default.jpg",2,Art Institute of Chicago API,pre_1930,ECAP015 | ER1830R043,"Moulin Rouge, La Goulue"
"https://framemark.vam.ac.uk/collections/2006AY2198/full/!100,100/0/default.jpg",2,V&A Collections API,undated_or_unparsed | 1930_1970,ECAP026 | MC1930R069,Piper at the Gates of Dawn
"https://framemark.vam.ac.uk/collections/2014GW4708/full/!100,100/0/default.jpg",2,V&A Collections API,undated_or_unparsed | 1930_1970,ECAP028 | MC1930R094,There flows from Latin America
"https://framemark.vam.ac.uk/collections/2014HH0974/full/!100,100/0/default.jpg",2,V&A Collections API,undated_or_unparsed | pre_1930,ECAP029 | ER1830R054,Picture Posters
https://upload.wikimedia.org/wikipedia/commons/6/60/Smelting_Company_of_Australia_-_Advertisement_%28Daily_Commercial_News_and_Shipping_List%2C_19_Jan_1898%2C_p6%29.jpg,2,"Wikimedia Commons file source / Smelting Company of Australia - Advertisement (Daily Commercial News and Shipping List, 19 Jan 1898, p6).jpg / page 170544654",pre_1930,CCE2026R00107 | CCE2026R00108,"Smelting Company of Australia - Advertisement (Daily Commercial News and Shipping List, 19 Jan 1898, p6).jpg"
https://upload.wikimedia.org/wikipedia/commons/9/92/Visit_Cuba_-_Price_Tours_01.jpg,2,Wikimedia Commons file source / Visit Cuba - Price Tours 01.jpg / page 138179334,1930_1970,CCE2026R00444 | CCE2026R00445,Visit Cuba - Price Tours 01.jpg
https://upload.wikimedia.org/wikipedia/commons/7/7d/Advertisement_-_Miramar_Charterhouse_Hotel.jpg,2,Wikimedia Commons file source / Advertisement - Miramar Charterhouse Hotel.jpg / page 160517637,1930_1970,CCE2026R00626 | CCE2026R00627,Advertisement - Miramar Charterhouse Hotel.jpg
"https://framemark.vam.ac.uk/collections/2012FV6222/full/!100,100/0/default.jpg",2,V&A Collections API,pre_1930,ER1830R001,
