first_target_id,target_number,scope_cell_id,target_label,source_name,record_family,source_url_or_search_path,canonical_url,verification_decision,confirmed_image_zone,rights_risk,required_action
FIT001,1,C01,Program of the State Bauhaus in Weimar,Harvard Art Museums,museum object,https://harvardartmuseums.org/art/223124,https://hvrd.art/o/223124,ready_manual_link_only,IMG00,High,Ingest metadata only and do not display image
FIT003,3,C01,Walter Gropius authority record,Getty ULAN,authority record,https://www.getty.edu/vow/ULANFullDisplay?subjectid=500028112,https://www.getty.edu/vow/ULANFullDisplay?subjectid=500028112,ready_manual_text_authority,IMG04,Low,Ingest as authority record
FIT005,5,C02,Wizyta Starszej Pani,MoMA,museum object,https://www.moma.org/collection/works/8726,https://www.moma.org/collection/works/8726,ready_manual_link_only,IMG00,High,Ingest metadata only and do not display image
FIT006,6,C02,Moda Polska,MoMA,museum object,https://www.moma.org/collection/works/6300,https://www.moma.org/collection/works/6300,ready_manual_link_only,IMG00,High,Ingest metadata only and do not display image
FIT007,7,C03,IBM Design Program history page,IBM,institutional page,https://www.ibm.com/history/design-program,https://www.ibm.com/history/design-program,ready_manual_text,IMG04,Low,Ingest as institutional page
FIT008,8,C03,The IBM logo history page,IBM,institutional page,https://www.ibm.com/history/logo,https://www.ibm.com/history/logo,ready_manual_text,IMG04,Low,Ingest as institutional page
FIT009,9,C03,IBM Latin America: Vision; Mission; Goals,MoMA,museum object,https://www.moma.org/collection/works/290152,https://www.moma.org/collection/works/290152,ready_manual_link_only,IMG00,High,Ingest metadata only
FIT010,10,C03,Executary Transcribing Machine model 272,MoMA,museum object,https://www.moma.org/collection/works/3346,https://www.moma.org/collection/works/3346,ready_manual_link_only,IMG00,High,Ingest metadata only
FIT011,11,C04,Exposicion Litografias Taller de Grafica Popular,MoMA,museum object,https://www.moma.org/collection/works/7938,https://www.moma.org/collection/works/7938,ready_manual_link_only,IMG00,High,Ingest metadata only
FIT012,12,C04,Dia internacional de la mujer,Library of Congress,poster archive item,https://www.loc.gov/pictures/item/2004665907/,https://www.loc.gov/pictures/item/2004665907/,ready_manual_link_only,IMG00,High,Ingest metadata and rights note only
FIT013,13,C04,El sinarquismo,Getty CONA,poster archive item,https://www.getty.edu/cona/CONAFullSubject.aspx?subid=700000944,https://www.getty.edu/cona/CONAFullSubject.aspx?subid=700000944,ready_manual_link_only,IMG00,High,Ingest metadata only
