sample_id,sample_type,target_display_labels,target_region_ids,target_geo_ids,surface_id,source_record_id,title,date_text,period_band,source_name,current_region_label,candidate_action,confidence,evidence_fields,evidence_snippet,review_question
RGN-QA-001,auto_map_stratified,Aotearoa New Zealand,REG015,GEO070,SURF-DNZ1970R001,DNZ1970R001,"Untitled Illustration (Otago Daily Times, 15 August 1867)",15-08-1867; 1867-08-15T00:00:00.000Z; 1867-08-15T00:00:00.000Z; 2012-04-20T19:55:34.000+12:00,pre_1930,DigitalNZ,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Aotearoa New Zealand | sourceSubjects: natlib:online_item | title: Untitled Illustration (Otago Daily Times, 15 August 1867) | sourceDescription: The source does not provide extended descriptive prose. The item metadata gives date evidence: 15-08-1867; 1867-08-15T00:00:00.000Z; …; place evidence: Aotearoa New Zealand. For th",Does high-signal metadata support this target geography?
RGN-QA-002,auto_map_stratified,Aotearoa New Zealand,REG015,GEO070,SURF-DNZ1970R002-GROUP,DNZ1970R002-GROUP,"Untitled Illustration (Otago Witness, 13 December 1879) grouped records, 1879",1879,pre_1930,DigitalNZ,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Aotearoa New Zealand | sourceSubjects: natlib:online_item | title: Untitled Illustration (Otago Witness, 13 December 1879) grouped records, 1879 | sourceDescription: Grouped duplicate/source-generic records. This prevents repeated archive labels from reading as separate designed sheets.",Does high-signal metadata support this target geography?
RGN-QA-003,auto_map_stratified,Aotearoa New Zealand,REG015,GEO070,SURF-DNZ1970R009-GROUP,DNZ1970R009-GROUP,"Untitled Illustration (Otago Witness, 20 December 1879) grouped records, 1879",1879,pre_1930,DigitalNZ,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Aotearoa New Zealand | sourceSubjects: natlib:online_item | title: Untitled Illustration (Otago Witness, 20 December 1879) grouped records, 1879 | sourceDescription: Grouped duplicate/source-generic records. This prevents repeated archive labels from reading as separate designed sheets.",Does high-signal metadata support this target geography?
RGN-QA-004,auto_map_stratified,Aotearoa New Zealand,REG015,GEO070,SURF-DNZ1970R012,DNZ1970R012,"Untitled Illustration (Otago Witness, 27 December 1879)",27-12-1879; 1879-12-27T00:00:00.000Z; 1879-12-27T00:00:00.000Z; 2012-04-20T20:17:15.000+12:00,pre_1930,DigitalNZ,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Aotearoa New Zealand | sourceSubjects: natlib:online_item | title: Untitled Illustration (Otago Witness, 27 December 1879) | sourceDescription: The source does not provide extended descriptive prose. The item metadata gives date evidence: 27-12-1879; 1879-12-27T00:00:00.000Z; …; place evidence: Aotearoa New Zealand. For th",Does high-signal metadata support this target geography?
RGN-QA-005,auto_map_stratified,Aotearoa New Zealand,REG015,GEO070,SURF-DNZ1970R013,DNZ1970R013,"Untitled Illustration (Otago Witness, 03 January 1880)",03-01-1880; 1880-01-03T00:00:00.000Z; 1880-01-03T00:00:00.000Z; 2012-04-20T20:40:57.000+12:00,pre_1930,DigitalNZ,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Aotearoa New Zealand | sourceSubjects: natlib:online_item | title: Untitled Illustration (Otago Witness, 03 January 1880) | sourceDescription: The source does not provide extended descriptive prose. The item metadata gives date evidence: 03-01-1880; 1880-01-03T00:00:00.000Z; …; place evidence: Aotearoa New Zealand. For th",Does high-signal metadata support this target geography?
RGN-QA-006,auto_map_stratified,Aotearoa New Zealand,REG015,GEO070,SURF-DNZ1970R014,DNZ1970R014,"Untitled Illustration (Otago Witness, 24 July 1880)",24-07-1880; 1880-07-24T00:00:00.000Z; 1880-07-24T00:00:00.000Z; 2012-04-20T20:29:06.000+12:00,pre_1930,DigitalNZ,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Aotearoa New Zealand | sourceSubjects: natlib:online_item | title: Untitled Illustration (Otago Witness, 24 July 1880) | sourceDescription: The source does not provide extended descriptive prose. The item metadata gives date evidence: 24-07-1880; 1880-07-24T00:00:00.000Z; …; place evidence: Aotearoa New Zealand. For th",Does high-signal metadata support this target geography?
RGN-QA-007,auto_map_stratified,Aotearoa New Zealand,REG015,GEO070,SURF-DNZ1970R015-GROUP,DNZ1970R015-GROUP,"Untitled Illustration (Otago Witness, 20 April 1893) grouped records, 1893",1893,pre_1930,DigitalNZ,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Aotearoa New Zealand | sourceSubjects: natlib:online_item | title: Untitled Illustration (Otago Witness, 20 April 1893) grouped records, 1893 | sourceDescription: Grouped duplicate/source-generic records. This prevents repeated archive labels from reading as separate designed sheets.",Does high-signal metadata support this target geography?
RGN-QA-008,auto_map_stratified,Aotearoa New Zealand,REG015,GEO070,SURF-DNZ1970R019,DNZ1970R019,"Untitled Illustration (Observer, 06 September 1902)",06-09-1902; 1902-09-06T00:00:00.000Z; 1902-09-06T00:00:00.000Z; 2012-04-20T19:41:02.000+12:00,pre_1930,DigitalNZ,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: Aotearoa New Zealand | sourceSubjects: natlib:online_item | title: Untitled Illustration (Observer, 06 September 1902) | sourceDescription: The source does not provide extended descriptive prose. The item metadata gives date evidence: 06-09-1902; 1902-09-06T00:00:00.000Z; …; place evidence: Aotearoa New Zealand. For th",Does high-signal metadata support this target geography?
RGN-QA-009,auto_map_stratified,United States,REG003,GEO025,SURF-SI1970R001,SI1970R001,"Trade Card of John Williams, Clothier",ca. 1830; 1820s; 1830s,pre_1930,Smithsonian Open Access,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,"placeText: USA; USA | sourceSubjects: Trade cards | title: Trade Card of John Williams, Clothier | sourceDescription: Lithograph on paper; 8.6 × 12.4 cm (3 3/8 × 4 7/8 in.); Research in Progress; A street corner with a tailor's shop; a woman and two men walk past it. On top are a drapery festoon w",Does high-signal metadata support this target geography?
RGN-QA-010,auto_map_stratified,United States,REG003,GEO025,SURF-ER1830R054,ER1830R054,Picture Posters,1896-early 1900s,pre_1930,V&A Collections API,Unresolved region,auto_map_from_unresolved,high,placeText; sourceSubjects; title; sourceDescription; sourceNotes; sourceName,placeText: USA | sourceSubjects: Posters; Books; Advertising | title: Picture Posters | sourceDescription: Lithograph with red lettering depicting a bill poster preparing a barrel with glue to post a sheet. The poster advertises a book whose full title is 'Picture Posters: A Short Histo,Does high-signal metadata support this target geography?
