query_index,macro,country,object_term,query,status,added,rows_after,rejects_delta,failures_delta,elapsed_seconds
1,Africa,South Africa,poster,South African poster,failed,0,0,0,1,0.4
2,Eastern Europe / Caucasus,Poland,poster,Polish poster,failed,0,0,0,1,0.5
3,Eastern Europe / Caucasus,Russia,poster,Soviet poster,failed,0,0,0,1,0.6
4,Southeast Asia,Indonesia,poster,Indonesian poster,completed,1,1,49,0,4.5
5,Southeast Asia,Vietnam,poster,Vietnamese poster,completed,1,2,49,0,8.2
6,Africa,South Africa,poster,South African poster 1982,completed,0,2,50,0,12.7
7,Eastern Europe / Caucasus,Poland,poster,Polish poster 1982,empty,0,2,0,0,15.3
8,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1982,completed,1,3,49,0,18.7
9,Southeast Asia,Indonesia,poster,Indonesian poster 1982,completed,0,3,50,0,22.0
10,Southeast Asia,Vietnam,poster,Vietnamese poster 1982,completed,0,3,50,0,25.6
11,Africa,South Africa,poster,South African poster 1984,failed,0,3,0,1,25.7
12,Eastern Europe / Caucasus,Poland,poster,Polish poster 1984,completed,1,4,49,0,29.4
13,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1984,empty,0,4,0,0,31.7
14,Southeast Asia,Indonesia,poster,Indonesian poster 1984,failed,0,4,0,1,31.9
15,Southeast Asia,Vietnam,poster,Vietnamese poster 1984,completed,0,4,50,0,35.5
16,Africa,South Africa,poster,South African poster 1985,failed,0,4,0,1,35.6
17,Eastern Europe / Caucasus,Poland,poster,Polish poster 1985,failed,0,4,0,1,35.7
18,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1985,completed,0,4,50,0,38.9
19,Southeast Asia,Indonesia,poster,Indonesian poster 1985,completed,1,5,49,0,42.5
20,Southeast Asia,Vietnam,poster,Vietnamese poster 1985,completed,0,5,50,0,45.6
21,Africa,South Africa,poster,South African poster 1987,completed,0,5,50,0,48.8
22,Eastern Europe / Caucasus,Poland,poster,Polish poster 1987,failed,0,5,0,1,48.9
23,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1987,completed,1,6,49,0,52.5
24,Southeast Asia,Indonesia,poster,Indonesian poster 1987,failed,0,6,0,1,52.7
25,Southeast Asia,Vietnam,poster,Vietnamese poster 1987,completed,0,6,50,0,56.4
26,Africa,South Africa,poster,South African poster 1980,completed,0,6,50,0,59.7
27,Eastern Europe / Caucasus,Poland,poster,Polish poster 1980,failed,0,6,0,1,59.8
28,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1980,failed,0,6,0,1,60.5
29,Southeast Asia,Indonesia,poster,Indonesian poster 1980,completed,0,6,50,0,64.2
30,Southeast Asia,Vietnam,poster,Vietnamese poster 1980,failed,0,6,0,1,64.3
31,Africa,South Africa,poster,South African poster 1981,completed,0,6,50,0,67.8
32,Eastern Europe / Caucasus,Poland,poster,Polish poster 1981,empty,0,6,0,0,70.1
33,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1981,failed,0,6,0,1,87.2
34,Southeast Asia,Indonesia,poster,Indonesian poster 1981,failed,0,6,0,1,94.5
35,Southeast Asia,Vietnam,poster,Vietnamese poster 1981,completed,0,6,50,0,98.4
36,Africa,South Africa,poster,South African poster 1983,completed,0,6,50,0,101.8
37,Eastern Europe / Caucasus,Poland,poster,Polish poster 1983,empty,0,6,0,0,104.1
38,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1983,failed,0,6,0,1,104.3
39,Southeast Asia,Indonesia,poster,Indonesian poster 1983,completed,0,6,50,0,108.2
40,Southeast Asia,Vietnam,poster,Vietnamese poster 1983,completed,0,6,50,0,111.9
41,Africa,South Africa,poster,South African poster 1986,completed,0,6,50,0,120.1
42,Eastern Europe / Caucasus,Poland,poster,Polish poster 1986,empty,0,6,0,0,122.9
43,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1986,completed,1,7,49,0,126.1
44,Southeast Asia,Indonesia,poster,Indonesian poster 1986,completed,0,7,50,0,129.7
45,Southeast Asia,Vietnam,poster,Vietnamese poster 1986,completed,0,7,50,0,133.4
46,Africa,South Africa,poster,South African poster 1988,failed,0,7,0,1,133.6
47,Eastern Europe / Caucasus,Poland,poster,Polish poster 1988,failed,0,7,0,1,133.7
48,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1988,failed,0,7,0,1,134.5
49,Southeast Asia,Indonesia,poster,Indonesian poster 1988,failed,0,7,0,1,140.4
50,Southeast Asia,Vietnam,poster,Vietnamese poster 1988,failed,0,7,0,1,158.1
51,Africa,South Africa,poster,South African poster 1989,completed,0,7,50,0,161.5
52,Eastern Europe / Caucasus,Poland,poster,Polish poster 1989,failed,0,7,0,1,161.7
53,Eastern Europe / Caucasus,Russia,poster,Soviet poster 1989,completed,0,7,50,0,165.4
54,Southeast Asia,Indonesia,poster,Indonesian poster 1989,completed,1,8,49,0,168.6
