input_file,capture_id,source_id,source_name,source_identifier,source_record_url,source_title,date_start,date_end,image_presence_code,decision,score,design_score,provenance_score,risk_score,source_family,positive_signals,negative_signals,reason
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R001,SRC138,Te Papa Collections Online,1403465,https://collections.tepapa.govt.nz/object/1403465,"Poster, 'Stop the Slaughter'",1970,1970,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R002,SRC138,Te Papa Collections Online,1438313,https://collections.tepapa.govt.nz/object/1438313,'Poor & Ignored' poster,1980,1980,IMG02,include_candidate,11,5,6,0,institutional_api,poster; community; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R003,SRC138,Te Papa Collections Online,897079,https://collections.tepapa.govt.nz/object/897079,"Poster, 'The 50 Guilty People'",1981,1981,IMG02,include_candidate,14,8,6,0,institutional_api,poster; posters; anti-apartheid; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R004,SRC138,Te Papa Collections Online,1393325,https://collections.tepapa.govt.nz/object/1393325,"Poster, 'No More Hiroshimas'",1983,1983,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R005,SRC138,Te Papa Collections Online,1393330,https://collections.tepapa.govt.nz/object/1393330,"Poster, 'No More Hiroshimas'",1983,1983,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R006,SRC138,Te Papa Collections Online,1392495,https://collections.tepapa.govt.nz/object/1392495,"Poster, 'Protest and Survive'",1983,1983,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R007,SRC138,Te Papa Collections Online,1431766,https://collections.tepapa.govt.nz/object/1431766,'Waitangi' poster,1984,1984,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R008,SRC138,Te Papa Collections Online,1391406,https://collections.tepapa.govt.nz/object/1391406,"Poster, ""We begin bombing in five minutes""",1984,1984,IMG00,include_candidate,11,5,6,0,institutional_api,poster; nuclear; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R009,SRC138,Te Papa Collections Online,2138713,https://collections.tepapa.govt.nz/object/2138713,JustArt Poster Exhibition flier,1985,1985,IMG02,include_candidate,14,8,6,0,institutional_api,flier; poster; exhibition; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R010,SRC138,Te Papa Collections Online,2138711,https://collections.tepapa.govt.nz/object/2138711,JustArt Poster Exhibition poster,1985,1985,IMG02,include_candidate,11,5,6,0,institutional_api,poster; exhibition; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R011,SRC138,Te Papa Collections Online,2138715,https://collections.tepapa.govt.nz/object/2138715,JustArt poster,1985,1985,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R012,SRC138,Te Papa Collections Online,1405811,https://collections.tepapa.govt.nz/object/1405811,"Poster, 'June 28 No Tour Friday'",1985,1985,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R013,SRC138,Te Papa Collections Online,1431601,https://collections.tepapa.govt.nz/object/1431601,"'Gay Men, Lesbians & Friends' poster",1986,1986,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R014,SRC138,Te Papa Collections Online,1404724,https://collections.tepapa.govt.nz/object/1404724,'I Want You' poster,1987,1987,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R015,SRC138,Te Papa Collections Online,1404721,https://collections.tepapa.govt.nz/object/1404721,"Poster, 'No Spy Waihopai'",1987,1987,IMG02,include_candidate,10,4,6,0,institutional_api,poster; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R016,SRC138,Te Papa Collections Online,1392633,https://collections.tepapa.govt.nz/object/1392633,"Poster, 'Frigates!!'",1988,1988,IMG02,include_candidate,11,5,6,0,institutional_api,poster; campaign; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
capture_batch_late_period_coverage_1970_2026_records.csv,LPC2026R017,SRC138,Te Papa Collections Online,1392620,https://collections.tepapa.govt.nz/object/1392620,"Poster, 'Frigates'",1988,1988,IMG02,include_candidate,11,5,6,0,institutional_api,poster; campaign; protest; collections; museum; object; record,,has graphic-design object language and sufficient source/provenance signal
