capture_id,source_id,source_name,source_identifier,source_record_url,source_title,macro_region,country_or_region,image_presence_code,image_url_detected,quality_score,design_signal_score,design_signal_terms,authority_score,authority_tier,authority_terms,text_evidence_chars,risk_flags,surface_readiness,recommended_action,rights_boundary
NMIIC2026R0001,NMSS2026R0105,Botswana Craft,Q111916004,https://botswanacraft.com/,Botswanacraft Marketing,Africa,Botswana,IMG02,https://img1.wsimg.com/isteam/ip/ed2191e3-85ed-4eaa-b8ad-c97407a3001c/Botswanacraft-Baskets-Website-Smaller.jpg,5,0,,3,museum,craft; museum,612,generic_non_design_source; missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0002,NMSS2026R0572,Gallery MOMO,Q20981565,https://www.gallerymomo.com/,Gallery MOMO,Africa,South Africa,IMG02,https://www.gallerymomo.com/images/gm_web.svg?_wwcv=178,6,0,,3,museum,gallery; museum,463,missing_design_signal,manual_review_before_surface,institutional source; needs object-level design relevance check,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0003,NMSS2026R0573,Goodman Gallery,Q113331557,https://goodman-gallery.com/,Goodman Gallery,Africa,South Africa,IMG02,https://cdn.sanity.io/images/y2e3mw7a/production/15b26b7b65baa4d8968d71442aeb4b87e73acdba-1200x630.jpg?w=1200&h=630&fm=jpg&fit=crop,5,0,,1,gallery,gallery,677,missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0004,NMSS2026R0510,Centre For Black And African Arts And Civilization,Q111851020,https://pakisultra.org/,Agen Judi Bola Sbobet Resmi : Link SBOBET Mobile - Taruhan Judi Bola Online Resmi - Sbobet88,Africa,Nigeria,IMG02,https://pakisultra.org/img/agen-sbobet.webp,2,0,,3,museum,museum,861,spam_or_seo_pollution; missing_design_signal,quarantine_not_counted,exclude until source is replaced or manually repaired,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0005,NMSS2026R0474,فضاء الذاكرة التاريخية للمقاومة والتحرير أمير الأطلس,Q121540294,https://www.facebook.com/fadae.azrou/?_rdc=2&_rdr,فضاء الذاكرة التاريخية بأزرو | Azrou,Africa,Morocco,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/307994909_465594355598743_1112926923102044400_n.jpg?stp=dst-jpg_tt6&cstp=mx1500x1000&ctp=s960x960&_nc_cat=107&ccb=1-7&_nc_sid=3ab345&_nc_ohc=hunvuyZY0NgQ7kNvwEc_s0y&_nc_oc=AdoP3ZR5WsSjniKsFadZBExxgYf2aF7eEHwHEphaSnocYG2dgstY3QchUk1gFRBwbSY&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=0zuztHAPMQuZVZlNE32I0w&_nc_ss=7b20f&oh=00_Af_Zio8QTVIW9tUfiZ0uql3xdc-NUO7AbS0dH5quZiZkCg&oe=6A28B1B0,7,0,,3,museum,museum,726,missing_design_signal,manual_review_before_surface,institutional source; needs object-level design relevance check,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0006,NMSS2026R0472,المركز الثقافي أزرو,Q121541457,https://www.facebook.com/centreculturelazrou01/?locale=ar_AR&_rdc=2&_rdr,المركز الثقافي لآزرو -Centre Culturel d'Azrou- | Azrou,Africa,Morocco,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/308933152_456800586484050_982976552022179712_n.jpg?stp=dst-jpg_tt6&cstp=mx462x581&ctp=s462x581&_nc_cat=100&ccb=1-7&_nc_sid=3ab345&_nc_ohc=cSEg9u_3TEUQ7kNvwEk9bUA&_nc_oc=AdrDaSoGO-biDElalMlEFeAVmj8DHVp61wR-pbCVuNc56P0moGyVDi8a365JCf-5FBI&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=iFvnf3qBYtkAClp4hyXa2A&_nc_ss=7b20f&oh=00_Af9_hubPxis2M_-G0T7EiK3o3sH6hDhD1bgXpVNJqa-dLg&oe=6A28A922,7,0,,3,museum,museum,747,missing_design_signal,manual_review_before_surface,institutional source; needs object-level design relevance check,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0007,NMSS2026R0195,Q122764551,Q122764551,https://parajanovmuseum.am/hy/,Սերգեյ Փարաջանովի կյանքն ու ստեղծագործությունները,Eastern Europe,Caucasus,IMG02,https://api.parajanovmuseum.am/storage/media/d8aa70a1e8917b88e121777f48a5c03e-1.jpg,3,0,,3,museum,museum,734,qid_as_source_name; overbroad_country_or_region; missing_design_signal,manual_review_before_surface,institutional source; needs object-level design relevance check,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0008,NMSS2026R0181,National Library of the Kyrgyz Republic,Q6974182,http://nlkr.gov.kg,Национальная Библиотека Кыргызской Республики имени Алыкула Осмонова,Central Asia,Kyrgyzstan,IMG02,http://nlkr.gov.kg/wp-content/uploads/2018/09/main_about.jpg,8,0,,4,national_library,library; national library,899,missing_design_signal,manual_review_before_surface,institutional source; needs object-level design relevance check,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0009,NMSS2026R0394,"""Branko Ćopić"" National Library in Brod",Q31184358,https://www.facebook.com/people/JU-Narodna-biblioteka-Branko-Copic-Brod/100064855540722/?sk=about,JU Narodna biblioteka Branko Copic Brod,Eastern Europe,Caucasus,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/301506453_452238770281304_2508677622665147487_n.jpg?stp=dst-jpg_tt6&cstp=mx1537x2048&ctp=s960x960&_nc_cat=103&ccb=1-7&_nc_sid=3ab345&_nc_ohc=nuAbxskgpWkQ7kNvwFRU4Ue&_nc_oc=Adp1rvOsd0EvgdHCNJgnafrJXImA9t-sJvj-uu0pXox9vh3caekfWrMG9LDB28KW_oY&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=GSgEamn1agLX9LKxbCIX4g&_nc_ss=7b20f&oh=00_Af-lxTbCFI70zs4zeLp91-_D-8ak1prYJrx31O8EPRrCjw&oe=6A28A857,6,0,,4,national_library,library; national library,825,overbroad_country_or_region; missing_design_signal,manual_review_before_surface,institutional source; needs object-level design relevance check,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0010,NMSS2026R0399,"""Dr. Ljubo Mihić"" National Library in Ljubinje",Q61123460,https://sr-rs.facebook.com/people/%D0%88%D0%A3-%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0-%D0%B1%D0%B8%D0%B1%D0%BB%D0%B8%D0%BE%D1%82%D0%B5%D0%BA%D0%B0-%D0%94%D1%80-%D0%89%D1%83%D0%B1%D0%BE-%D0%9C%D0%B8%D1%85%D0%B8%D1%9B-%D0%89%D1%83%D0%B1%D0%B8%D1%9A%D0%B5/100069820601928/,"ЈУ Народна библиотека ,, Др Љубо Михић'' Љубиње | Ljubinje",Eastern Europe,Caucasus,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/324898085_3494248967528391_5626634399049785389_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x1439&ctp=s720x720&_nc_cat=100&ccb=1-7&_nc_sid=3ab345&_nc_ohc=jZiqRV3CavAQ7kNvwEgN7AG&_nc_oc=AdrKDunnZ-2F-O2eROJyjytZjKdFe5bj6vkYBuvsWyoMQYSrJO6hOw6mwcsTSzGmCNc&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=HXbNCFxR3C7Sh1gL76G8Jg&_nc_ss=7b20f&oh=00_Af9u9lJZfMGHWM3wAPOq0qkHQcSse96cXfJA5GNugutgRQ&oe=6A28A7EA,6,0,,4,national_library,library; national library,1060,overbroad_country_or_region; missing_design_signal,manual_review_before_surface,institutional source; needs object-level design relevance check,IMG02 only; no image download; no IMG01/IMG03 upgrade
