metric,value,note
scope_years,2005-2025,Object-year audit range.
records_in_scope,4838,Object-dated and span/profile records with record year in scope.
unique_high_confidence_studio_keys,3,Unique studio keys among high-confidence studio work candidates.
unique_manual_review_studio_keys,26,Unique studio keys among manual-review studio candidates.
bucket:design_object_no_studio_signal,3102,Quality bucket count.
bucket:card_or_appendix_recent_commemorative_stamp_review,1578,Quality bucket count.
bucket:card_only_event_or_memory_material,65,Quality bucket count.
bucket:recent_object_manual_review,49,Quality bucket count.
bucket:independent_studio_manual_review,38,Quality bucket count.
bucket:independent_studio_work_candidate_high,6,Quality bucket count.
year:2005,96,Records by object year after current date parsing.
year:2006,101,Records by object year after current date parsing.
year:2007,127,Records by object year after current date parsing.
year:2008,171,Records by object year after current date parsing.
year:2009,126,Records by object year after current date parsing.
year:2010,186,Records by object year after current date parsing.
year:2011,377,Records by object year after current date parsing.
year:2012,273,Records by object year after current date parsing.
year:2013,516,Records by object year after current date parsing.
year:2014,414,Records by object year after current date parsing.
year:2015,192,Records by object year after current date parsing.
year:2016,220,Records by object year after current date parsing.
year:2017,253,Records by object year after current date parsing.
year:2018,226,Records by object year after current date parsing.
year:2019,190,Records by object year after current date parsing.
year:2020,249,Records by object year after current date parsing.
year:2021,232,Records by object year after current date parsing.
year:2022,233,Records by object year after current date parsing.
year:2023,260,Records by object year after current date parsing.
year:2024,166,Records by object year after current date parsing.
year:2025,230,Records by object year after current date parsing.
top_source:DigitalNZ,54,Top source concentration in 2005-2025 scope.
top_source:Internet Archive / text and periodical collections,46,Top source concentration in 2005-2025 scope.
top_source:NAIDOC Poster Gallery,18,Top source concentration in 2005-2025 scope.
top_source:Wikimedia Commons,15,Top source concentration in 2005-2025 scope.
top_source:Malaysia Design Archive,11,Top source concentration in 2005-2025 scope.
top_source:Another Graphic,10,Top source concentration in 2005-2025 scope.
top_source:Asian Film Archive,6,Top source concentration in 2005-2025 scope.
top_source:University of Cape Town Digital Collections,6,Top source concentration in 2005-2025 scope.
top_source:Malaysian Design Archive,5,Top source concentration in 2005-2025 scope.
top_source:Auckland Libraries Heritage Collections / CONTENTdm,5,Top source concentration in 2005-2025 scope.
top_source:Desain Grafis Indonesia,4,Top source concentration in 2005-2025 scope.
top_source:Georgia State University Library Digital Collections / CONTENTdm,4,Top source concentration in 2005-2025 scope.
top_source:Barjeel Art Foundation,4,Top source concentration in 2005-2025 scope.
top_source:Indian Memory Project,4,Top source concentration in 2005-2025 scope.
top_source:University of Ghana Digital Collections,4,Top source concentration in 2005-2025 scope.
top_domain:commons.wikimedia.org,4627,Top source domain concentration in 2005-2025 scope.
top_domain:archive.org,46,Top source domain concentration in 2005-2025 scope.
top_domain:teara.govt.nz,20,Top source domain concentration in 2005-2025 scope.
top_domain:naidoc.org.au,18,Top source domain concentration in 2005-2025 scope.
top_domain:search.malaysiadesignarchive.org,16,Top source domain concentration in 2005-2025 scope.
top_domain:canterburystories.nz,14,Top source domain concentration in 2005-2025 scope.
top_domain:timdc.pastperfectonline.com,10,Top source domain concentration in 2005-2025 scope.
top_domain:anothergraphic.org,10,Top source domain concentration in 2005-2025 scope.
top_domain:asianfilmarchive.org,6,Top source domain concentration in 2005-2025 scope.
top_domain:ibali.uct.ac.za,6,Top source domain concentration in 2005-2025 scope.
top_domain:kura.aucklandlibraries.govt.nz,5,Top source domain concentration in 2005-2025 scope.
top_domain:dgi.or.id,4,Top source domain concentration in 2005-2025 scope.
top_domain:digitalcollections.library.gsu.edu,4,Top source domain concentration in 2005-2025 scope.
top_domain:barjeelartfoundation.org,4,Top source domain concentration in 2005-2025 scope.
top_domain:indianmemoryproject.com,4,Top source domain concentration in 2005-2025 scope.
concentration_review_rows,4,Sources/domains/studios exceeding review thresholds.
