queue_id,candidate_id,source_name,macro_region,subregion,country_or_region,source_url,protocol_lane,adapter_type,queue_priority,queue_status,candidate_priority,probe_status,capture_priority_next,rights_risk,next_action,do_not_capture_images,rights_review_gate,notes
AQV2-001,CSS0028,DesignSingapore Council,Southeast Asia,Singapore,Singapore,https://designsingapore.org/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-002,CSS0059,Biblioteca Nacional Digital Brasil,Latin America,Brazil,Brazil,https://bndigital.bn.gov.br/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-003,CSS0096,Musashino Art University Museum and Library,East Asia,Japan / Korea,Japan,https://mauml.musabi.ac.jp/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
AQV2-004,CSS0095,National Museum of Modern Art Tokyo,East Asia,Japan / Korea,Japan,https://www.momat.go.jp/en/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
AQV2-005,CSS0140,Russian State Library,Eastern Europe / Central Asia,Libraries / poster archives,Russia,https://www.rsl.ru/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
AQV2-006,CSS0142,Soviet Posters,Eastern Europe / Central Asia,Libraries / poster archives,Russia / Soviet,https://www.sovietposters.com/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
AQV2-007,CSS0006,BP&O,Global,Independent web,United Kingdom / transnational,https://bpando.org/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-008,CSS0068,HathiTrust Digital Library,Global,Transregional,Global,https://www.hathitrust.org/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
AQV2-009,CSS0071,OpenBibArt,Global,Transregional,Global,https://openbibart.fr/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; broad source discovery for references and non-Western collection leads"
AQV2-010,CSS0004,Slanted,Global,Independent web,Germany / transnational,https://www.slanted.de/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
AQV2-011,CSS0010,Letterform Archive Blog,North America,Independent archive,United States,https://letterformarchive.org/news/,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,P1A_protocol_adapter,ready,P1,ok,P1 adapter build,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",true,item_level_rights_required_before_IMG01_or_IMG03,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
