edge_id,tree_id,branch_id,subject_node_id,object_node_id,edge_label,evidence_url,evidence_text,evidence_field,confidence,review_state,prohibited_inference_check
TRE-1358454C6E175227,TRTREE048,TRB166,TRN-OBJ-D519432F7CF00A20,TRN-SRC-D519432F7CF00A20,documented_by,https://www.artic.edu/artworks/3029,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-A7E408DE7AD64161,TRTREE048,TRB166,TRN-OBJ-D519432F7CF00A20,TRN-PLACE-41937B20FBE8C71D,associated_with_place,https://www.artic.edu/artworks/3029,place_of_origin=Mexico,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-E3746D1952904E87,TRTREE048,TRB166,TRN-OBJ-D519432F7CF00A20,TRN-YEAR-0ADF295D5CC6266A,dated,https://www.artic.edu/artworks/3029,date_start=date_end=1939,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-F8EB106A59726A09,TRTREE048,TRB166,TRN-OBJ-E896BDFD57BE225F,TRN-SRC-E896BDFD57BE225F,documented_by,https://www.artic.edu/artworks/97430,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-4D6AA3D4405CCD4C,TRTREE048,TRB166,TRN-OBJ-E896BDFD57BE225F,TRN-PLACE-41937B20FBE8C71D,associated_with_place,https://www.artic.edu/artworks/97430,place_of_origin=Mexico,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-DA33FBE9FA148DED,TRTREE048,TRB166,TRN-OBJ-E896BDFD57BE225F,TRN-YEAR-FFB07FB122F579B3,dated,https://www.artic.edu/artworks/97430,date_start=date_end=1928,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-71BB12738BB28458,TRTREE048,TRB166,TRN-OBJ-179438ADB2D0149B,TRN-SRC-179438ADB2D0149B,documented_by,https://www.artic.edu/artworks/63465,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-046B49E912892E9F,TRTREE048,TRB166,TRN-OBJ-179438ADB2D0149B,TRN-PLACE-41937B20FBE8C71D,associated_with_place,https://www.artic.edu/artworks/63465,place_of_origin=Mexico,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-1DFC68A8E71236E5,TRTREE048,TRB166,TRN-OBJ-179438ADB2D0149B,TRN-YEAR-BA801E780B399D63,dated,https://www.artic.edu/artworks/63465,date_start=date_end=1934,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-F695BBA71BC0DA4D,TRTREE048,TRB166,TRN-OBJ-87196707B8A620EF,TRN-SRC-87196707B8A620EF,documented_by,https://www.artic.edu/artworks/49617,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-713760534F23F3CF,TRTREE048,TRB166,TRN-OBJ-87196707B8A620EF,TRN-PLACE-41937B20FBE8C71D,associated_with_place,https://www.artic.edu/artworks/49617,place_of_origin=Mexico,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-E6B23E84EF730575,TRTREE048,TRB166,TRN-OBJ-87196707B8A620EF,TRN-YEAR-FFB07FB122F579B3,dated,https://www.artic.edu/artworks/49617,date_start=date_end=1928,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-F7AA555CC52B0D13,TRTREE048,TRB166,TRN-OBJ-62AB17051171198D,TRN-SRC-62AB17051171198D,documented_by,https://www.artic.edu/artworks/39297,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-EEFEF98E12D19371,TRTREE048,TRB166,TRN-OBJ-62AB17051171198D,TRN-PLACE-5FF03B7273B1808E,associated_with_place,https://www.artic.edu/artworks/39297,place_of_origin=Poland,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-1B673E2A71CA2934,TRTREE048,TRB166,TRN-OBJ-62AB17051171198D,TRN-YEAR-72A9500430E3B5BD,dated,https://www.artic.edu/artworks/39297,date_start=date_end=1968,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-062EB9A7717F1735,TRTREE048,TRB166,TRN-OBJ-8E13E5C4A53217DD,TRN-SRC-8E13E5C4A53217DD,documented_by,https://www.artic.edu/artworks/38749,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-E733D6AFD02F4403,TRTREE048,TRB166,TRN-OBJ-8E13E5C4A53217DD,TRN-PLACE-5FF03B7273B1808E,associated_with_place,https://www.artic.edu/artworks/38749,place_of_origin=Poland,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-9F29D6DD23877F07,TRTREE048,TRB166,TRN-OBJ-8E13E5C4A53217DD,TRN-YEAR-8336E40EA16B97A9,dated,https://www.artic.edu/artworks/38749,date_start=date_end=1971,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-A4ABEB1790B37ECE,TRTREE048,TRB166,TRN-OBJ-662EA9EA387544EF,TRN-SRC-662EA9EA387544EF,documented_by,https://www.artic.edu/artworks/130942,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-09EE33184DCD7663,TRTREE048,TRB166,TRN-OBJ-662EA9EA387544EF,TRN-PLACE-41937B20FBE8C71D,associated_with_place,https://www.artic.edu/artworks/130942,place_of_origin=Mexico,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-42769028983ED03A,TRTREE048,TRB166,TRN-OBJ-662EA9EA387544EF,TRN-YEAR-0ADF295D5CC6266A,dated,https://www.artic.edu/artworks/130942,date_start=date_end=1939,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-D8E36835C249EA67,TRTREE048,TRB166,TRN-OBJ-E9FB120521D6BC9A,TRN-SRC-E9FB120521D6BC9A,documented_by,https://www.artic.edu/artworks/15549,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-722CFAEF5C06B12E,TRTREE048,TRB166,TRN-OBJ-E9FB120521D6BC9A,TRN-PLACE-FB61C8A8EBA24117,associated_with_place,https://www.artic.edu/artworks/15549,place_of_origin=Netherlands,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-2B79766F1ADDD993,TRTREE048,TRB166,TRN-OBJ-E9FB120521D6BC9A,TRN-YEAR-59C9A17E0A17FA76,dated,https://www.artic.edu/artworks/15549,date_start=date_end=1951,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-F5B9190864BADF0D,TRTREE048,TRB166,TRN-OBJ-76482FF99EF36A7A,TRN-SRC-76482FF99EF36A7A,documented_by,https://www.artic.edu/artworks/242518,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-B5734905EB13C98D,TRTREE048,TRB166,TRN-OBJ-76482FF99EF36A7A,TRN-PLACE-889224E3FCA24A6A,associated_with_place,https://www.artic.edu/artworks/242518,place_of_origin=Iran,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-AD05068DA4C8C353,TRTREE048,TRB166,TRN-OBJ-76482FF99EF36A7A,TRN-YEAR-D08B10A32612F9D3,dated,https://www.artic.edu/artworks/242518,date_start=date_end=2013,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-B111EDF9F0F93474,TRTREE048,TRB166,TRN-OBJ-4B3A07B2D52A2F85,TRN-SRC-4B3A07B2D52A2F85,documented_by,https://www.artic.edu/artworks/154291,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-DFE99339119F0F79,TRTREE048,TRB166,TRN-OBJ-4B3A07B2D52A2F85,TRN-PLACE-37497AA5A2272C49,associated_with_place,https://www.artic.edu/artworks/154291,place_of_origin=Brazil,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-3890953763CC20E4,TRTREE048,TRB166,TRN-OBJ-4B3A07B2D52A2F85,TRN-YEAR-2CFE534AA66900E8,dated,https://www.artic.edu/artworks/154291,date_start=date_end=1997,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-ED8707B27FD261A8,TRTREE048,TRB166,TRN-OBJ-FABDA08DD807E6CA,TRN-SRC-FABDA08DD807E6CA,documented_by,https://www.artic.edu/artworks/154279,Official AIC object record,source_record,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-EAB18CB4875D516C,TRTREE048,TRB166,TRN-OBJ-FABDA08DD807E6CA,TRN-PLACE-37497AA5A2272C49,associated_with_place,https://www.artic.edu/artworks/154279,place_of_origin=Brazil,place_of_origin,high,accepted_auxiliary,pass:no_historical_influence_inferred
TRE-119722116C815AD3,TRTREE048,TRB166,TRN-OBJ-FABDA08DD807E6CA,TRN-YEAR-FBC7843ACD866F53,dated,https://www.artic.edu/artworks/154279,date_start=date_end=1999,date_start/date_end,high,accepted_auxiliary,pass:no_historical_influence_inferred
