metric,value,count,notes
candidate_sources_from_wikidata,all,1830,New candidate official source sites after existing-source dedupe.
successful_new_sources_available,all,1022,Official source URLs that returned successful source metadata.
successful_new_sources_selected,all,1000,Balanced non-mainstream source successes written to the registry.
macro_region_distribution,Latin America / Caribbean,796,Selected successful source registry rows.
macro_region_distribution,Southeast Asia,83,Selected successful source registry rows.
macro_region_distribution,Africa,62,Selected successful source registry rows.
macro_region_distribution,Central Asia,20,Selected successful source registry rows.
macro_region_distribution,Eastern Europe / Caucasus,17,Selected successful source registry rows.
macro_region_distribution,MENA,12,Selected successful source registry rows.
macro_region_distribution,South Asia,9,Selected successful source registry rows.
macro_region_distribution,Oceania / Indigenous,1,Selected successful source registry rows.
source_class_distribution,museum,529,Selected successful source registry rows.
source_class_distribution,library,370,Selected successful source registry rows.
source_class_distribution,cultural center,63,Selected successful source registry rows.
source_class_distribution,archives,26,Selected successful source registry rows.
source_class_distribution,art gallery,11,Selected successful source registry rows.
source_class_distribution,art museum,1,Selected successful source registry rows.
protocol_distribution,(none detected),360,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST,123,Detected protocol hints only; not rights clearance.
protocol_distribution,Static JS App,54,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST,51,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom,44,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;Static JS App,39,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;PDF,36,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD,35,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD,34,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD,29,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;PDF,25,Detected protocol hints only; not rights clearance.
protocol_distribution,PDF,24,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF,20,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;Static JS App,15,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;Static JS App,14,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;PDF,10,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST,9,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,7,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;Static JS App,7,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;PDF,7,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD;WordPress REST,5,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;PDF,4,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;WordPress REST,4,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;Static JS App,4,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST;PDF,4,Detected protocol hints only; not rights clearance.
protocol_distribution,Static JS App;PDF,3,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;PDF,3,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;WordPress REST,3,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST;Static JS App,2,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom,2,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;RSS/Atom;WordPress REST,2,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;Static JS App;PDF,2,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD;Static JS App,2,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace,2,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;WordPress REST;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,Omeka;OAI-PMH;RSS/Atom,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;Static JS App;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;RSS/Atom,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;WordPress REST,1,Detected protocol hints only; not rights clearance.
protocol_distribution,Omeka;RSS/Atom;JSON-LD,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;DSpace;RSS/Atom,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD;WordPress REST;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;WordPress REST;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;WordPress REST;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;DSpace;RSS/Atom;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,Omeka,1,Detected protocol hints only; not rights clearance.
next_item_capture_priority,P1 item/source adapter,435,Internal triage for later item/image capture.
next_item_capture_priority,P2 source enrichment,236,Internal triage for later item/image capture.
next_item_capture_priority,P1 manual item capture,205,Internal triage for later item/image capture.
next_item_capture_priority,P0 item/image adapter,124,Internal triage for later item/image capture.
