metric,value
input_ready_rows,88
hardened_ready_after_sample,8
quarantine_manual_review,80
status_quarantine_manual_review,80
status_hardened_ready_after_sample,8
blocking_suggested_absent_from_title_source_url,70
blocking_current_label_present_in_title_source_url,38
blocking_stamp_issuer_conflicts_with_suggested_label,6
blocking_other_country_present_in_title_source_url,3
blocking_new_mexico_subnational_ambiguity,3
advisory_commons_metadata_sample_required,84
advisory_pre_1992_sample_required,73
advisory_missing_year,2
advisory_multi_country_context,1
