surface_id,local_record_file,local_capture_id,source_record_id,source_record_url,current_image_presence_code,planned_image_presence_code,current_image_url_detected,planned_image_url_detected,current_rights_basis,planned_rights_basis,required_column_check,record_status,apply_status,notes
SURF-ER1830R011,data/capture_batch_early_region_1830_1880_records.csv,ER1830R012,2008677258,https://www.loc.gov/pictures/item/2008677258/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/ppmsca/18400/18408_150px.jpg,https://cdn.loc.gov/service/pnp/ppmsca/18400/18408r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/2008677258/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
SURF-ER1830R015,data/capture_batch_early_region_1830_1880_records.csv,ER1830R017,99614267,https://www.loc.gov/pictures/item/99614267/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/cph/3b30000/3b32000/3b32400/3b32445_150px.jpg,https://cdn.loc.gov/service/pnp/cph/3b30000/3b32000/3b32400/3b32445r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/99614267/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
SURF-ER1830R025,data/capture_batch_early_region_1830_1930_records.csv,ER1830R025,2015651603,https://www.loc.gov/pictures/item/2015651603/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/ppmsca/39600/39618_150px.jpg,https://cdn.loc.gov/service/pnp/ppmsca/39600/39618r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/2015651603/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
SURF-ER1830R026,data/capture_batch_early_region_1830_1930_records.csv,ER1830R026,2004666589,https://www.loc.gov/pictures/item/2004666589/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/ppmsca/04800/04806_150px.jpg,https://cdn.loc.gov/service/pnp/ppmsca/04800/04806r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/2004666589/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
SURF-ER1830R030,data/capture_batch_early_region_1830_1930_records.csv,ER1830R030,2015651602,https://www.loc.gov/pictures/item/2015651602/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/ppmsca/39600/39617_150px.jpg,https://cdn.loc.gov/service/pnp/ppmsca/39600/39617r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/2015651602/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
SURF-ER1830R070,data/capture_batch_early_region_1830_1930_records.csv,ER1830R070,2017670771,https://www.loc.gov/pictures/item/2017670771/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/anrc/04900/04903_150px.jpg,https://cdn.loc.gov/service/pnp/anrc/04900/04903r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/2017670771/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
SURF-ER1830R077,data/capture_batch_early_region_1830_1930_records.csv,ER1830R077,2018750887,https://www.loc.gov/pictures/item/2018750887/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/gsc/5a00000/5a00400/5a00443_150px.jpg,https://tile.loc.gov/storage-services/service/pnp/gsc/5a00000/5a00400/5a00443r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/2018750887/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
SURF-MC1930R010,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R010,2011645389,https://www.loc.gov/pictures/item/2011645389/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/ppmsca/31200/31264_150px.jpg,https://cdn.loc.gov/service/pnp/ppmsca/31200/31264r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/2011645389/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
SURF-MC1930R011,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R011,98513179,https://www.loc.gov/pictures/item/98513179/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05285_150px.jpg,https://cdn.loc.gov/service/pnp/cph/3f00000/3f05000/3f05200/3f05285r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/98513179/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
SURF-MC1930R012,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R012,98510115,https://www.loc.gov/pictures/item/98510115/,IMG01,IMG03,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48800/3b48887_150px.jpg,https://cdn.loc.gov/service/pnp/cph/3b40000/3b48000/3b48800/3b48887r.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Library of Congress item metadata exposes an item-level no-known-restrictions advisory and a source-hosted image URL; source record retained for traceability: https://www.loc.gov/pictures/item/98510115/,ok,ready_for_apply,applied,Default dry-run. --apply writes capture CSVs but still requires a rebuild before public metrics change.
