metric,value,notes
scope,non_mutating_calibration,"No rebuild, no role override, no image download, no rights/image-state change."
calibration_rows,500,Rows reviewed from full-role calibration sample.
sandbox_candidate_rows,135,Preview-only rows accepted for a later sandbox override test.
calibration_status:accepted_for_method,212,Calibration status distribution.
calibration_status:accepted_for_preview,135,Calibration status distribution.
calibration_status:revise_rule,108,Calibration status distribution.
calibration_status:hold_for_manual,45,Calibration status distribution.
calibration_confidence:medium,251,Calibration confidence distribution.
calibration_confidence:high,128,Calibration confidence distribution.
calibration_confidence:low,121,Calibration confidence distribution.
recommended_next_action:downgrade_to_card_candidate,126,Original recommended action distribution.
recommended_next_action:manual_review,121,Original recommended action distribution.
recommended_next_action:keep_main_anchor,111,Original recommended action distribution.
recommended_next_action:keep_main_add_text,88,Original recommended action distribution.
recommended_next_action:downgrade_to_sub_candidate,53,Original recommended action distribution.
recommended_next_action:convert_to_text_or_appendix,1,Original recommended action distribution.
calibrated_action:manual_review,188,Calibrated action distribution.
calibrated_action:downgrade_to_card_candidate,126,Calibrated action distribution.
calibrated_action:keep_main_anchor,88,Calibrated action distribution.
calibrated_action:downgrade_to_sub_candidate,53,Calibrated action distribution.
calibrated_action:packet_anchor_review,29,Calibrated action distribution.
calibrated_action:keep_main_add_text,15,Calibrated action distribution.
calibrated_action:convert_to_text_or_appendix,1,Calibrated action distribution.
role_family:manual_hold,188,Calibrated role family distribution.
role_family:card_context,126,Calibrated role family distribution.
role_family:main_anchor,88,Calibrated role family distribution.
role_family:sub_under_packet,53,Calibrated role family distribution.
role_family:packet_relation_review,29,Calibrated role family distribution.
role_family:main_anchor_needs_text,15,Calibrated role family distribution.
role_family:text_or_appendix,1,Calibrated role family distribution.
source_family:Wikimedia Commons,430,Source-family distribution.
source_family:DigitalNZ,10,Source-family distribution.
source_family:Wellcome Collection,8,Source-family distribution.
source_family:Te Papa,7,Source-family distribution.
source_family:Internet Archive,7,Source-family distribution.
source_family:Another Graphic,4,Source-family distribution.
source_family:Georgia State CONTENTdm,4,Source-family distribution.
source_family:Gallica / BnF APIs,3,Source-family distribution.
source_family:V&A Collections API,3,Source-family distribution.
source_family:Library of Congress,2,Source-family distribution.
source_family:Barjeel Art Foundation,2,Source-family distribution.
source_family:Indian Memory Project,2,Source-family distribution.
source_family:Malaysia Design Archive,2,Source-family distribution.
source_family:University of Miami Libraries Digital Collections / CONTENTdm,2,Source-family distribution.
source_family:Auckland Libraries Heritage Collections / CONTENTdm,2,Source-family distribution.
source_family:NAIDOC Poster Gallery,2,Source-family distribution.
source_family:Smithsonian,1,Source-family distribution.
source_family:Chinese Posters,1,Source-family distribution.
source_family:Los Angeles Public Library Tessa / CONTENTdm,1,Source-family distribution.
source_family:African Digital Heritage,1,Source-family distribution.
source_family:GALA Queer Archive,1,Source-family distribution.
source_family:Letterform Archive,1,Source-family distribution.
source_family:Princeton Figgy,1,Source-family distribution.
source_family:SMU Libraries Digital Collections / CONTENTdm,1,Source-family distribution.
source_family:Temple University Libraries Digital Collections / CONTENTdm,1,Source-family distribution.
source_family:University of Cape Town Digital Collections,1,Source-family distribution.
period_band:1930_1970,142,Period distribution.
period_band:2000_2026,140,Period distribution.
period_band:1970_2000,115,Period distribution.
period_band:pre_1930,103,Period distribution.
region:Oceania and Pacific,38,Region distribution.
region:North America,29,Region distribution.
region:Global / transnational,23,Region distribution.
region:Western and Central Europe,23,Region distribution.
region:East Asia,22,Region distribution.
region:Middle East and North Africa,22,Region distribution.
region:Africa,21,Region distribution.
"region:Eastern Europe, Balkans, and Central/Eastern socialist contexts",21,Region distribution.
region:Southeast Asia,21,Region distribution.
region:Latin America and the Caribbean,20,Region distribution.
region:South Asia,20,Region distribution.
region:Serbia,14,Region distribution.
region:Democratic Republic of the Congo,13,Region distribution.
region:Bosnia and Herzegovina,12,Region distribution.
region:Syria,12,Region distribution.
region:Unresolved region,10,Region distribution.
region:Angola,9,Region distribution.
region:Jordan,9,Region distribution.
region:Albania,8,Region distribution.
region:Croatia,8,Region distribution.
region:Papua New Guinea,8,Region distribution.
region:Solomon Islands,8,Region distribution.
region:Tunisia,8,Region distribution.
region:Yemen,8,Region distribution.
region:United Arab Emirates,7,Region distribution.
region:Laos,6,Region distribution.
region:Madagascar,6,Region distribution.
region:Cameroon,5,Region distribution.
region:Latvia,5,Region distribution.
region:Lithuania,5,Region distribution.
sandbox_candidate_role:card_context,126,Preview-only sandbox candidate role distribution.
sandbox_candidate_role:sub_under_packet,8,Preview-only sandbox candidate role distribution.
sandbox_candidate_role:text_or_appendix,1,Preview-only sandbox candidate role distribution.
