queue_id,cell_id,cell_name,cell_type,priority,reason,recommended_query,recommended_sources,required_img_states,minimum_next_capture_count
NGQ001,C01,Bauhaus / 1919 founding,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,Bauhaus / 1919 founding,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ002,C03,IBM corporate design,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,IBM corporate design,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ003,C05,Brigadas Ramona Parra,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,Brigadas Ramona Parra,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ004,C06,World Design Conference 1960 / NDC,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,World Design Conference 1960 / NDC,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ005,C07,Shanghai Sketch / yuefenpai,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,Shanghai Sketch / yuefenpai,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ006,C08,Minjung / Kwangju poster,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,Minjung / Kwangju poster,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ007,C09,Singapore multilingual poster/logotype,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,Singapore multilingual poster/logotype,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ008,C10,NID development communication,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,NID development communication,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ009,C11,Iranian modern poster design,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,Iranian modern poster design,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ010,C13,NAIDOC / land-rights posters,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,NAIDOC / land-rights posters,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ011,C15,Early web / CSS / GeoCities,existing_scope_cell,high,Existing scope cell received no candidates in this capture pass.,Early web / CSS / GeoCities,Use source registry and Deep Research source redundancy candidates.,IMG00; IMG01; IMG02; IMG03; IMG04,3
NGQ012,PC01,Art Nouveau and Belle Epoque poster culture,proposed_new_cell,review,Captured rows suggest a new cell or expanded scope.,Mucha OR Toulouse-Lautrec OR La Plume OR Moulin Rouge poster,AIC; Cleveland; V&A; Gallica; Europeana,IMG00; IMG01; IMG02; IMG03; IMG04,5
NGQ013,PC02,World War public-information and propaganda posters,proposed_new_cell,review,Captured rows suggest a new cell or expanded scope.,war poster OR liberty loan OR civilian defense OR enemy poster,LOC; AIC; NARA; Imperial War Museums; Europeana,IMG00; IMG01; IMG02; IMG03; IMG04,5
NGQ014,PC03,1970s London political solidarity posters,proposed_new_cell,review,Captured rows suggest a new cell or expanded scope.,political poster London 1970 Zimbabwe imperialism farm workers prisoners Ireland,V&A; Bishopsgate Institute; MayDay Rooms; IISG; Interference Archive,IMG00; IMG01; IMG02; IMG03; IMG04,5
NGQ015,PC04,South and Central Asian political poster collections,proposed_new_cell,review,Captured rows suggest a new cell or expanded scope.,Pakistan Afghanistan Balochistan political posters Quetta Taliban poster,LOC; British Library; SAADA; regional archives,IMG00; IMG01; IMG02; IMG03; IMG04,5
NGQ016,PC05,Contemporary campaign graphics and network circulation,proposed_new_cell,review,Captured rows suggest a new cell or expanded scope.,Obama Hope poster campaign graphic Shepard Fairey,AIC; Smithsonian; MoMA; Internet Archive,IMG00; IMG01; IMG02; IMG03; IMG04,5
NGQ017,PC06,Exhibition poster as design-history metadata,proposed_new_cell,review,Captured rows suggest a new cell or expanded scope.,exhibition poster graphic design poster show poster,AIC; V&A; Cleveland; MoMA; museum APIs,IMG00; IMG01; IMG02; IMG03; IMG04,5
NGQ018,UNASSIGNED,Unassigned capture pool,unassigned_pool,review,Rows did not match existing or proposed rules.,manual review of unassigned capture rows,Current capture pool,IMG00; IMG01; IMG02; IMG03; IMG04,0
