metric,baseline,preview,delta,notes
active_public_sources,14997,14997,0,Packet-relation sandbox preview metric.
card_count,1944,1944,0,Packet-relation sandbox preview metric.
main_sheet_count,13537,13464,-73,Packet-relation sandbox preview metric.
object_count,16167,16167,0,Packet-relation sandbox preview metric.
object_img04_rate,0.82,0.82,0.00,Packet-relation sandbox preview metric.
object_source_visible_rate,98.92,98.92,0.00,Packet-relation sandbox preview metric.
object_verified_open_rate,95.29,95.29,0.00,Packet-relation sandbox preview metric.
object_weighted_publication_grade_rate,97.26,97.26,0.00,Packet-relation sandbox preview metric.
research_dossiers,16175,16175,0,Packet-relation sandbox preview metric.
sheet_surface_count,14231,14231,0,Packet-relation sandbox preview metric.
support_packet_count,692,765,73,Packet-relation sandbox preview metric.
surface_image_state_IMG00,41,41,0,Packet-relation sandbox preview metric.
surface_image_state_IMG01,19,19,0,Packet-relation sandbox preview metric.
surface_image_state_IMG02,569,569,0,Packet-relation sandbox preview metric.
surface_image_state_IMG03,15406,15406,0,Packet-relation sandbox preview metric.
surface_image_state_IMG04,140,140,0,Packet-relation sandbox preview metric.
surface_source_visible_rate,98.88,98.88,0.00,Packet-relation sandbox preview metric.
surface_verified_open_rate,95.25,95.25,0.00,Packet-relation sandbox preview metric.
surfaces,16175,16175,0,Packet-relation sandbox preview metric.
text_template_count,94,94,0,Packet-relation sandbox preview metric.
