source_id,source_name,macro_region,country_or_region,captured_records,image_states,next_item_capture_priority,notes
NMSS2026R0549,!Khwa ttu,Africa,South Africa,1,IMG02:1,registry=v4; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0774,"""Alexandru and Aristia Aman"" County Library, Craiova",Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0394,"""Branko Ćopić"" National Library in Brod",Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P0 item/image adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0399,"""Dr. Ljubo Mihić"" National Library in Ljubinje",Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P0 item/image adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0776,"""Gheorghe Asachi"" County Library in Iași",Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0780,"""Octavian Goga"" Cluj County Library",Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0414,"""Vuk Karadžić"" National Library in Modriča",Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P0 item/image adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0966,101 Art Gallery,Latin America,Caribbean,1,IMG02:1,registry=v4; image_basis=og:image; priority=P0 item/image adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0419,11/07/95 Gallery,Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0653,4 - ti may - 1897,Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0862,"4 Library for adults, Ternopil",Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0389,8Q SAM,Southeast Asia,Singapore,1,IMG02:1,registry=v1; image_basis=og:image; priority=P1 manual item capture,source-hosted image route captured; no image binary downloaded
NMSS2026R0004,AIDSSH,Eastern Europe,Caucasus,1,IMG02:1,registry=v1; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0782,ASTRA National Museum Complex,Eastern Europe,Caucasus,1,IMG02:1,registry=v4; image_basis=og:image; priority=P0 item/image adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0001,Abderrahmane Benhamida library,Africa,Algeria,1,IMG02:1,registry=v2; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
NMSS2026R0023,Acatushun museum,Latin America,Caribbean,1,IMG02:1,registry=v1; image_basis=og:image; priority=P1 item/source adapter,source-hosted image route captured; no image binary downloaded
