packet_id,surface_id,capture_id,title,year,region,theme,source_family,cluster_key,proposed_relation_role,preview_disposition,parent_anchor_surface_id,relation_review_priority,minimum_text_pages,relation_blockers,selection_status,selection_reason
PRSP001,SURF-CAW2026R01266,CAW2026R01266,Azul... (page 9 crop).jpg,1917,Latin America and the Caribbean,Modern typography and layout,Wikimedia Commons,Latin America|Modern typography and layout|Wikimedia Commons|1915-1919,sub_under_packet_candidate,support_packet_appendix_text,SURF-CAW2026R01209,126,1,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
PRSP001,SURF-CAW2026R01263,CAW2026R01263,Azul... (page 59 crop).jpg,1917,Latin America and the Caribbean,Modern typography and layout,Wikimedia Commons,Latin America|Modern typography and layout|Wikimedia Commons|1915-1919,sub_under_packet_candidate,support_packet_appendix_text,SURF-CAW2026R01209,126,1,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
PRSP001,SURF-CAW2026R01258,CAW2026R01258,Azul... (page 175 crop).jpg,1917,Latin America and the Caribbean,Modern typography and layout,Wikimedia Commons,Latin America|Modern typography and layout|Wikimedia Commons|1915-1919,sub_under_packet_candidate,support_packet_appendix_text,SURF-CAW2026R01209,126,1,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
PRSP001,SURF-CAW2026R01267,CAW2026R01267,Azul... (page 93 crop).jpg,1917,Latin America and the Caribbean,Modern typography and layout,Wikimedia Commons,Latin America|Modern typography and layout|Wikimedia Commons|1915-1919,packet_member_review,support_packet_appendix_text,SURF-CAW2026R01209,89,2,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
PRSP001,SURF-CAW2026R01265,CAW2026R01265,Azul... (page 87 crop).jpg,1917,Latin America and the Caribbean,Modern typography and layout,Wikimedia Commons,Latin America|Modern typography and layout|Wikimedia Commons|1915-1919,packet_member_review,support_packet_appendix_text,SURF-CAW2026R01209,89,2,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
PRSP002,SURF-CAW2026R00885,CAW2026R00885,A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.tif,1901,East Asia,Modern typography and layout,Wikimedia Commons,China / Hong Kong|Modern typography and layout|Wikimedia Commons|1900-1904,sub_under_packet_candidate,support_packet_appendix_text,SURF-CAW2026R00920,115,1,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
PRSP002,SURF-CAW2026R00907,CAW2026R00907,As to China - J.S. Pughe. LCCN2010651571.tif,1902,East Asia,Modern typography and layout,Wikimedia Commons,China / Hong Kong|Modern typography and layout|Wikimedia Commons|1900-1904,packet_member_review,support_packet_appendix_text,SURF-CAW2026R00920,80,2,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
PRSP002,SURF-CAW2026R00906,CAW2026R00906,As to China - J.S. Pughe. LCCN2010651571.jpg,1902,East Asia,Modern typography and layout,Wikimedia Commons,China / Hong Kong|Modern typography and layout|Wikimedia Commons|1900-1904,packet_member_review,support_packet_appendix_text,SURF-CAW2026R00920,80,2,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
PRSP002,SURF-CAW2026R00884,CAW2026R00884,A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.jpg,1901,East Asia,Modern typography and layout,Wikimedia Commons,China / Hong Kong|Modern typography and layout|Wikimedia Commons|1900-1904,packet_member_review,support_packet_appendix_text,SURF-CAW2026R00920,78,2,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
PRSP002,SURF-CAW2026R00883,CAW2026R00883,A disturbing possiblility in the east - Keppler. LCCN2010651460.tif,1901,East Asia,Modern typography and layout,Wikimedia Commons,China / Hong Kong|Modern typography and layout|Wikimedia Commons|1900-1904,packet_member_review,support_packet_appendix_text,SURF-CAW2026R00920,76,2,none,selected_for_sandbox_preview,blocker-free eligible packet member/sub candidate under selected anchor
