region_group,surface_count,main_sheet_count,source_visible_count,verified_open_count,img04_count,desired_surface_target,surface_balance_rate
Africa,627,480,605,592,22,750,83.60
Albania,60,33,60,60,0,250,24.00
Angola,46,45,46,46,0,250,18.40
Bahrain,8,7,8,8,0,250,3.20
Benin,18,11,18,18,0,250,7.20
Bosnia and Herzegovina,115,64,115,115,0,250,46.00
Brunei,1,1,1,1,0,250,0.40
Cameroon,24,8,24,24,0,250,9.60
Cape Verde,15,12,15,15,0,250,6.00
Croatia,55,40,55,55,0,250,22.00
Democratic Republic of the Congo,91,78,91,91,0,250,36.40
East Asia,545,393,527,510,17,750,72.67
"Eastern Europe, Balkans, and Central/Eastern socialist contexts",1343,1022,1330,1306,3,650,206.62
Estonia,21,12,21,21,0,250,8.40
Fiji,6,5,6,6,0,250,2.40
Global / transnational,3253,3106,3250,3200,3,400,813.25
Jordan,25,20,25,25,0,250,10.00
Kiribati,3,3,3,3,0,250,1.20
Kuwait,21,1,21,21,0,250,8.40
Laos,15,14,15,15,0,250,6.00
Latin America and the Caribbean,3085,2596,3082,3074,3,850,362.94
Latvia,36,36,36,36,0,250,14.40
Lithuania,65,64,65,65,0,250,26.00
Madagascar,73,23,73,73,0,250,29.20
Maldives,7,2,7,7,0,250,2.80
Mali,4,4,4,4,0,250,1.60
Mauritius,11,10,11,11,0,250,4.40
Middle East and North Africa,1604,1415,1600,1594,4,750,213.87
Moldova,43,41,43,43,0,250,17.20
Mongolia,9,9,9,9,0,250,3.60
Mozambique,15,15,15,15,0,250,6.00
North America,410,309,383,224,14,450,91.11
North Macedonia,23,15,23,23,0,250,9.20
Oceania and Pacific,628,505,624,479,3,450,139.56
Oman,4,4,4,4,0,250,1.60
Papua New Guinea,28,28,28,28,0,250,11.20
Puerto Rico,1,1,1,0,0,250,0.40
Qatar,16,2,16,16,0,250,6.40
Rwanda,5,3,5,5,0,250,2.00
Samoa,5,3,5,5,0,250,2.00
Serbia,188,174,188,188,0,250,75.20
Seychelles,89,89,89,89,0,250,35.60
Slovenia,32,25,32,32,0,250,12.80
Solomon Islands,14,11,14,14,0,250,5.60
South Asia,810,646,804,800,6,750,108.00
Southeast Asia,1536,1309,1513,1485,22,800,192.00
Syria,44,41,44,44,0,250,17.60
Timor-Leste,6,5,6,6,0,250,2.40
Togo,3,3,3,3,0,250,1.20
Tonga,2,1,2,2,0,250,0.80
Tunisia,46,33,46,46,0,250,18.40
Uganda,68,34,68,68,0,250,27.20
United Arab Emirates,22,19,22,22,0,250,8.80
Unresolved region,133,76,110,38,22,250,53.20
Vanuatu,1,1,1,1,0,250,0.40
Western and Central Europe,775,592,740,679,21,550,140.91
Yemen,25,24,25,25,0,250,10.00
Zambia,8,7,8,8,0,250,3.20
Zimbabwe,9,7,9,9,0,250,3.60
