experimental_candidate_id,candidate_name,source_id,source_name,region,record_type,test_purpose,expected_rights_state,expected_image_zone,expected_record_policy,expected_display_policy,likely_fields,risks,shortlist_status,notes,scope_cell_id,scope_role,primary_region,secondary_region,hn_ids,movement_ids,event_ids,source_family_id,record_family,default_image_zone,rights_review_level,protocol_sensitive,manual_review_required,query_profile_id,target_record_count,required_fields,expected_surface_type
EIC001,Smithsonian OA design poster or publication record,SRC003,Smithsonian Open Access,US / global,museum object record,End-to-end test of open metadata plus open image plus stable IDs and API workflows,CC0,IMG03,open_image_allowed,open_image_with_license,object ID; title; maker; date; medium; rights; image URL; source URL,Relatively low; keep provenance and citation intact,pending,Source and Rights Feasibility Audit recommended first experimental candidate.,,,,,,,,,,,,,,,,,
EIC002,The Met public-domain poster / print / book jacket,SRC001,The Met Open Access,US / global,museum object record,Open-image benchmark and test of public-domain citation behavior,CC0 / public domain,IMG03,open_image_allowed,open_image_with_license,object ID; title; artist; date; medium; OA flag; image URL,Low,pending,Use only explicit Open Access records.,,,,,,,,,,,,,,,,,
EIC003,Rijksmuseum rights-cleared design print,SRC004,Rijksmuseum Data Services,Europe,museum object record,Test item-level rights filters and IIIF manifests,open subset only,IMG02,iiif_embed_only,iiif_embed_with_credit,persistent URI; title; maker; rights notice; manifest URL; image service,Accidentally ingesting restricted third-party-rights item,pending,May move to IMG03 only for PDM/CC0/CC BY item-level evidence.,,,,,,,,,,,,,,,,,
EIC004,Library of Congress poster with no-known-restrictions advisory,SRC006,Library of Congress loc.gov API,US,poster/archive record,Test rights advisory capture and IIIF routing without assuming LOC owns rights,relatively low-risk advisory,IMG02,iiif_embed_only,iiif_embed_with_credit,item URL; rights advisory; call number; IIIF resource; creator/date,Advisory is not a warranty,pending,Requires record-level rights review.,,,,,,,,,,,,,,,,,
EIC005,Europeana record with open rights statement and IIIF manifest,SRC008,Europeana API,Europe,aggregator record,Test rights normalization from rights URI and provider provenance,open if rights URI permits,IMG02,iiif_embed_only,iiif_embed_with_credit,Europeana ID; provider; rights URI; preview URL; manifest URL,Provider/source drift and preview rights ambiguity,pending,Display only with exact permissive rights URI.,,,,,,,,,,,,,,,,,
EIC006,Europeana record with In Copyright statement,SRC008,Europeana API,Europe,aggregator record,Negative test for full metadata indexing with source-link-only display,in copyright / restricted,IMG00,metadata_only,source_link_only,Europeana ID; rights URI; provider links; metadata,Misleading users if preview is shown too freely,pending,Important IMG00 first-class record test.,,,,,,,,,,,,,,,,,
EIC007,DigitalNZ small-thumbnail metadata record,SRC011,DigitalNZ,Aotearoa New Zealand,aggregator record,Controlled IMG01 test because API terms treat small thumbnails as metadata,metadata-licensed; thumbnail-limited,IMG01,metadata_plus_thumbnail,thumbnail_with_attribution,record ID; title; source URL; rights field; small thumbnail URL,Accidentally ingesting large thumbnail or object URL,pending,Use only small thumbnail allowed by API terms.,,,,,,,,,,,,,,,,,
EIC008,Te Papa record with explicit per-image license,,Te Papa API,New Zealand / Pacific,museum object record,Test separating metadata rights from image rights in one API payload,mixed item-specific,IMG00,manual_review_required,source_link_only,object URL; registration number; title; culture/place; metadata license; image license,Rights parser must not inherit metadata license onto image,pending,May move upward only with explicit image license.,,,,,,,,,,,,,,,,,
EIC009,Trove digitized magazine advertisement page,SRC010,Trove,Australia,periodical/newspaper page record,Test OCR citation and issue/page relations across a high-volume archive,mixed / item-specific,IMG00,metadata_only,source_link_only,Trove ID; title; issue; page; rights URL/explanation; citation formats,Item-level copyright may be unclear,pending,No image display without item review.,,,,,,,,,,,,,,,,,
EIC010,Trove First Australian content record,SRC010,Trove,Australia,protocol-sensitive aggregator record,Test protocol alerts separate from legal copyright fields,mixed / protocol-sensitive,IMG00,manual_review_required,source_link_only,rights; source; warnings; title; identifiers,Cultural harm even where legal display may be possible,pending,Protocol-aware rights review required.,,,,,,,,,,,,,,,,,
EIC011,NDL Japanese poster / book cover record,SRC026,NDL Search,Japan,national library image-bearing bibliographic record,Non-Latin-script test plus per-image use-status parsing,mixed; copyright-expired subset lower risk,IMG00,manual_review_required,source_link_only,bibliographic ID; use status; title; script/language; collection code; image/IIIF,Script handling and rights misclassification,pending,May become IMG02 only after use-status review.,,,,,,,,,,,,,,,,,
