year_bucket,surface_count,main_sheet_count,source_visible_count,verified_open_count,img04_count,dominant_source_name,dominant_source_count
1830-1834,141,135,141,141,0,Gallica / BnF APIs,3
1835-1839,27,24,27,26,0,Gallica / BnF APIs,2
1840-1844,67,58,67,66,0,Gallica / BnF APIs,5
1845-1849,251,248,251,250,0,Gallica / BnF APIs,5
1850-1854,96,85,96,96,0,Gallica / BnF APIs,6
1855-1859,39,30,39,38,0,Gallica / BnF APIs,6
1860-1864,89,54,88,88,1,Gallica / BnF APIs,27
1865-1869,106,97,105,105,1,Gallica / BnF APIs,5
1870-1874,108,101,108,108,0,Gallica / BnF APIs,5
1875-1879,78,68,78,78,0,DigitalNZ,3
1880-1884,203,173,201,194,2,Library of Congress loc.gov API,8
1885-1889,240,231,239,238,1,Gallica / BnF APIs,15
1890-1894,197,170,195,194,2,Gallica / BnF APIs,13
1895-1899,256,235,255,251,0,Cleveland Museum Open Access API,7
1900-1904,333,293,331,329,2,DigitalNZ,11
1905-1909,274,248,274,273,0,DigitalNZ,2
1910-1914,335,307,335,333,0,Gallica / BnF APIs,13
1915-1919,389,354,384,376,0,Princeton University Library Digital Collections / Figgy,8
1920-1924,397,374,395,378,0,Gallica / BnF APIs,22
1925-1929,402,377,400,393,0,Gallica / BnF APIs,13
1930-1934,596,552,589,580,3,Gallica / BnF APIs,27
1935-1939,859,771,853,829,6,Library of Congress loc.gov API,23
1940-1944,957,913,943,903,2,Wikimedia Commons,30
1945-1949,474,445,470,447,1,Wellcome Collection Catalogue API,13
1950-1954,566,521,557,529,4,Wellcome Collection Catalogue API,11
1955-1959,375,358,372,360,2,Wellcome Collection Catalogue API,8
1960-1964,425,384,419,399,5,Wellcome Collection Catalogue API,8
1965-1969,613,565,597,563,14,Wellcome Collection Catalogue API,15
1970-1974,1303,1229,1297,1268,6,Georgia State University Library Digital Collections / CONTENTdm,9
1975-1979,1103,1061,1101,1083,2,Georgia State University Library Digital Collections / CONTENTdm,10
1980-1984,306,250,305,274,0,Te Papa Collections Online,13
1985-1989,349,323,348,312,1,"Wikimedia Commons file source / Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA)...",28
1990-1994,420,372,417,400,3,DigitalNZ,9
1995-1999,459,429,459,450,0,DigitalNZ,4
2000-2004,362,306,352,345,10,NDL Search / National Diet Library,6
2005-2009,590,457,582,564,7,DigitalNZ,6
2010-2014,539,296,535,494,4,DigitalNZ,19
2015-2019,636,326,629,597,7,Internet Archive / text and periodical collections,16
2020-2024,887,249,878,835,9,DigitalNZ,10
2025-2029,255,65,253,218,2,Another Graphic,11
undated_or_unparsed,73,3,29,1,43,V&A Collections API,12
