check_id,check_type,target,observed,expected,status,notes
cc_by_nc_url,license_classifier,https://creativecommons.org/licenses/by-nc/4.0/,false,false,pass,Restricted NC/ND variants must not qualify for IMG03.
cc_by_nd_url,license_classifier,https://creativecommons.org/licenses/by-nd/4.0/,false,false,pass,Restricted NC/ND variants must not qualify for IMG03.
cc_by_nc_nd_url,license_classifier,https://creativecommons.org/licenses/by-nc-nd/4.0/,false,false,pass,Restricted NC/ND variants must not qualify for IMG03.
cc_by_text_restricted,license_classifier,cc-by-nc,false,false,pass,Restricted NC/ND variants must not qualify for IMG03.
cc_by_url,license_classifier,https://creativecommons.org/licenses/by/4.0/,true,true,pass,Restricted NC/ND variants must not qualify for IMG03.
cc_by_sa_url,license_classifier,https://creativecommons.org/licenses/by-sa/4.0/,true,true,pass,Restricted NC/ND variants must not qualify for IMG03.
cc0_url,license_classifier,https://creativecommons.org/publicdomain/zero/1.0/,true,true,pass,Restricted NC/ND variants must not qualify for IMG03.
pdm_text,license_classifier,PDM,true,true,pass,Restricted NC/ND variants must not qualify for IMG03.
run_gsu_contentdm_image_ready_1830_1970,gsu_rights_field_order,scripts/run_gsu_contentdm_image_ready_1830_1970.py,rights_spread_before_source_rights_text,rights_spread_before_source_rights_text,pass,Local CONTENTdm rights statement must not be overwritten by image display basis.
harvest_gsu_contentdm_raw_records,gsu_rights_field_order,scripts/harvest_gsu_contentdm_raw_records.py,rights_spread_before_source_rights_text,rights_spread_before_source_rights_text,pass,Local CONTENTdm rights statement must not be overwritten by image display basis.
