surface_id,capture_id,candidate_role,recommended_next_action,calibration_confidence,calibration_reason,preview_status,source_family,source_name,title,period_band,region,risk_flags,positive_flags
SURF-ER1830R018,ER1830R018,text_or_appendix,convert_to_text_or_appendix,medium,Source/register or no-image evidence is better handled as text/appendix.,confirmed_preview_only_not_apply_ready,Library of Congress,Library of Congress loc.gov API,[Pearsall Photography Studio trade card],pre_1930,Unresolved region,source_register:catalog record,
SURF-CCT2026R00413,CCT2026R00413,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp-kenya1966-ant-bear.jpeg / page 69787732,Stamp-kenya1966-ant-bear.jpeg,1930_1970,Africa,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02743,CAW2026R02743,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / ALB 1968 MiNr1314A pm B002.jpg / page 67993797,ALB 1968 MiNr1314A pm B002.jpg,1930_1970,Albania,stamp_or_philatelic:commemorative; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; non_design_drift:bird; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02323,CAW2026R02323,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Angola - 1951 - Colnect 167091 - Holy year.jpeg / page 115883526,Stamp of Angola - 1951 - Colnect 167091 - Holy year.jpeg,1930_1970,Angola,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02681,CAW2026R02681,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1965 - Colnect 349882 - Pacific Fair Emblem.jpeg / page 115002041,Stamp of Peru - 1965 - Colnect 349882 - Pacific Fair Emblem.jpeg,1930_1970,Bahrain,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,advertisement; design; graphic; visual communication
SURF-CAW2026R02691,CAW2026R02691,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / BEN 1967 MiNr0324 pm B002a.jpg / page 78262291,BEN 1967 MiNr0324 pm B002a.jpg,1930_1970,Benin,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; exhibition; graphic; visual communication
SURF-CAW2026R02181,CAW2026R02181,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Jugoslavija ustav 2 dinar.png / page 192691643,Jugoslavija ustav 2 dinar.png,1930_1970,Bosnia and Herzegovina,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R00318,CCT2026R00318,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,"Wikimedia Commons file source / Commemorative stamp of the Reunification of Cameroon on October 1, 1961.webp / page 132171363","Commemorative stamp of the Reunification of Cameroon on October 1, 1961.webp",1930_1970,Cameroon,stamp_or_philatelic:commemorative; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02766,CAW2026R02766,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Stamp of Rwanda - 1969 - Colnect 699054 - The Moneylender and his Wife by Marinus van Reymerswaele.jpeg / page 115808510,Stamp of Rwanda - 1969 - Colnect 699054 - The Moneylender and his Wife by Marinus van Reymerswaele.jpeg,1930_1970,Cape Verde,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02113,CAW2026R02113,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Matija gubec stamp 1942.jpg / page 174384613,Matija gubec stamp 1942.jpg,1930_1970,Croatia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02569,CAW2026R02569,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Unstamp au congo 11.jpg / page 14851080,Unstamp au congo 11.jpg,1930_1970,Democratic Republic of the Congo,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R01175,CCT2026R01175,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / China 1949 - Non-Denominated Airmail stamp.jpg / page 68004882,China 1949 - Non-Denominated Airmail stamp.jpg,1930_1970,East Asia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R01629,CCT2026R01629,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / Foaie cap de bour 1958.jpg / page 19748316,Foaie cap de bour 1958.jpg,1930_1970,"Eastern Europe, Balkans, and Central/Eastern socialist contexts",stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02091,CAW2026R02091,card_context,downgrade_to_card_candidate,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,confirmed_preview_only_not_apply_ready,Wikimedia Commons,Wikimedia Commons file source / StampTartu(Estonia)1941Michel8.jpg / page 33416921,StampTartu(Estonia)1941Michel8.jpg,1930_1970,Estonia,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
