cluster_key,candidate_rank,surface_id,capture_id,year,title,region,theme,source_family,source_name,image_state,proposed_relation_role,recommended_next_action,anchor_review_score,anchor_strength_score,source_depth_score,relation_density_score,text_depth_score,design_object_confidence_score,risk_pressure_score,editorial_need_score,risk_flags,positive_flags,candidate_use,manual_check
Africa|Midcentury modern graphic communication|African Digital Heritage|2020-2024,1,SURF-NMR1990R0013,NMR1990R0013,2024,Using Digital Tools to Reimagine Cultural Heritage Spaces,Africa,Midcentury modern graphic communication,African Digital Heritage,African Digital Heritage,IMG02,manual_relation_review,keep_main_anchor,94.95,62,80,17,100,74,0,0,,design; graphic; poster; print; typography,top_anchor_review_candidate,candidate only; do not apply role automatically
Africa|Midcentury modern graphic communication|African Digital Heritage|2020-2024,2,SURF-NMR1990R0012,NMR1990R0012,2024,How culture and archives are vital tools for space making and space building,Africa,Midcentury modern graphic communication,African Digital Heritage,African Digital Heritage,IMG02,manual_relation_review,keep_main_anchor,92.55,60,80,5,100,74,0,0,,design; graphic; poster; print; typography,secondary_anchor_review_candidate,candidate only; do not apply role automatically
Africa|Travel and transport poster culture|African Digital Heritage|2020-2024,1,SURF-NMR1990R0011,NMR1990R0011,2024,"Soundscapes: Archives as extensions, inscriptions, and reinventions of ourselves",Africa,Travel and transport poster culture,African Digital Heritage,African Digital Heritage,IMG02,manual_relation_review,keep_main_anchor,93.9,61,80,12,100,74,0,0,,design; graphic; poster; print; typography,top_anchor_review_candidate,candidate only; do not apply role automatically
Albania|Modern typography and layout|Wikimedia Commons|1865-1869,1,SURF-CAW2026R00299,CAW2026R00299,1866,Stamp of Albania - 1986 - Colnect 366133 - Ndre Mjeda 1866-1937 Albanian Gheg poet.jpeg,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Albania - 1986 - Colnect 366133 - Ndre Mjeda 1866-1937 Albanian Gheg poet.jpeg / page 98409675,IMG03,card_context_candidate,downgrade_to_card_candidate,-3.7,49,80,0,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,context_or_card_support_candidate,candidate only; do not apply role automatically
Albania|Modern typography and layout|Wikimedia Commons|1910-1914,1,SURF-CAW2026R01152,CAW2026R01152,1913,Shqipenia E Lire 1 December 1913.jpg,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Shqipenia E Lire 1 December 1913.jpg / page 18317014,IMG03,card_context_candidate,downgrade_to_card_candidate,-19.0,31,22,0,63,66,44,37,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication,context_or_card_support_candidate,candidate only; do not apply role automatically
Albania|Modern typography and layout|Wikimedia Commons|1920-1924,1,SURF-CAW2026R01533,CAW2026R01533,1924,Stamp of Albania - 1924 - Colnect 182270 - Kanina overprinted in red and black.jpeg,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Albania - 1924 - Colnect 182270 - Kanina overprinted in red and black.jpeg / page 98397486,IMG03,card_context_candidate,downgrade_to_card_candidate,-3.7,49,80,0,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,context_or_card_support_candidate,candidate only; do not apply role automatically
Albania|Modern typography and layout|Wikimedia Commons|1940-1944,1,SURF-CAW2026R02132,CAW2026R02132,1943,Albanian stamp Victor Emmanuel III.jpg,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Albanian stamp Victor Emmanuel III.jpg / page 15927919,IMG03,card_context_candidate,downgrade_to_card_candidate,1.85,54,80,27,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,context_or_card_support_candidate,candidate only; do not apply role automatically
Albania|Modern typography and layout|Wikimedia Commons|1950-1954,1,SURF-CAW2026R02294,CAW2026R02294,1950,Sami Frashëri 1950 Albania stamp.jpg,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Sami Frashëri 1950 Albania stamp.jpg / page 34437152,IMG03,card_context_candidate,downgrade_to_card_candidate,4.05,53,75,15,99,66,44,1,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication,context_or_card_support_candidate,candidate only; do not apply role automatically
Albania|Modern typography and layout|Wikimedia Commons|1950-1954,2,SURF-CAW2026R02295,CAW2026R02295,1950,Zako 1950 Albania stamp.jpg,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Zako 1950 Albania stamp.jpg / page 34437427,IMG03,card_context_candidate,downgrade_to_card_candidate,3.75,53,74,15,98,66,44,2,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication,context_or_card_support_candidate,candidate only; do not apply role automatically
Albania|Modern typography and layout|Wikimedia Commons|1965-1969,1,SURF-CAW2026R02695,CAW2026R02695,1966,Stamp of Albania - 1966 - Colnect 197257 - Black Kitten Felis silvestris catus.jpeg,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Albania - 1966 - Colnect 197257 - Black Kitten Felis silvestris catus.jpeg / page 98403487,IMG03,card_context_candidate,downgrade_to_card_candidate,-1.6,51,80,10,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,context_or_card_support_candidate,candidate only; do not apply role automatically
Albania|Modern typography and layout|Wikimedia Commons|1965-1969,2,SURF-CAW2026R02666,CAW2026R02666,1965,Stamp of Albania - 1965 - Colnect 325917 - Partisan Sports Arena Tirana.jpeg,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Albania - 1965 - Colnect 325917 - Partisan Sports Arena Tirana.jpeg / page 98402912,IMG03,card_context_candidate,downgrade_to_card_candidate,-1.6,51,80,10,100,66,62,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,context_or_card_support_candidate,candidate only; do not apply role automatically
Albania|Modern typography and layout|Wikimedia Commons|1965-1969,3,SURF-CAW2026R02743,CAW2026R02743,1968,ALB 1968 MiNr1314A pm B002.jpg,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / ALB 1968 MiNr1314A pm B002.jpg / page 67993797,IMG03,card_context_candidate,downgrade_to_card_candidate,-8.1,48,74,22,98,66,82,2,stamp_or_philatelic:commemorative; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; non_design_drift:bird; commons_file_source,design; graphic; visual communication,context_or_card_support_candidate,candidate only; do not apply role automatically
