first_target_id,source_record_draft_path,source_id,source_name,canonical_url,image_presence_code,validation_status,validation_errors
FIT001,data/manual_source_records/FIT001_manual_source_record.json,SRC021,Harvard Art Museums,https://hvrd.art/o/223124,IMG00,valid,
FIT003,data/manual_source_records/FIT003_manual_source_record.json,SRC055,Getty ULAN,https://www.getty.edu/vow/ULANFullDisplay?subjectid=500028112,IMG04,valid,
FIT005,data/manual_source_records/FIT005_manual_source_record.json,SRC012,MoMA,https://www.moma.org/collection/works/8726,IMG00,valid,
FIT006,data/manual_source_records/FIT006_manual_source_record.json,SRC012,MoMA,https://www.moma.org/collection/works/6300,IMG00,valid,
FIT007,data/manual_source_records/FIT007_manual_source_record.json,SRC037,IBM,https://www.ibm.com/history/design-program,IMG04,valid,
FIT008,data/manual_source_records/FIT008_manual_source_record.json,SRC037,IBM,https://www.ibm.com/history/logo,IMG04,valid,
FIT009,data/manual_source_records/FIT009_manual_source_record.json,SRC012,MoMA,https://www.moma.org/collection/works/290152,IMG00,valid,
FIT010,data/manual_source_records/FIT010_manual_source_record.json,SRC012,MoMA,https://www.moma.org/collection/works/3346,IMG00,valid,
FIT011,data/manual_source_records/FIT011_manual_source_record.json,SRC012,MoMA,https://www.moma.org/collection/works/7938,IMG00,valid,
FIT012,data/manual_source_records/FIT012_manual_source_record.json,SRC006,Library of Congress,https://www.loc.gov/pictures/item/2004665907/,IMG00,valid,
FIT013,data/manual_source_records/FIT013_manual_source_record.json,SRC056,Getty CONA,https://www.getty.edu/cona/CONAFullSubject.aspx?subid=700000944,IMG00,valid,
FIT014,data/manual_source_records/FIT014_manual_source_record.json,SRC012,MoMA,https://www.moma.org/collection/works/72588,IMG00,valid,
FIT020,data/manual_source_records/FIT020_manual_source_record.json,SRC057,museum.or.jp,https://www.museum.or.jp/event/104047,IMG04,valid,
FIT021,data/manual_source_records/FIT021_manual_source_record.json,SRC058,JAGDA,https://www.jagda.or.jp/about/org/history/,IMG04,valid,
FIT022,data/manual_source_records/FIT022_manual_source_record.json,SRC025,Internet Archive,https://archive.org/details/shmh-1928.05.19,IMG00,valid,
FIT025,data/manual_source_records/FIT025_manual_source_record.json,SRC059,University of Hong Kong Libraries,https://digitalrepository.lib.hku.hk/catalog/x346kb50k,IMG00,valid,
FIT029,data/manual_source_records/FIT029_manual_source_record.json,SRC060,National Archives of Singapore,https://www.nas.gov.sg/archivesonline/photographs/record-details/8632b1ef-1162-11e3-83d5-0050568939ad,IMG02,valid,
FIT032,data/manual_source_records/FIT032_manual_source_record.json,SRC053,National Institute of Design,https://www.nid.edu/about/history-of-nid,IMG04,valid,
FIT033,data/manual_source_records/FIT033_manual_source_record.json,SRC053,National Institute of Design,https://www.nid.edu/Userfiles/Eames_India_Report_NID.pdf,IMG04,valid,
FIT035,data/manual_source_records/FIT035_manual_source_record.json,SRC061,ICOD,https://www.theicod.org/resources/news-archive/morteza-momayez-receives-icograda-lifetime-achievement-award,IMG04,valid,
FIT037,data/manual_source_records/FIT037_manual_source_record.json,SRC052,South African History Archive,https://www.saha.org.za/medu_posters_images_from_exile.htm,IMG00,valid,
FIT039,data/manual_source_records/FIT039_manual_source_record.json,SRC043,South African History Online,https://sahistory.org.za/archive/culture-and-resistance,IMG00,valid,
FIT040,data/manual_source_records/FIT040_manual_source_record.json,SRC043,South African History Online,https://sahistory.org.za/article/culture-and-resistance-conference-botswana-1982,IMG04,valid,
FIT041,data/manual_source_records/FIT041_manual_source_record.json,SRC045,AIATSIS,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,IMG03,valid,
FIT042,data/manual_source_records/FIT042_manual_source_record.json,SRC045,AIATSIS,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,IMG03,valid,
FIT043,data/manual_source_records/FIT043_manual_source_record.json,SRC045,AIATSIS,https://aiatsis.gov.au/collection/featured-collections/naidoc-week-posters,IMG03,valid,
FIT044,data/manual_source_records/FIT044_manual_source_record.json,SRC062,NYPL Digital Collections,https://digitalcollections.nypl.org/collections/gran-fury-collection,IMG04,valid,
FIT045,data/manual_source_records/FIT045_manual_source_record.json,SRC062,NYPL Digital Collections,https://digitalcollections.nypl.org/items/d8e91040-c6b8-012f-9eea-58d385a7bc34,IMG00,valid,
FIT046,data/manual_source_records/FIT046_manual_source_record.json,SRC062,NYPL Digital Collections,https://digitalcollections.nypl.org/items/c4788cb0-c6b8-012f-4439-58d385a7bc34,IMG00,valid,
FIT047,data/manual_source_records/FIT047_manual_source_record.json,SRC049,W3C,https://www.w3.org/TR/REC-CSS1-961217,IMG04,valid,
