candidate_id,source_name,macro_region,country_or_region,source_class,period_intent,url,http_status,final_url,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,capture_priority,capture_intent,recommended_image_policy,recommended_text_policy,rights_risk,discovery_channel,probe_status,failure_reason,raw_probe_path,access_date,notes
IAS001,Another Graphic,Global,post-1990 international,independent curated design archive,1990-2026,https://anothergraphic.org/,200,https://anothergraphic.org/,text/html; charset=UTF-8,180000,Another Graphic | Archive of graphic design focused on typographic treatment,Archive of graphic design focused on typographic treatment. Find your graphic design & typography inspiration.,WordPress REST/RSS;JSON-LD;RSS/Atom,WordPress REST/RSS:wp-json;JSON-LD:application/ld+json;RSS/Atom:application/rss+xml,P1_adapter_candidate,contemporary context and object-link records,IMG02_source_hosted_or_IMG00_until_item_rights,extract_about_context_and_item_metadata; no AI-generated evidence,high,independent design archive; social-platform-adjacent discovery,ok,,data/source_probe_independent_asia_v1_raw/IAS001.html.txt,2026-06-01,WordPress REST is available; image rights remain with designers/sources.
IAS002,East Asian Graphics Archive,East Asia,East Asia,independent curated design archive,postwar-present,https://eastasiangraphicsarchive.com/,200,https://eastasiangraphicsarchive.com/,text/html,180000,EAGA,The East Asian Graphics Archive,Framer/static JS,Framer/static JS:framer.com,P2_source_registry_then_adapter,source registry and selected context records,IMG02_source_hosted_or_IMG00_until_item_rights,extract_about_context_and_item_metadata; no AI-generated evidence,high,independent design archive,ok,,data/source_probe_independent_asia_v1_raw/IAS002.html.txt,2026-06-01,Framer site; likely JS/static scrape rather than clean API.
IAS003,Grafis Nusantara,Southeast Asia,Indonesia,independent/community graphic archive,pre-WWII-present,https://grafisnusantara.com/,200,https://grafisnusantara.com/,text/html; charset=UTF-8,61043,Home - Grafis Nusantara,,WordPress REST/RSS;IIIF;JSON-LD,WordPress REST/RSS:wp-json;IIIF:manifest.json;JSON-LD:application/ld+json,P1_underrepresented_region,Indonesian graphic history source records,IMG02_source_hosted_or_IMG00_until_item_rights,extract_about_context_and_item_metadata; no AI-generated evidence,high,regional graphic archive,ok,,data/source_probe_independent_asia_v1_raw/IAS003.html.txt,2026-06-01,Potential WordPress family; image rights need source-level caution.
IAS004,Malaysia Design Archive,Southeast Asia,Malaysia,community design archive,pre-WWII-present,https://search.malaysiadesignarchive.org/,200,https://search.malaysiadesignarchive.org/,text/html; charset=UTF-8,81412,Search - Search Malaysia Design ArchiveSearch Malaysia Design Archive,Malaysia Design Archive's Online Database,WordPress REST/RSS;JSON-LD,WordPress REST/RSS:wp-json;JSON-LD:application/ld+json,P1_underrepresented_region,Malaysian design record source,IMG02_source_hosted_or_IMG00_until_item_rights,extract_about_context_and_item_metadata; no AI-generated evidence,high,regional design archive,ok,,data/source_probe_independent_asia_v1_raw/IAS004.html.txt,2026-06-01,Search interface likely custom/WordPress; treat images as source-hosted.
IAS005,Singapore Graphic Archives,Southeast Asia,Singapore,independent/community design archive,pre-WWII-present,https://graphic.sg/resources/databases-archives,200,https://graphic.sg/resources/databases-archives,text/html; charset=UTF-8,70560,Databases & Archives | Singapore Graphic Archives,"The archives was originally founded in 2011 as the Singapore Visual Archive by design writer and researcher Justin Zhuang. It was rebranded in 2016 as the Singapore Graphic Archives to reflect its focus on graphic design. Our collection dates as far as the 1950s, when Singapore began marching towards independence from British colonial rule. A desire to const",,,P1_underrepresented_region,Singapore graphic source registry and citation layer,IMG02_source_hosted_or_IMG00_until_item_rights,extract_about_context_and_item_metadata; no AI-generated evidence,high,regional design archive,ok,,data/source_probe_independent_asia_v1_raw/IAS005.html.txt,2026-06-01,Founded as Singapore Visual Archive; likely source-guide plus records.
IAS006,Thaipography Archive,Southeast Asia,Thailand,independent typography archive,post-1990-present,https://thaipography-archive.com/,200,https://www.thaipography-archive.com/,text/html; charset=utf-8,180000,Thaipography Archive – Public visual archive of Thai letterform on Instagram: #thaipographyarchive,Public visual archive of Thai letterform on Instagram: #thaipographyarchive,WordPress REST/RSS;Next/static JS,WordPress REST/RSS:wp-content;Next/static JS:/_next/static,P1_underrepresented_region,Thai typography and contemporary design context,IMG02_source_hosted_or_IMG00_until_item_rights,extract_about_context_and_item_metadata; no AI-generated evidence,high,regional typography archive,ok,,data/source_probe_independent_asia_v1_raw/IAS006.html.txt,2026-06-01,Next/static site with CDN images; no open image assumption.
IAS007,Thai Poster Archive,Southeast Asia,Thailand,independent poster archive,pre-WWII-present,https://thaiposterarchive.com/,200,https://thaiposterarchive.com/,application/json,107,,,,,P1_underrepresented_region,Thai poster source registry,IMG02_source_hosted_or_IMG00_until_item_rights,extract_about_context_and_item_metadata; no AI-generated evidence,high,regional poster archive,ok,,data/source_probe_independent_asia_v1_raw/IAS007.html.txt,2026-06-01,May use bot protection; link-first if inaccessible.
IAS008,TPaddassoc Graphics Archive,East Asia,Taiwan,independent design association archive,post-1990-present,https://tpaddassoc.com/graphics-archive,,,,,,,,,P4_hold_or_manual,Taiwan contemporary graphic source records,IMG00_until_endpoint_verified,manual_context_only,high,regional design archive,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,Preloaded state appears in HTML; possible structured scrape.
IAS009,VietGD,Southeast Asia,Vietnam,independent design-history archive,post-1990-present,https://vietgd.com/,200,https://vietgd.com/,text/html; charset=utf-8,998,Vietnamese Graphic Design,,,,P1_underrepresented_region,Vietnamese graphic design source records,IMG02_source_hosted_or_IMG00_until_item_rights,extract_about_context_and_item_metadata; no AI-generated evidence,high,regional design-history archive,ok,,data/source_probe_independent_asia_v1_raw/IAS009.html.txt,2026-06-01,Probe reachability before promotion.
IAS010,Design and Culture Lab / DNP Graphic Design Archives,East Asia,Japan,institutional design archive,postwar-present,https://www.dnpfcp.jp/gallery/ddd/archives/,,,,,,,,,P4_hold_or_manual,Japanese postwar exhibition/object context,IMG00_until_endpoint_verified,manual_context_only,high,Japanese design archive,http_error,HTTP 404: Not Found,,2026-06-01,Institutional source; link-first; image rights likely restricted.
IAS011,Ginza Graphic Gallery Archives,East Asia,Japan,institutional design gallery archive,postwar-present,https://www.dnpfcp.jp/gallery/ggg/archives/,,,,,,,,,P4_hold_or_manual,Japanese graphic exhibition and designer context,IMG00_until_endpoint_verified,manual_context_only,high,Japanese design gallery,http_error,HTTP 404: Not Found,,2026-06-01,High relevance; not open-image by default.
IAS012,JAGDA,East Asia,Japan,professional association,1978-present,https://www.jagda.or.jp/,200,https://www.jagda.or.jp/,text/html; charset=UTF-8,33808,公益社団法人日本グラフィックデザイン協会（JAGDA）,グラフィックデザイナーによる団体。設立趣旨・概要、イベント案内とニュース。,WordPress REST/RSS,WordPress REST/RSS:wp-json,P1_adapter_candidate,movement/institution source context,IMG00_or_IMG02_after_source_terms,extract_about_context_and_item_metadata; no AI-generated evidence,medium,professional design organization,ok,,data/source_probe_independent_asia_v1_raw/IAS012.html.txt,2026-06-01,Useful for authority/event context rather than object images.
IAS013,Seoul Design Archive,East Asia,Korea,municipal/institutional design archive,postwar-present,https://seouldesignarchive.or.kr/,,,,,,,,,P4_hold_or_manual,Korean modern/contemporary design records,IMG00_until_endpoint_verified,manual_context_only,high,regional design archive,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-01,Probe for API/JSON endpoints.
