remediation_verification_id,projection_ids,affected_first_target_ids,scope_cell_id,verification_decision,verified_url,source_name,source_title,record_family,date_text,confirmed_image_zone,promotion_action,rights_summary,evidence_summary,remaining_blocker
RSV001,FRP003,FIT015,C05,verified_exact_record,https://www.bibliotecanacionaldigital.gob.cl/bnd/649/w3-article-605531.html,Biblioteca Nacional Digital de Chile,Contra la dictadura ... pintaremos hasta el cielo!! [estampa],poster record,[198-?],IMG00,promote_to_candidate_after_source_capture,"Terms say use is exclusive to accredited researchers; keep metadata/link only.","Exact BND article page confirms title, physical description, BRP publication data, subject/classification, BND id 605531, and use/reproduction statement.","Need source-level field capture into manual source record."
RSV002,FRP004,FIT016,C05,partial_search_confirmation,https://www.bibliotecanacionaldigital.gob.cl/bnd/649/w3-propertyvalue-966155.html,Biblioteca Nacional Digital de Chile,"Contra el fraude 7 de abril, a respaldar la jornada de movilización y la plataforma del CNT. [estampa]",poster search/category result,undated,IMG00,keep_fallback_until_exact_record,"Rights not reviewed at item level; keep search/category link only.","BND category/search pages confirm the title appears in Archivo de la Gráfica Chilena / Afiches, but no exact item URL was confirmed in this pass.","Need exact BND article URL or stable item identifier."
RSV003,FRP005,FIT017,C05,verified_contextual_replacement,https://www.bibliotecanacionaldigital.gob.cl/visor/BND%3A163996,Biblioteca Nacional Digital de Chile,[Jóvenes de la Brigada Ramona Parra pintando murallas] [fotografía] Ximena Castillo,photograph record,1970,IMG00,promote_as_contextual_candidate_not_direct_replacement,"Online access exists, but image reuse permission is not established; keep source-viewer/link-only.","BND visor/search result confirms BRP mural-painting photograph metadata, author, date, BND id 163996, and source context.","This is contextual BRP evidence, not the exact 1971 BRP/MAC exhibition poster."
RSV004,FRP006,FIT018,C06,verified_exact_bibliographic_record,https://ndlsearch.ndl.go.jp/books/R100000002-I000001036466,NDL Search,世界デザイン会議議事録,bibliographic record,1961,IMG04,promote_to_candidate_after_source_capture,"Bibliographic metadata is public; digitized viewing/reuse is restricted or access-limited; no image frame.","NDL search result confirms bibliographic ID 000001036466, persistent identifier info:ndljp/pid/8799615, editor, publisher, year, extent, and access limitations.","Need capture of NDL fields and optional authority link."
RSV005,FRP007,FIT019,C06,related_bibliographic_anchor_only,https://ndlsearch.ndl.go.jp/books/R100000002-I000001036466,NDL Search,世界デザイン会議議事録,bibliographic record,1961,IMG04,keep_fallback_or_replace_with_proceedings_anchor,"Bibliographic metadata is public; target-specific report URL not confirmed.","NDL exact proceedings record can anchor the World Design Conference cell, but the distinct target 世界デザイン会議報告 still lacks a confirmed exact URL in this pass.","Need exact record for 世界デザイン会議報告 if it remains a separate target."
RSV006,FRP010;FRP011;FRP012,FIT026;FIT027;FIT028,C08,verified_replacement_object_record,https://sema.seoul.go.kr/en/knowledge_research/collection/collection_detail?artSeq=WORK_0000000568,Seoul Museum of Art,May-1,collection object record,1983,IMG00,promote_as_replacement_candidate_after_source_capture,"SeMA displays object image but no permissive reuse evidence was captured; keep IMG00/link-only.","SeMA page confirms title May-1, date 1983, Hong Sung Dam, medium woodcut on paper, dimensions, management number, and Minjung/Gwangju historical description.","Replacement is a strong Minjung/Hong anchor but not identical to each original OpenArchive target."
RSV007,FRP013;FRP014,FIT030;FIT031,C09,verified_contextual_replacement,https://www.nlb.gov.sg/main/article-detail?cmsuuid=52075cdb-44d7-417c-a38f-d9f248a416fb,National Library Board Singapore,Tamil Road Signs,reference article,1991-1992 context,IMG04,promote_as_contextual_candidate_not_direct_replacement,"Text/reference article; no local image capture.","NLB page resolves and provides stable Singapore multilingual signage context; it is useful for the C09 cell but does not replace NAS item-level records directly.","Need exact NAS/Roots object records for object-level signage/logotype records."
RSV008,FRP015,FIT034,C10,verified_institutional_replacement,https://www.nid.edu/about/history-of-nid,National Institute of Design,History of NID,institutional history page,1955-1961 context,IMG04,promote_to_candidate_after_source_capture,"NID page states all rights reserved; metadata/link only.","NID page confirms NID establishment context, Eames India Report, 1961 founding, Bauhaus-learning-by-doing link, and all-rights-reserved footer.","Young Designers 2011 archive URL did not fetch in this pass."
RSV009,FRP016,FIT036,C11,verified_event_context_replacement,https://www.theicod.org/resources/news-archive/persianissimo-an-iranian-contemporary-poster-exhibition-presents-works-selected-by-majid-abbasi,ICOD,Persianissimo: An Iranian Contemporary Poster Exhibition presents works selected by Majid Abbasi,event/news archive page,2010,IMG04,promote_as_contextual_candidate_not_direct_item_replacement,"ICOD text page; poster-image reuse not established.","ICOD page confirms Persianissimo exhibition, contemporary Iranian poster design context, Majid Abbasi, dates, venues, and Iranian Graphic Designers Society relation.","Still need exact poster/item-level records for individual Iranian poster works."
RSV010,FRP017,FIT038,C12,verified_exact_record,https://www.saha.org.za/collections/AL2446/2619_2.htm,South African History Archive,THERE SHALL BE WORK AND SECURITY ALL SHALL ENJOY EQUAL HUMAN RIGHTS AFRICA MAYIBUYE THE PEOPLE SHALL GOVERN,poster item record,1982,IMG00,promote_to_candidate_after_source_capture,"SAHA states copyright may be held by individual postermakers/organizations; keep external/source viewing only.","SAHA exact item page confirms call number 2619, identifier AL2446_2619, title, date, subject, description, creator Judy Seidman/Medu Art Ensemble, type, format, source, language, coverage, and rights note.","Need source-level field capture into manual source record."
