year,total_records,primary_design_candidates,studio_high,studio_manual,stamp_review,event_memory_card_only,recent_manual_review,primary_share,stamp_event_share
2005,96,95,0,0,0,1,1,0.990,0.010
2006,101,100,0,2,0,1,0,0.990,0.010
2007,127,126,0,5,0,1,0,0.992,0.008
2008,171,170,0,0,0,1,2,0.994,0.006
2009,126,126,0,0,0,0,1,1.000,0.000
2010,186,100,1,1,86,0,3,0.538,0.462
2011,377,126,0,1,250,1,0,0.334,0.666
2012,273,114,0,0,159,0,4,0.418,0.582
2013,516,169,0,2,347,0,3,0.328,0.672
2014,414,154,0,1,227,33,1,0.372,0.628
2015,192,138,4,0,51,3,0,0.719,0.281
2016,220,186,0,3,33,1,0,0.845,0.155
2017,253,158,0,6,95,0,2,0.625,0.375
2018,226,141,0,3,83,2,0,0.624,0.376
2019,190,132,1,1,58,0,2,0.695,0.305
2020,249,153,0,2,94,2,1,0.614,0.386
2021,232,209,0,6,22,1,8,0.901,0.099
2022,233,217,0,1,15,1,2,0.931,0.069
2023,260,236,0,1,23,1,2,0.908,0.092
2024,166,152,0,1,13,1,11,0.916,0.084
2025,230,193,0,2,22,15,6,0.839,0.161
