batch_file,capture_id,source_identifier,source_title,source_record_url,image_url_detected,source_place_text,date_start,date_end,object_family,authority_level,authority_score,release_cleaning_status,review_reasons,source_collection,source_rights_text,rights_basis
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R01150,84928015,"German document dated 13 October 1913, from- British propaganda poster intended for Chinese Muslim audience LCCN2003675286 (cropped) (cropped).tif","https://commons.wikimedia.org/wiki/File:German_document_dated_13_October_1913,_from-_British_propaganda_poster_intended_for_Chinese_Muslim_audience_LCCN2003675286_(cropped)_(cropped).tif",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/German_document_dated_13_October_1913%2C_from-_British_propaganda_poster_intended_for_Chinese_Muslim_audience_LCCN2003675286_%28cropped%29_%28cropped%29.tif/lossy-page1-500px-German_document_dated_13_October_1913%2C_from-_British_propaganda_poster_intended_for_Chinese_Muslim_audience_LCCN2003675286_%28cropped%29_%28cropped%29.tif.jpg,Africa / Tanzania,1913,1913,political_poster,institutional_or_education_context,64,review_weak_graphic_evidence,weak_graphic_or_event_photo_signal,Library of Congress Catalog: http://lccn.loc.gov/2003675286 Image download: http://lcweb2.loc.gov/master/pnp/cph/3g10000/3g11000/3g11300/3g11304u.tif Original url: http://hdl.loc.gov/loc.pnp/cph.3g11304,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R01297,84927832,British propaganda poster intended for Chinese Muslim audience LCCN2003675286 (cropped).tif,https://commons.wikimedia.org/wiki/File:British_propaganda_poster_intended_for_Chinese_Muslim_audience_LCCN2003675286_(cropped).tif,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/British_propaganda_poster_intended_for_Chinese_Muslim_audience_LCCN2003675286_%28cropped%29.tif/lossy-page1-1280px-British_propaganda_poster_intended_for_Chinese_Muslim_audience_LCCN2003675286_%28cropped%29.tif.jpg,Africa / Tanzania,1918,1918,political_poster,institutional_or_education_context,64,review_weak_graphic_evidence,weak_graphic_or_event_photo_signal,Library of Congress Catalog: http://lccn.loc.gov/2003675286 Image download: http://lcweb2.loc.gov/master/pnp/cph/3g10000/3g11000/3g11300/3g11304u.tif Original url: http://hdl.loc.gov/loc.pnp/cph.3g11304,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R01298,32076301,British propaganda poster intended for Chinese Muslim audience LCCN2003675286.tif,https://commons.wikimedia.org/wiki/File:British_propaganda_poster_intended_for_Chinese_Muslim_audience_LCCN2003675286.tif,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/British_propaganda_poster_intended_for_Chinese_Muslim_audience_LCCN2003675286.tif/lossy-page1-1280px-British_propaganda_poster_intended_for_Chinese_Muslim_audience_LCCN2003675286.tif.jpg,Africa / Tanzania,1918,1918,political_poster,institutional_or_education_context,64,review_weak_graphic_evidence,weak_graphic_or_event_photo_signal,Library of Congress Catalog: https://lccn.loc.gov/2003675286 Image download: http://lcweb2.loc.gov/master/pnp/cph/3g10000/3g11000/3g11300/3g11304u.tif Original url: https://hdl.loc.gov/loc.pnp/cph.3g11304,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R01746,110840380,1933 CENTENARY OF BHAWALPUR ALLIANCE TREATY - Pakistan Philately 02.jpg,https://commons.wikimedia.org/wiki/File:1933_CENTENARY_OF_BHAWALPUR_ALLIANCE_TREATY_-_Pakistan_Philately_02.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b2/1933_CENTENARY_OF_BHAWALPUR_ALLIANCE_TREATY_-_Pakistan_Philately_02.jpg,South Asia / Pakistan,1933,1933,postage_stamp,commons_open_file_with_extra_source,59,review_weak_graphic_evidence,weak_graphic_or_event_photo_signal,BHAWALPUR - Flag of Bhawalpur. - Insignia of State - The Bhawalpur state issued the stamps up to 1949. The stamps of Bhawalpur used only on the post within state but all foreign mail was sent through Pakistan Post. - Apart from the list provided here many unissued stamps are in the market. But these stamps are not part of our catalogue. - Collect Pakistan Postage Stamp - Pakistan's First online Stamps Catalogue---Siddiqui Catalogue - Editor A. I. Siddiqui .,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R02217,110840384,Portrait of Amir Muhammad Bhawal Khan (1947) - Pakistan Philately.jpg,https://commons.wikimedia.org/wiki/File:Portrait_of_Amir_Muhammad_Bhawal_Khan_(1947)_-_Pakistan_Philately.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Portrait_of_Amir_Muhammad_Bhawal_Khan_%281947%29_-_Pakistan_Philately.jpg,South Asia / Pakistan,1947,1947,postage_stamp,commons_open_file_with_extra_source,59,review_weak_graphic_evidence,weak_graphic_or_event_photo_signal,BHAWALPUR - Flag of Bhawalpur. - Insignia of State - The Bhawalpur state issued the stamps up to 1949. The stamps of Bhawalpur used only on the post within state but all foreign mail was sent through Pakistan Post. - Apart from the list provided here many unissued stamps are in the market. But these stamps are not part of our catalogue. - Collect Pakistan Postage Stamp - Pakistan's First online Stamps Catalogue---Siddiqui Catalogue - Editor A. I. Siddiqui .,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R02477,110840344,Postage stamps of Bahawalpur - Pakistan Philately 05.jpg,https://commons.wikimedia.org/wiki/File:Postage_stamps_of_Bahawalpur_-_Pakistan_Philately_05.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Postage_stamps_of_Bahawalpur_-_Pakistan_Philately_05.jpg,South Asia / Pakistan,1955,1955,postage_stamp,commons_open_file_with_extra_source,59,review_weak_graphic_evidence,weak_graphic_or_event_photo_signal,BHAWALPUR - Flag of Bhawalpur. - Insignia of State - The Bhawalpur state issued the stamps up to 1949. The stamps of Bhawalpur used only on the post within state but all foreign mail was sent through Pakistan Post. - Apart from the list provided here many unissued stamps are in the market. But these stamps are not part of our catalogue. - Collect Pakistan Postage Stamp - Pakistan's First online Stamps Catalogue---Siddiqui Catalogue - Editor A. I. Siddiqui .,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
capture_batch_commons_open_controlled_expansion_2026_v1_records.csv,CCE2026R00107,170544654,"Smelting Company of Australia - Advertisement (Daily Commercial News and Shipping List, 19 Jan 1898, p6).jpg","https://commons.wikimedia.org/wiki/File:Smelting_Company_of_Australia_-_Advertisement_(Daily_Commercial_News_and_Shipping_List,_19_Jan_1898,_p6).jpg",https://upload.wikimedia.org/wikipedia/commons/6/60/Smelting_Company_of_Australia_-_Advertisement_%28Daily_Commercial_News_and_Shipping_List%2C_19_Jan_1898%2C_p6%29.jpg,Oceania / Pacific / Australia / Indigenous,1898,1898,advertising,institutional_or_education_context,24,quarantine_duplicate_review,duplicate_source_identifier_or_url; duplicate_image_url,https://trove.nla.gov.au/newspaper/article/157448800,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
capture_batch_commons_open_controlled_expansion_2026_v1_records.csv,CCE2026R00108,170544654,"Smelting Company of Australia - Advertisement (Daily Commercial News and Shipping List, 19 Jan 1898, p6).jpg","https://commons.wikimedia.org/wiki/File:Smelting_Company_of_Australia_-_Advertisement_(Daily_Commercial_News_and_Shipping_List,_19_Jan_1898,_p6).jpg",https://upload.wikimedia.org/wikipedia/commons/6/60/Smelting_Company_of_Australia_-_Advertisement_%28Daily_Commercial_News_and_Shipping_List%2C_19_Jan_1898%2C_p6%29.jpg,Oceania / Pacific / Australia / Indigenous,1898,1898,advertising,institutional_or_education_context,24,quarantine_duplicate_review,duplicate_source_identifier_or_url; duplicate_image_url,https://trove.nla.gov.au/newspaper/article/157448800,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
capture_batch_commons_open_controlled_expansion_2026_v1_records.csv,CCE2026R00444,138179334,Visit Cuba - Price Tours 01.jpg,https://commons.wikimedia.org/wiki/File:Visit_Cuba_-_Price_Tours_01.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Visit_Cuba_-_Price_Tours_01.jpg,Latin America / Caribbean / Cuba,1941,1941,advertising,commons_open_file_with_extra_source,19,quarantine_duplicate_review,duplicate_source_identifier_or_url; duplicate_image_url,Digital scan of postcard,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
capture_batch_commons_open_controlled_expansion_2026_v1_records.csv,CCE2026R00445,138179334,Visit Cuba - Price Tours 01.jpg,https://commons.wikimedia.org/wiki/File:Visit_Cuba_-_Price_Tours_01.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Visit_Cuba_-_Price_Tours_01.jpg,Latin America / Caribbean / Cuba,1941,1941,advertising,commons_open_file_with_extra_source,19,quarantine_duplicate_review,duplicate_source_identifier_or_url; duplicate_image_url,Digital scan of postcard,Wikimedia Commons open-license metadata: Public domain.,Wikimedia Commons open-license metadata: Public domain.
