source_id,source_name,place,image_presence_code,record_url
ESV257,African Activist Archive,Pan-African / United States,IMG04,https://africanactivist.msu.edu/
ESV259,UWC Robben Island Mayibuye Archives,South Africa,IMG04,https://mayibuyearchives.org/
ESV210,Center for Contemporary Graphic Art,Japan,IMG04,https://www.dnpfcp.jp/gallery/ccga/
ESV216,DDP Seoul,Korea,IMG04,https://ddp.or.kr/?menuno=228
IAS014,DesignDB / KIDP,Korea,IMG02,https://www.designdb.com/?menuno=668
IAS002,East Asian Graphics Archive,East Asia,IMG02,https://eastasiangraphicsarchive.com/
ESV208,Ginza Graphic Gallery,Japan,IMG04,https://www.dnpfcp.jp/gallery/ggg/
ESV203,Hong Kong Heritage Project,Hong Kong,IMG04,https://www.hongkongheritage.org/
IAS017,Hong Kong Memory,Hong Kong,IMG02,https://www.hkmemory.hk/tc/index.html
IAS012,JAGDA,Japan,IMG02,https://www.jagda.or.jp/
IAS015,Korean Film Archive,Korea,IMG04,https://www.koreafilm.or.kr/
ESV209,Kyoto ddd gallery,Japan,IMG04,https://www.dnpfcp.jp/gallery/ddd/
ESV201,M+ Collections,Hong Kong,IMG02,https://www.mplus.org.hk/en/collection/
ESV220,National Library of Korea,Korea,IMG02,https://www.nl.go.kr/
ESV207,National Taiwan Museum of Fine Arts,Taiwan,IMG04,https://www.ntmofa.gov.tw/
ESV214,Nippon Design Center,Japan,IMG02,https://www.ndc.co.jp/
ESV211,Printing Museum Tokyo,Japan,IMG02,https://www.printing-museum.org/
ESV215,Seoul Design Foundation,Korea,IMG04,https://seouldesign.or.kr/?menuno=150
IAS018,Shanghai Library,China,IMG04,https://www.library.sh.cn/
ESV205,Taiwan Design Research Institute,Taiwan,IMG02,https://www.tdri.org.tw/zh-TW
ESV213,Tokyo ADC,Japan,IMG04,https://www.tokyoadc.com/new/
ESV212,Tokyo TDC,Japan,IMG02,https://tokyotypedirectorsclub.org/
ESV264,Kramerius Registry,Czechia / Slovakia,IMG04,https://registr.digitalniknihovna.cz/
ESV263,Ukrainian Liberation Movement Archive,Ukraine,IMG04,https://avr.org.ua/
ESV255,Arquivo Nacional Brasil,Brazil,IMG02,https://www.gov.br/arquivonacional/pt-br
ESV256,Biblioteca Nacional Digital Brasil,Brazil,IMG02,https://bndigital.bn.gov.br/
ESV254,Fundacion IDA,Argentina,IMG02,https://www.fundacionida.org/
ESV253,Memoria Chilena,Chile,IMG04,https://www.memoriachilena.gob.cl/
ESV260,Arab Image Foundation,Lebanon / regional,IMG02,https://arabimagefoundation.org/
ESV262,National Library and Archives of Iran,Iran,IMG02,https://www.nlai.ir/
SPV2-0205,Design in India / India Design Council references,South Asia,IMG04,https://www.indiadesigncouncil.org/
SPV2-0114,Madan Puraskar Pustakalaya,Nepal,IMG04,https://madanpuraskar.org/
SPV2-0119,NID Archives and institutional publications,South Asia,IMG04,https://www.nid.edu/home
SPV2-0115,National Digital Library of India,South Asia,IMG04,https://ndl.iitkgp.ac.in/
SPV2-0116,National Library of India,South Asia,IMG04,https://nationallibrary.gov.in/
SPV2-0117,Roja Muthiah Research Library,India,IMG04,https://www.rmrl.in/en
IAS027,Ateneo Rizal Library Digital Archives,Philippines,IMG04,https://rizal.library.ateneo.edu/
ESV222,BiblioAsia,Singapore,IMG02,https://biblioasia.nlb.gov.sg/
IAS022,BookSG / Print Heritage,Singapore,IMG04,https://eresources.nlb.gov.sg/printheritage/
ESV236,Cultural Center of the Philippines,Philippines,IMG02,https://culturalcenter.gov.ph/
ESV235,Design Center Philippines,Philippines,IMG04,https://www.designcenter.gov.ph/
ESV221,DesignSingapore Council,Singapore,IMG04,https://designsingapore.org/
IAS025,Digital Library of Lao Manuscripts,Laos,IMG04,https://digital.crossasia.org/digital-library-of-lao-manuscripts/?lang=en
ESV227,Dogma Collection,Vietnam,IMG02,https://dogmacollection.com/
ESV234,Fine Arts Department Thailand,Thailand,IMG04,https://www.finearts.go.th/main
IAS003,Grafis Nusantara,Indonesia,IMG04,https://grafisnusantara.com/
ESV240,Indonesian Visual Art Archive,Indonesia,IMG04,https://archive.ivaa-online.org/
IAS028,Khastara Perpusnas Indonesia,Indonesia,IMG04,https://khastara.perpusnas.go.id/
ESV233,Museum Siam,Thailand,IMG02,https://www.museumsiam.org/
IAS020,National Archives of Singapore,Singapore,IMG04,https://www.nas.gov.sg/archivesonline/
ESV224,National Gallery Singapore Collection,Singapore,IMG02,https://www.nationalgallery.sg/
IAS023,National Library of Vietnam,Vietnam,IMG04,https://nlv.gov.vn/
IAS026,National Library of the Philippines,Philippines,IMG04,https://web.nlp.gov.ph/
IAS021,NewspaperSG,Singapore,IMG04,https://eresources.nlb.gov.sg/newspapers/
ESV223,Roots.sg,Singapore,IMG02,https://www.roots.gov.sg/
IAS005,Singapore Graphic Archives,Singapore,IMG02,https://graphic.sg/resources/databases-archives
IAS007,Thai Poster Archive,Thailand,IMG04,https://thaiposterarchive.com/
IAS006,Thaipography Archive,Thailand,IMG02,https://www.thaipography-archive.com/
IAS009,VietGD,Vietnam,IMG04,https://vietgd.com/
IAS024,Vietnam National Archives,Vietnam,IMG04,https://luutru.gov.vn/home.htm
ESV228,Vietnam National Museum of History,Vietnam,IMG02,https://baotanglichsu.vn/vi
