coverage_id,node_id,region_id,coverage_status,priority,known_entry_points,source_needs,rights_risk,research_note
COV0001,HN001,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0002,HN002,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0003,HN003,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0004,HN004,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0005,HN005,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0006,HN006,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0007,HN007,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0008,HN008,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0009,HN009,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0010,HN010,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0011,HN011,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0012,HN012,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0013,HN013,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0014,HN014,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0015,HN015,REG001,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0016,HN001,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0017,HN002,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0018,HN003,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0019,HN004,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0020,HN005,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0021,HN006,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0022,HN007,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0023,HN008,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0024,HN009,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0025,HN010,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0026,HN011,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0027,HN012,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0028,HN013,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0029,HN014,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0030,HN015,REG002,planned,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0031,HN001,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0032,HN002,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0033,HN003,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0034,HN004,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0035,HN005,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0036,HN006,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0037,HN007,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0038,HN008,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0039,HN009,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0040,HN010,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0041,HN011,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
COV0042,HN012,REG003,seeded,Launch,,Regional archives; national libraries; periodicals; museum collections; design texts; community archives,unknown,Coverage must be validated with region-specific sources before claims are made.
