source_file,capture_id,surface_id,year,current_region,place_text,source_subjects,source_name,title,source_url,suggested_region_label,suggested_region_ids,suggested_geo_ids,decision_type,confidence,evidence_field,evidence_value,guardrail
capture_batch_early_region_1830_1930_records.csv,ER1830R057,SURF-ER1830R057,1897,Unresolved region,Czech Republic,poster; paper (fiber product); print; prints and drawing,Art Institute of Chicago API,La Samaritaine,https://www.artic.edu/artworks/16907,Czech and Slovak contexts,REG002,GEO019,auto_apply_candidate,high,place_text,Czech Republic,"Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_early_region_1830_1930_records.csv,ER1830R055,SURF-ER1830R055,1897,Unresolved region,Czech Republic,poster; paper (fiber product); print; prints and drawing,Art Institute of Chicago API,"Zodiaque (""La Plume"")",https://www.artic.edu/artworks/111986,Czech and Slovak contexts,REG002,GEO019,auto_apply_candidate,high,place_text,Czech Republic,"Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_nonmainstream_region_1990_2026_records.csv,NMR1990R0007,SURF-NMR1990R0007,2017,Unresolved region,MENA,Exhibitions,Barjeel Art Foundation,No to the Invasion,https://www.barjeelartfoundation.org/exhibitions/no-to-the-invasion/,Middle East and North Africa,REG013,GEO055,auto_apply_candidate,high,place_text,MENA,"Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_nonmainstream_region_1990_2026_records.csv,NMR1990R0006,SURF-NMR1990R0006,2023,Unresolved region,MENA,Exhibitions,Barjeel Art Foundation,The jewels of my career,https://www.barjeelartfoundation.org/exhibitions/the-jewels-of-my-career/,Middle East and North Africa,REG013,GEO055,auto_apply_candidate,high,place_text,MENA,"Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_nonmainstream_region_1990_2026_records.csv,NMR1990R0009,SURF-NMR1990R0009,2024,Unresolved region,MENA,Exhibitions,Barjeel Art Foundation,On This Land,https://www.barjeelartfoundation.org/exhibitions/on-this-land/,Middle East and North Africa,REG013,GEO055,auto_apply_candidate,high,place_text,MENA,"Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_001_records.csv,ECAP017,SURF-ECAP017,,Unresolved region,"Flanders, Bruges",,Cleveland Museum Open Access API,Virgin and Child,https://clevelandart.org/art/1934.29,Belgium,REG001,GEO010,auto_apply_candidate,medium,local_marker,"Flanders, Bruges Virgin and Child Cleveland Museum Open Access API https://clevelandart.org/art/1934.29","Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,GSU1970R005,SURF-GSU1970R005,1936,Unresolved region,Washington (D.C.),Clothing workers; Collective bargaining--Clothing industry; Clothing workers--Labor unions; Textile industry--Labor productivity; Clothing workers; Collective bargaining--Clothing industry; Clothing workers--Labor unions; Textile industry--Labor productivity;,Georgia State University Library Digital Collections / CONTENTdm,"Index card file for plants or locals in Washington, D.C., 1936",https://digitalcollections.library.gsu.edu/digital/collection/ugwa/id/42156,United States,REG003,GEO025,auto_apply_candidate,medium,local_marker,Washington (D.C.) Clothing workers; Collective bargaining--Clothing industry; Clothing workers--Labor unions; Textile industry--Labor productivity; Clothing workers; Collective bargaining--Clothing industry; Clothing wor,"Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,GSU1970R009,SURF-GSU1970R009,1942,Unresolved region,Washington (State),Aircraft industry--Employees--Labor unions; Aerospace industries--Employees--Labor unions; Machinists--Labor unions; Aircraft industry--Employees--Labor unions; Aerospace industries--Employees--Labor unions; Machinists--Labor unions; International Association,Georgia State University Library Digital Collections / CONTENTdm,"Aero Mechanic, 1942-10-15",https://digitalcollections.library.gsu.edu/digital/collection/IAM/id/103194,United States,REG003,GEO025,auto_apply_candidate,medium,local_marker,Washington (State) Aircraft industry--Employees--Labor unions; Aerospace industries--Employees--Labor unions; Machinists--Labor unions; Aircraft industry--Employees--Labor unions; Aerospace industries--Employees--Labor u,"Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,GSU1970R013,SURF-GSU1970R013,1945,Unresolved region,Southern States,"Authors, American; Journalism; Labor unions; Civil rights; Authors, American; Journalism; Labor unions; Civil rights; Kennedy, Stetson; Southern States",Georgia State University Library Digital Collections / CONTENTdm,"Worker's Defense League, 1942-1945",https://digitalcollections.library.gsu.edu/digital/collection/SKennedy/id/8297,United States,REG003,GEO025,auto_apply_candidate,medium,local_marker,"Southern States Authors, American; Journalism; Labor unions; Civil rights; Authors, American; Journalism; Labor unions; Civil rights; Kennedy, Stetson; Southern States Worker's Defense League, 1942-1945 Georgia State Uni","Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,GSU1970R015,SURF-GSU1970R015,1946,Unresolved region,Eastman (Ga.); Dodge County (Ga.);,"Labor unions; Labor unions--Organizing; Political posters;; Labor unions; Labor unions--Organizing; Political posters;; Kennedy, Stetson; Congress of Industrial Organizations (U.S.); Baldanzi, George, 1907-1972;; Eastman (Ga.); Dodge County (Ga.);",Georgia State University Library Digital Collections / CONTENTdm,"Anti-CIO political poster from Eastman, Georgia, circa 1946.",https://digitalcollections.library.gsu.edu/digital/collection/SKennedy/id/13393,United States,REG003,GEO025,auto_apply_candidate,medium,local_marker,"Eastman (Ga.); Dodge County (Ga.); Labor unions; Labor unions--Organizing; Political posters;; Labor unions; Labor unions--Organizing; Political posters;; Kennedy, Stetson; Congress of Industrial Organizations (U.S.); Ba","Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,GSU1970R017,SURF-GSU1970R017,1950,Unresolved region,Chicago (Ill.);,Labor unions--Political activity; Labor union meetings; Constitutional conventions;; Labor unions--Political activity; Labor union meetings; Constitutional conventions;; Congress of Industrial Organizations (U.S.). Constitutional Convention; Congress of Indust,Georgia State University Library Digital Collections / CONTENTdm,"Man and poster encouraging union members to vote at a CIO Constitutional Convention, Chicago, Illinois, November 1950.",https://digitalcollections.library.gsu.edu/digital/collection/labor/id/3896,United States,REG003,GEO025,auto_apply_candidate,medium,local_marker,Chicago (Ill.); Labor unions--Political activity; Labor union meetings; Constitutional conventions;; Labor unions--Political activity; Labor union meetings; Constitutional conventions;; Congress of Industrial Organizatio,"Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,GSU1970R007,SURF-GSU1970R007,1951,Unresolved region,Southern States,"Authors, American; Journalism; Labor unions; Civil rights; Authors, American; Journalism; Labor unions; Civil rights; Kennedy, Stetson; Southern States",Georgia State University Library Digital Collections / CONTENTdm,"Periodicals, assorted, 1938-1951",https://digitalcollections.library.gsu.edu/digital/collection/SKennedy/id/9730,United States,REG003,GEO025,auto_apply_candidate,medium,local_marker,"Southern States Authors, American; Journalism; Labor unions; Civil rights; Authors, American; Journalism; Labor unions; Civil rights; Kennedy, Stetson; Southern States Periodicals, assorted, 1938-1951 Georgia State Unive","Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,GSU1970R021,SURF-GSU1970R021,1960,Unresolved region,Atlanta (Ga.); Fulton County (Ga.),College student newspapers and periodicals; Universities and colleges; College student newspapers and periodicals; Universities and colleges; Georgia State College of Business Administration; Georgia State University;; Atlanta (Ga.); Fulton County (Ga.),Georgia State University Library Digital Collections / CONTENTdm,"Georgia State Signal, 1960-02-02",https://digitalcollections.library.gsu.edu/digital/collection/signal/id/2622,United States,REG003,GEO025,auto_apply_candidate,medium,local_marker,Atlanta (Ga.); Fulton County (Ga.) College student newspapers and periodicals; Universities and colleges; College student newspapers and periodicals; Universities and colleges; Georgia State College of Business Administr,"Exact controlled geography match; geography only, no rights or image-state upgrade."
capture_batch_gsu_contentdm_image_ready_1830_1970_records.csv,GSU1970R026,SURF-GSU1970R026,1965,Unresolved region,Atlanta (Ga.); South Carolina;,Textile industry--Organizing; Textile workers--Labor unions; Textile workers--Labor unions; Textile workers;; Textile industry--Organizing; Textile workers--Labor unions; Textile workers--Labor unions; Textile workers;; J. P. Stevens & Co.; Textile Workers Uni,Georgia State University Library Digital Collections / CONTENTdm,"Dean Girardot scrapbook 1 (J.P. Stevens and Co. campaign), 1963-1965",https://digitalcollections.library.gsu.edu/digital/collection/labor/id/4462,United States,REG003,GEO025,auto_apply_candidate,medium,local_marker,Atlanta (Ga.); South Carolina; Textile industry--Organizing; Textile workers--Labor unions; Textile workers--Labor unions; Textile workers;; Textile industry--Organizing; Textile workers--Labor unions; Textile workers--L,"Exact controlled geography match; geography only, no rights or image-state upgrade."
