candidate_id,source_name,macro_region,subregion,country_or_region,source_class,institutional_level,protocol_family,url,period_start,period_end,period_bands,expected_record_types,capture_route,recommended_adapter,recommended_image_policy,text_enrichment_path,rights_posture,risk_notes,priority,inclusion_status,notes,impact_score,impact_rating,impact_basis,new_source_basis
NLCV30001,National Archives of Nigeria,Africa,West Africa,Nigeria,national archive,national,HTML/catalog,https://nationalarchives.gov.ng/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,newspapers; posters; government print; archival records,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,92,A,"region=Africa; class=national archive; protocol=HTML/catalog; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30002,National Library of Nigeria,Africa,West Africa,Nigeria,national library,national,HTML/catalog,https://nln.gov.ng/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; newspapers; periodicals; print culture,source-level metadata and source-link discovery,bibliographic_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,82,A,"region=Africa; class=national library; protocol=HTML/catalog; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30003,Ghana Library Authority,Africa,West Africa,Ghana,national library,national,HTML/catalog,https://www.ghanalibrary.org/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; reading campaigns; public communication,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,70,B,"region=Africa; class=national library; protocol=HTML/catalog; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30004,National Archives of Namibia,Africa,Southern Africa,Namibia,national archive,national,HTML/catalog,https://www.namibiaarchives.gov.na/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archival records; newspapers; public communication,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,92,A,"region=Africa; class=national archive; protocol=HTML/catalog; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30005,Botswana National Archives and Records Services,Africa,Southern Africa,Botswana,national archive,national,HTML,https://www.gov.bw/ministries/department-national-archives-records-services,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print; source registry,source-level metadata and source-link discovery,manual_source_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,73,B,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30006,National Archives of Zambia,Africa,Southern Africa,Zambia,national archive,national,HTML,https://www.nationalarchives.gov.zm/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; newspapers; government print,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,85,A,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30007,National Archives of Zimbabwe,Africa,Southern Africa,Zimbabwe,national archive,national,HTML,https://www.archives.gov.zw/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; newspapers; government print,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,85,A,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30008,National Records and Archives Services Malawi,Africa,Southern Africa,Malawi,national archive,national,HTML,https://www.nationalarchives.gov.mw/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; public communication; newspapers,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,81,B,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30009,Kenya National Library Service,Africa,East Africa,Kenya,national library,national,HTML/catalog,https://knls.ac.ke/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; newspapers; periodicals,source-level metadata and source-link discovery,bibliographic_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,78,B,"region=Africa; class=national library; protocol=HTML/catalog; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30010,Uganda National Library,Africa,East Africa,Uganda,national library,national,HTML,https://unls.go.ug/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; newspapers; public communication,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,71,B,"region=Africa; class=national library; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30011,National Archives of Tanzania,Africa,East Africa,Tanzania,national archive,national,HTML,https://www.nyaraka.go.tz/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; newspapers; government print,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,85,A,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30012,National Library and Archives of Ethiopia,Africa,East Africa,Ethiopia,national library/archive,national,HTML,https://www.nala.gov.et/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; manuscripts; periodicals; posters,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,85,A,"region=Africa; class=national library/archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30013,Archives du Maroc,Africa,North Africa,Morocco,national archive,national,HTML,https://www.archivesdumaroc.ma/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print; photographs,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,77,B,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30014,Archives Nationales de Tunisie,Africa,North Africa,Tunisia,national archive,national,HTML,http://www.archives.nat.tn/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; newspapers; government print,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,85,A,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30015,Bibliotheque Nationale d'Algerie,Africa,North Africa,Algeria,national library,national,catalog/HTML,https://www.biblionat.dz/,1830,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; periodicals; newspapers; print culture,source-level metadata and source-link discovery,bibliographic_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,82,A,"region=Africa; class=national library; protocol=catalog/HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30016,Centre de Documentation Saharienne,Africa,North Africa,Algeria,research archive,research,HTML,https://www.crasc.dz/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,research publications; visual culture context,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,73,B,"region=Africa; class=research archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30017,National Library of Sudan,Africa,North Africa,Sudan,national library,national,HTML,https://www.nls.gov.sd/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; newspapers; manuscripts; print culture,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,71,B,"region=Africa; class=national library; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30018,Archives Nationales du Senegal,Africa,West Africa,Senegal,national archive,national,HTML,https://archivesdusenegal.gouv.sn/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; newspapers; government print,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,85,A,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30019,Bibliotheque Nationale du Senegal,Africa,West Africa,Senegal,national library,national,HTML,https://bn.gouv.sn/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; periodicals; public communication,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,71,B,"region=Africa; class=national library; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30020,Archives Nationales de Cote d'Ivoire,Africa,West Africa,Cote d'Ivoire,national archive,national,HTML,https://archivesnationales.gouv.ci/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; newspapers; government print,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P1,candidate,,85,A,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30021,Bibliotheque Nationale de Cote d'Ivoire,Africa,West Africa,Cote d'Ivoire,national library,national,HTML,https://bnci.ci/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; periodicals; posters,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,71,B,"region=Africa; class=national library; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30022,National Archives of The Gambia,Africa,West Africa,Gambia,national archive,national,HTML,https://www.ncac.gm/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; cultural heritage; public communication,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,73,B,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30023,National Library of Sierra Leone,Africa,West Africa,Sierra Leone,national library,national,HTML,https://nationallibrary.gov.sl/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,books; newspapers; public communication,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,71,B,"region=Africa; class=national library; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
NLCV30024,National Archives of Liberia,Africa,West Africa,Liberia,national archive,national,HTML,https://culturalheritage.gov.lr/,1900,2026,1830-1930; 1931-1970; 1971-2000; 2001-2026,archives; government print; documents,source-level metadata and source-link discovery,html_metadata_adapter,IMG00/IMG02 only after item-level source and rights review; no IMG01/IMG03 automatic upgrade,"source title, description, collection scope, catalog terms, and stable links",source-hosted review,item rights vary; source-level discovery only,P2,candidate,,73,B,"region=Africa; class=national archive; protocol=HTML; internal triage only, not public authority or rights clearance","not present in existing source registry, global edge, contemporary scan, or v1 nonmainstream target URL/name keys"
