validation_sample_id,surface_id,capture_id,sample_target_marker,year,period,region,theme,medium,image_state,source_name,source_family,title,descriptive_unit,recommended_role,parent_candidate,relation_type,text_need_level,blocker_class,review_result,review_confidence,generalizable_rule,method_risk_flags,role_rationale,review_status,reviewer_notes
MSTV0001,SURF-PUL1970R002,PUL1970R002,anchor_if_editorial_text_added,1896,1850_1899,United States,Midcentury modern graphic communication,; 2 v. in 1. 17 cm.; Book,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,"Poster lore ... an amateur journal for art students and latter Day enthusiasts. [book 1]-2, pt. 1. (Jan.-Sept. 1896).",periodical_or_issue,main_needs_text,SURF-PUL1970R002,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0002,SURF-PUL1970R004,PUL1970R004,anchor_if_editorial_text_added,1900,1900_1913,United States,Postwar exhibition and cultural posters,; 1 item ; sheet 21 1/2 x 17 in..; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,Somers Historical Society [Circus collection exhibition poster].,work_or_packet_anchor_candidate,main_needs_text,SURF-PUL1970R004,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0003,SURF-PUL1970R003,PUL1970R003,anchor_if_editorial_text_added,1900,1900_1913,United States,Midcentury modern graphic communication,; 1 item ; sheet 21 3/4 x 28 in..; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,Ringling Bros and Barnum & Bailey. Key to Circus Interior poster.,work_or_packet_anchor_candidate,main_needs_text,SURF-PUL1970R003,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0004,SURF-ER1830R065,ER1830R065,anchor_if_editorial_text_added,1918,1914_1945,France,World War and public-information graphics,Color lithograph on paper,IMG00,Art Institute of Chicago API,Art Institute of Chicago API,To the Amputees—Join the Workforce,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0005,SURF-MC1930R051,MC1930R051,anchor_if_editorial_text_added,1944,1914_1945,Germany,World War and public-information graphics,Stencil,IMG00,Art Institute of Chicago API,Art Institute of Chicago API,The Search for Human Resources in Germany,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0006,SURF-MC1930R006,MC1930R006,anchor_if_editorial_text_added,1932,1914_1945,United States,World War and public-information graphics,Color lithograph on cream wove paper,IMG00,Art Institute of Chicago API,Art Institute of Chicago API,By the Rushy - Fringed Bank,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0007,SURF-GSU1970R002,GSU1970R002,anchor_if_editorial_text_added,1932,1914_1945,Georgia,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"Georgia Education Journal, 1932-02",periodical_or_issue,main_needs_text,SURF-GSU1970R002,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0008,SURF-GSU1970R009,GSU1970R009,anchor_if_editorial_text_added,1942,1914_1945,United States,Midcentury modern graphic communication,application/pdf; application/pdf; Text,IMG02,Georgia State University Library Digital Collections / CONTENTdm,Georgia State CONTENTdm,"Aero Mechanic, 1942-10-15",work_or_packet_anchor_candidate,main_needs_text,SURF-GSU1970R009,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0009,SURF-MX1970R043,MX1970R043,anchor_if_editorial_text_added,1939,1914_1945,United States,Modern typography and layout,digitized text / periodical,IMG02,Internet Archive / text and periodical collections,Internet Archive,Commercial art,periodical_or_issue,main_needs_text,SURF-MX1970R043,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0010,SURF-PUL1970R040,PUL1970R040,anchor_if_editorial_text_added,1945,1914_1945,United States,Midcentury modern graphic communication,; 1 item ; sheet 21 x 28 in..; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,Ringling Bros and Barnum & Bailey. Key to Menagerie poster.,work_or_packet_anchor_candidate,main_needs_text,SURF-PUL1970R040,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0011,SURF-PUL1970R038,PUL1970R038,anchor_if_editorial_text_added,1945,1914_1945,United States,World War and public-information graphics,Posters; Caricatures; 1 poster : color ; 38 x 50 cm; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,[Anti-Nazi propaganda poster depicting Hitler and Mussolini creating a Frankenstein-like monster].,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0012,SURF-PUL1970R039,PUL1970R039,anchor_if_editorial_text_added,1945,1914_1945,United States,World War and public-information graphics,Posters; Caricatures; 1 poster : color ; 36 x 51 cm; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,"[Anti-Nazi propaganda poster depicting Hitler as a snake charmer playing a tune for snakes in top hats, which are rising out of a basket labeled ""Fascisti Repubblicani""] / [United States Office of War Information].",work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0013,SURF-MC1930R030,MC1930R030,anchor_if_editorial_text_added,1938,1914_1945,United Kingdom,Travel and transport poster culture,Poster,IMG02,V&A Collections API,V&A Collections API,W.T.A. Summer Holidays,work_or_packet_anchor_candidate,main_needs_text,SURF-MC1930R030,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0014,SURF-IR1970R011,IR1970R011,anchor_if_editorial_text_added,1938,1914_1945,United Kingdom,Public health and social communication,Manufacturers' catalogues; Pamphlets,IMG03,Wellcome Collection Catalogue API,Wellcome Collection,"Get fit, keep fit / B.S.A.",work_or_packet_anchor_candidate,main_needs_text,SURF-IR1970R011,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0015,SURF-DNZPOSTR010,DNZPOSTR010,anchor_if_editorial_text_added,1956,1946_1969,Aotearoa New Zealand,Midcentury modern graphic communication,; Published; Unknown,IMG02,DigitalNZ,DigitalNZ,Joy Jobbins Fashion Advertising Archive,work_or_packet_anchor_candidate,main_needs_text,SURF-DNZPOSTR010,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0016,SURF-MC1930R058,MC1930R058,anchor_if_editorial_text_added,1948,1946_1969,United States,Travel and transport poster culture,Poster,IMG02,V&A Collections API,V&A Collections API,American Overseas Airlines shrinking travel time,work_or_packet_anchor_candidate,main_needs_text,SURF-MC1930R058,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0017,SURF-IR1970R047,IR1970R047,anchor_if_editorial_text_added,1953,1946_1969,United Kingdom,World War and public-information graphics,Encoded moving images,IMG00,Wellcome Collection Catalogue API,Wellcome Collection,Onwards to victory.,work_or_packet_anchor_candidate,manual_hold,,manual_relation_review,low,transnational_geography_manual,revise,low,editorial_text_needed_before_anchor_publication,transnational_region; no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0018,SURF-IR1970R060,IR1970R060,anchor_if_editorial_text_added,1962,1946_1969,United Kingdom,Travel and transport poster culture,Encoded moving images,IMG00,Wellcome Collection Catalogue API,Wellcome Collection,Answer to emergency.,work_or_packet_anchor_candidate,main_needs_text,SURF-IR1970R060,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
MSTV0019,SURF-IR1970R058,IR1970R058,anchor_if_editorial_text_added,1961,1946_1969,United Kingdom,Travel and transport poster culture,Poster,IMG02,Wellcome Collection Catalogue API,Wellcome Collection,Photograph of a picket outside British Transport Commission building over banned FPA poster on London Underground,work_or_packet_anchor_candidate,main_needs_text,SURF-IR1970R058,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,
