surface_id,source_record_id,source_record_url,title,best_image_state,repair_family,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,object_raw_found,object_image_resolution,object_image_copyright_excerpt,object_image_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,image_url_detected_excerpt,rights_basis_excerpt,review_note_excerpt
SURF-IR1970R010,O550559,https://collections.vam.ac.uk/item/O550559/,1888-1938. 50th Anniversary Exhibition of the Arts & Crafts Exhibition Soc.,IMG02,img02_open_rights_review,0.45,true,IR1970R010,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,low,"©Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2014HH4601/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-MC1930R058,O540490,https://collections.vam.ac.uk/item/O540490/,American Overseas Airlines shrinking travel time,IMG02,img02_open_rights_review,0.45,true,MC1930R058,data/capture_batch_midcentury_1930_1970_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2006AU1346/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-IR1970R045,O541302,https://collections.vam.ac.uk/item/O541302/,Be First Not Last. Travel Early Shop Early Post Early,IMG02,img02_open_rights_review,0.45,true,IR1970R045,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2011ET3706/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-IR1970R070,O44582,https://collections.vam.ac.uk/item/O44582/,Cut Travelling Time Victoria Line.,IMG02,img02_open_rights_review,0.45,true,IR1970R070,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2013GC9486/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-IR1970R068,O223121,https://collections.vam.ac.uk/item/O223121/,Eikoh Hosoe photographic exhibition,IMG02,img02_open_rights_review,0.45,true,IR1970R068,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2019MJ6331/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-IR1970R057,O550901,https://collections.vam.ac.uk/item/O550901/,Hire a coach For Party Travel Anywhere in Britain,IMG02,img02_open_rights_review,0.45,true,IR1970R057,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,low,"©Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2014HH1481/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-MC1930R061,O591858,https://collections.vam.ac.uk/item/O591858/,Norway: the Cradle of Skiing,IMG02,img02_open_rights_review,0.45,true,MC1930R061,data/capture_batch_midcentury_1930_1970_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2006AW3938/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-IR1970R027,O105473,https://collections.vam.ac.uk/item/O105473/,Ocean Front Exhibition,IMG02,img02_open_rights_review,0.45,true,IR1970R027,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,high,"©Victoria and Albert Museum, London/Image courtesy Ministry of Information; ©Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2012FE8086/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-IR1970R040,O595471,https://collections.vam.ac.uk/item/O595471/,Out and About by London Transport. The Farms.,IMG02,img02_open_rights_review,0.45,true,IR1970R040,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2011ET3702/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-IR1970R041,O595457,https://collections.vam.ac.uk/item/O595457/,Out and About by London Transport. The Farms.,IMG02,img02_open_rights_review,0.45,true,IR1970R041,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2011ET3705/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-MC1930R086,O129149,https://collections.vam.ac.uk/item/O129149/,People of the World Unite,IMG02,img02_open_rights_review,0.45,true,MC1930R086,data/capture_batch_midcentury_1930_1970_records.csv,IMG02,true,true,low,"©Victoria and Albert Museum, London; © Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2015HJ6435/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-ER1830R054,O1024553,https://collections.vam.ac.uk/item/O1024553/,Picture Posters,IMG02,img02_open_rights_review,0.45,true,ECAP029,data/capture_batch_001_records.csv,IMG02,true,true,high,"©Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2014HH0974/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,"Treat as source-hosted viewer candidate, not as reusable local image."
SURF-MC1930R069,O129280,https://collections.vam.ac.uk/item/O129280/,Piper at the Gates of Dawn,IMG02,img02_open_rights_review,0.45,true,ECAP026,data/capture_batch_001_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2006AY2198/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,"Treat as source-hosted viewer candidate, not as reusable local image."
SURF-IR1970R019,O1036250,https://collections.vam.ac.uk/item/O1036250/,Poison Gas Exhibition,IMG02,img02_open_rights_review,0.45,true,IR1970R019,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,low,"©Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2015HJ6579/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-MC1930R009,O90294,https://collections.vam.ac.uk/item/O90294/,Poster,IMG02,img02_open_rights_review,0.45,true,MC1930R009,data/capture_batch_midcentury_1930_1970_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2006AL4780/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
SURF-IR1970R065,O75374,https://collections.vam.ac.uk/item/O75374/,"Poster Show...Neiman Marcus, Dallas",IMG02,img02_open_rights_review,0.45,true,IR1970R065,data/capture_batch_image_ready_1931_1970_records.csv,IMG02,true,true,low,"© Victoria and Albert Museum, London; © Victoria and Albert Museum, London",object_image_copyright_metadata_present,blocked_by_object_image_copyright_metadata,keep_img02_or_img04_pending_open_item_evidence,no_upgrade,false,"https://framemark.vam.ac.uk/collections/2006AU3173/full/!100,100/0/default.jpg",V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,Source-hosted viewer candidate; keep source return visible.
