metric,value
records_captured,27
distinct_active_source_names,27
category_failures,28
visited_categories,95
queued_categories,1925
target_rows,3600
target_met,false
minimum_source_derived_text_length,222
median_source_derived_text_length,661
year_2026_count,0
year_2026_rate,0.00
image_state:IMG03,27
period:1930_1970,19
period:pre_1930,4
period:1970_2000,4
macro_region:Middle East and North Africa,16
macro_region:Oceania,5
macro_region:Latin America,4
macro_region:Eastern Europe,1
macro_region:South Asia,1
object_family:postage_stamp,23
object_family:poster,4
country:Middle East and North Africa / Syria,7
country:Middle East and North Africa / Iran,6
country:Latin America / Caribbean / Argentina,4
country:Oceania / Pacific / Australia / Indigenous,3
country:Middle East and North Africa / Palestine,2
country:Oceania / Pacific / Aotearoa New Zealand,2
country:Eastern Europe / Caucasus / Ukraine,1
country:Middle East and North Africa / Iraq,1
country:South Asia / Nepal,1
reject:base_filter,642
reject:duplicate,138
reject:weak_graphic_evidence,42
reject:reject_non_graphic_object,1
