cluster_key,seed_lane,recommended_next_artifact,manual_decision_needed,sandbox_allowed_after_review,packet_scale,anchor_review_lane,region,theme,source_family,five_year_bucket,actual_year_span,sub_candidate_count,card_candidate_count,candidate_count_written,top_candidate_surface_id,top_candidate_title,top_anchor_review_score,top_candidate_role,top_candidate_risk_flags,candidate_surface_ids,candidate_titles,seed_reason
United States|New Deal and civic poster programs|Library of Congress|1935-1939,cover_editorial_seed_ready,cover scope draft + curated editorial reading note outline,confirm top candidate as normal-main anchor and choose packet title,true,medium,strong_packet_anchor_candidate_review,United States,New Deal and civic poster programs,Library of Congress,1935-1939,1936-1938,8,0,5,SURF-MC1930R017,"WPA federal art regional exhibit, Montclair Museum Easel painting, graphic arts, poster display, index of design.",86.05,packet_member_review,,SURF-MC1930R017; SURF-MC1930R019; SURF-MC1930R025; SURF-MC1930R031; SURF-MC1930R020,"WPA federal art regional exhibit, Montclair Museum Easel painting, graphic arts, poster display, index of design. | WPA women painters, Federal Art Gallery, 50 Beacon St., Boston | [WPA poster design showing the head and hands of a woman holding flowers and wheat above a blank banner] | WPA Federal Art Project exhibition, 77 Newbury St., Boston, Nov. 28, Dec. 10, 1938 | Who's who in the zoo Illustrated natural history prepared by the WPA Federal Writers Project : On sale at all book stores, zoos, and museums.",strong packet lane with low card pressure and high top-anchor score
Poland|Modern typography and layout|Wikimedia Commons|1935-1939,cover_editorial_seed_ready,cover scope draft + curated editorial reading note outline,confirm top candidate as normal-main anchor and choose packet title,true,medium,strong_packet_anchor_candidate_review,Poland,Modern typography and layout,Wikimedia Commons,1935-1939,1935-1939,8,2,5,SURF-CCE2026R00403,Reklama.jpg,84.45,sub_under_packet_candidate,commons_file_source,SURF-CCE2026R00403; SURF-CCE2026R00423; SURF-CCE2026R00361; SURF-CCE2026R00363; SURF-CCT2026R01579,Reklama.jpg | Iwonicz-Zdrój advertisement (1939).jpg | Czwiklicer 1.jpg | Pmt 1.jpg | Movie poster - Granica in Sanok (1939).jpg,strong packet lane with low card pressure and high top-anchor score
Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_seed_ready,cover scope draft + curated editorial reading note outline,confirm top candidate as normal-main anchor and choose packet title,true,medium,strong_packet_anchor_candidate_review,Aotearoa New Zealand,World War and public-information graphics,Te Papa,1980-1984,1980-1984,5,0,5,SURF-GAPIT2026R025,Trident missile poster,83.8,packet_member_review,,SURF-GAPIT2026R025; SURF-GAPIT2026R032; SURF-GAPIT2026R027; SURF-LPC2026R008; SURF-GAPIT2026R023,"Trident missile poster | Poster, 'Protest and Survive' | Poster, 'The World According to Ronald Reagan' | Poster, ""We begin bombing in five minutes"" | Poster, 'Hiroshima Day March'",strong packet lane with low card pressure and high top-anchor score
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa|1985-1989,cover_editorial_seed_ready,cover scope draft + curated editorial reading note outline,confirm top candidate as normal-main anchor and choose packet title,true,medium,strong_packet_anchor_candidate_review,Aotearoa New Zealand,Postwar exhibition and cultural posters,Te Papa,1985-1989,1985-1989,8,0,5,SURF-LPC2026R018,"Poster, 'He's back.....hide your wallets!'",78.35,sub_under_packet_candidate,,SURF-LPC2026R018; SURF-LPC2026R017; SURF-LPC2026R012; SURF-LPC2026R019; SURF-LPC2026R016,"Poster, 'He's back.....hide your wallets!' | Poster, 'Frigates' | Poster, 'June 28 No Tour Friday' | Poster, 'It's that nice Mr Tizard' | Poster, 'Frigates!!'",strong packet lane with low card pressure and high top-anchor score
Argentina|Modern typography and layout|Wikimedia Commons|1960-1964,anchor_then_cover_seed,"normal-main anchor confirmation sheet, then cover/editorial outline",confirm whether top candidate can carry normal-main status,true,large,sub_rich_anchor_candidate_review,Argentina,Modern typography and layout,Wikimedia Commons,1960-1964,1961-1964,8,10,5,SURF-CCE2026R00645,Valiant III aviso argentina.jpg,77.55,packet_member_review,commons_file_source,SURF-CCE2026R00645; SURF-CGS2026R0371; SURF-CCE2026R00644; SURF-CGS2026R0222; SURF-CGS2026R0212,"Valiant III aviso argentina.jpg | Todo estaba sucio.jpg | Anuario del commercio peletero 1964-1965, Argentina, Alberto J. Blumenfeld (fur directory).jpg | Isabel Sarli - La Leona, 1964.jpg | Las modelos poster.jpg",sub-rich cluster has enough member structure for a reviewed packet seed
Aotearoa New Zealand|Modern typography and layout|Wikimedia Commons|1920-1924,anchor_then_cover_seed,"normal-main anchor confirmation sheet, then cover/editorial outline",confirm whether top candidate can carry normal-main status,true,large,sub_rich_anchor_candidate_review,Aotearoa New Zealand,Modern typography and layout,Wikimedia Commons,1920-1924,1920-1924,12,9,5,SURF-CAW2026R01526,Advertisement in British & Intercolonial Exhibition 1923 guide – Egg Preservative.tif,74.65,packet_member_review,commons_file_source,SURF-CAW2026R01526; SURF-CAW2026R01524; SURF-CAW2026R01525; SURF-CAW2026R01530; SURF-CAW2026R01528,Advertisement in British & Intercolonial Exhibition 1923 guide – Egg Preservative.tif | Advertisement in British & Intercolonial Exhibition 1923 guide – Doctors Whisky.tif | Advertisement in British & Intercolonial Exhibition 1923 guide – Dominion Cycle.tif | Advertisement in British & Intercolonial Exhibition 1923 guide – Shacklock.tif | Advertisement in British & Intercolonial Exhibition 1923 guide – Radio Set.tif,sub-rich cluster has enough member structure for a reviewed packet seed
Aotearoa New Zealand|Travel and transport poster culture|Wikimedia Commons|1925-1929,anchor_then_cover_seed,"normal-main anchor confirmation sheet, then cover/editorial outline",confirm whether top candidate can carry normal-main status,true,medium,sub_rich_anchor_candidate_review,Aotearoa New Zealand,Travel and transport poster culture,Wikimedia Commons,1925-1929,1925-1929,8,0,5,SURF-CCT2026R03356,New Zealand Railways - Brochure of Freight by Rail - Freights 1928 (10469465326).jpg,71.65,packet_member_review,commons_file_source,SURF-CCT2026R03356; SURF-CCT2026R03353; SURF-CCT2026R03358; SURF-CCT2026R03346; SURF-CCT2026R03354,"New Zealand Railways - Brochure of Freight by Rail - Freights 1928 (10469465326).jpg | New Zealand Railway poster - Waitomo Caves, Glorious Wonders of the Underworld - Rail to Hangatiki 1927 (10469014936) (cropped).jpg | New Zealand Railway poster - The Scenic Way Through New Zealand, Dog & Goose 1929 (10469013346).jpg | New Zealand Railway Poster - Tourist Tickets, New Zealand Government Railways c.1925 (10469016106).jpg | New Zealand Railway poster - Waitomo Caves, Glorious Wonders of the Underworld - Rail to Hangatiki 1927 (10469014936).jpg",sub-rich cluster has enough member structure for a reviewed packet seed
India|Modern typography and layout|Wikimedia Commons|1960-1964,anchor_then_cover_seed,"normal-main anchor confirmation sheet, then cover/editorial outline",confirm whether top candidate can carry normal-main status,true,medium,sub_rich_anchor_candidate_review,India,Modern typography and layout,Wikimedia Commons,1960-1964,1960-1962,9,1,5,SURF-CAW2026R02612,Pelli tambulam poster.jpg,71.65,packet_member_review,commons_file_source,SURF-CAW2026R02612; SURF-CAW2026R02586; SURF-CCT2026R03765; SURF-CAW2026R02588; SURF-CCT2026R03768,Pelli tambulam poster.jpg | Kadu Makrani 1960 film poster.jpg | Aada Vandha Deivam 1960.jpg | Kumkuma Rekha poster.jpg | Anbu Magan 1961.jpg,sub-rich cluster has enough member structure for a reviewed packet seed
Argentina|Modern typography and layout|Wikimedia Commons|1945-1949,anchor_then_cover_seed,"normal-main anchor confirmation sheet, then cover/editorial outline",confirm whether top candidate can carry normal-main status,true,large,sub_rich_anchor_candidate_review,Argentina,Modern typography and layout,Wikimedia Commons,1945-1949,1945-1948,11,0,5,SURF-CGS2026R0185,Las seis suegras de Barba Azul 1945.jpg,71.25,packet_member_review,commons_file_source,SURF-CGS2026R0185; SURF-CCE2026R00524; SURF-CGS2026R0186; SURF-CGS2026R0361; SURF-CGS2026R0365,Las seis suegras de Barba Azul 1945.jpg | Braden o Perón.jpg | Publicidad argentina de Vascolet.jpg | Paulette Goddard Mundo Argentino.jpg | Priscilla Lane Mundo Argentino.jpg,sub-rich cluster has enough member structure for a reviewed packet seed
Aotearoa New Zealand|Travel and transport poster culture|Wikimedia Commons|1935-1939,anchor_then_cover_seed,"normal-main anchor confirmation sheet, then cover/editorial outline",confirm whether top candidate can carry normal-main status,true,medium,sub_rich_anchor_candidate_review,Aotearoa New Zealand,Travel and transport poster culture,Wikimedia Commons,1935-1939,1935-1939,7,0,5,SURF-CCT2026R03379,"New Zealand Railway poster - 'Get in the Queue', Queenstown c.1935 (10468985865) (cropped).jpg",70.5,packet_member_review,commons_file_source,SURF-CCT2026R03379; SURF-CCE2026R00425; SURF-CCE2026R00424; SURF-CCT2026R03381; SURF-CCT2026R03380,"New Zealand Railway poster - 'Get in the Queue', Queenstown c.1935 (10468985865) (cropped).jpg | Leaflet, promotional (AM 2005.103.7-2).jpg | Leaflet, promotional (AM 2005.103.7-1).jpg | New Zealand Railway poster - Christchurch with the wonders on the doorstep 1935 (10469001036).jpg | New Zealand Railway poster - 'Get in the Queue', Queenstown c.1935 (10468985865).jpg",sub-rich cluster has enough member structure for a reviewed packet seed
